tag_id,unit_id,asset_id,engineering_unit,low_limit,high_limit,historian_enabled
PLT-01-U09_PRESSURE,PLT-01-U09,OT-00077,bar,1,30,YES
PLT-01-U09_FLOW,PLT-01-U09,OT-00077,m3_h,10,500,YES
PLT-01-U09_VIBRATION,PLT-01-U09,OT-00077,mm_s,0.1,12,YES
PLT-01-U10_TEMP,PLT-01-U10,OT-00057,C,20,220,YES
PLT-01-U10_PRESSURE,PLT-01-U10,OT-00057,bar,1,30,YES
PLT-01-U10_FLOW,PLT-01-U10,OT-00057,m3_h,10,500,YES
PLT-01-U10_VIBRATION,PLT-01-U10,OT-00057,mm_s,0.1,12,YES
PLT-01-U11_TEMP,PLT-01-U11,OT-00081,C,20,220,YES
PLT-01-U11_PRESSURE,PLT-01-U11,OT-00081,bar,1,30,YES
PLT-01-U11_FLOW,PLT-01-U11,OT-00081,m3_h,10,500,YES
PLT-01-U11_VIBRATION,PLT-01-U11,OT-00081,mm_s,0.1,12,YES
PLT-01-U12_TEMP,PLT-01-U12,OT-00007,C,20,220,YES
PLT-01-U12_PRESSURE,PLT-01-U12,OT-00007,bar,1,30,YES
PLT-01-U12_FLOW,PLT-01-U12,OT-00007,m3_h,10,500,YES
PLT-01-U12_VIBRATION,PLT-01-U12,OT-00007,mm_s,0.1,12,YES
PLT-02-U01_TEMP,PLT-02-U01,OT-00165,C,20,220,YES
PLT-02-U01_PRESSURE,PLT-02-U01,OT-00165,bar,1,30,YES
PLT-02-U01_FLOW,PLT-02-U01,OT-00165,m3_h,10,500,YES
PLT-02-U01_VIBRATION,PLT-02-U01,OT-00165,mm_s,0.1,12,NO
PLT-02-U02_TEMP,PLT-02-U02,OT-00172,C,20,220,YES
PLT-02-U02_PRESSURE,PLT-02-U02,OT-00172,bar,1,30,YES
PLT-02-U02_FLOW,PLT-02-U02,OT-00172,m3_h,10,500,YES
PLT-02-U02_VIBRATION,PLT-02-U02,OT-00172,mm_s,0.1,12,YES
PLT-02-U03_TEMP,PLT-02-U03,OT-00177,C,20,220,YES
PLT-02-U03_PRESSURE,PLT-02-U03,OT-00177,bar,1,30,NO
PLT-02-U03_FLOW,PLT-02-U03,OT-00177,m3_h,10,500,YES
PLT-02-U03_VIBRATION,PLT-02-U03,OT-00177,mm_s,0.1,12,YES
PLT-02-U04_TEMP,PLT-02-U04,OT-00117,C,20,220,YES
PLT-02-U04_PRESSURE,PLT-02-U04,OT-00117,bar,1,30,YES
PLT-02-U04_FLOW,PLT-02-U04,OT-00117,m3_h,10,500,YES
PLT-02-U04_VIBRATION,PLT-02-U04,OT-00117,mm_s,0.1,12,YES
PLT-02-U05_TEMP,PLT-02-U05,OT-00129,C,20,220,YES
PLT-02-U05_PRESSURE,PLT-02-U05,OT-00129,bar,1,30,YES
PLT-02-U05_FLOW,PLT-02-U05,OT-00129,m3_h,10,500,YES
PLT-02-U05_VIBRATION,PLT-02-U05,OT-00129,mm_s,0.1,12,YES
PLT-02-U06_TEMP,PLT-02-U06,OT-00150,C,20,220,YES
PLT-02-U06_PRESSURE,PLT-02-U06,OT-00150,bar,1,30,YES
PLT-02-U06_FLOW,PLT-02-U06,OT-00150,m3_h,10,500,YES
PLT-02-U06_VIBRATION,PLT-02-U06,OT-00150,mm_s,0.1,12,YES
PLT-02-U07_TEMP,PLT-02-U07,OT-00167,C,20,220,YES
PLT-02-U07_PRESSURE,PLT-02-U07,OT-00167,bar,1,30,YES
PLT-02-U07_FLOW,PLT-02-U07,OT-00167,m3_h,10,500,YES
PLT-02-U07_VIBRATION,PLT-02-U07,OT-00167,mm_s,0.1,12,YES
PLT-02-U08_TEMP,PLT-02-U08,OT-00171,C,20,220,YES
PLT-02-U08_PRESSURE,PLT-02-U08,OT-00171,bar,1,30,YES
PLT-02-U08_FLOW,PLT-02-U08,OT-00171,m3_h,10,500,YES
PLT-02-U08_VIBRATION,PLT-02-U08,OT-00171,mm_s,0.1,12,NO
PLT-02-U09_TEMP,PLT-02-U09,OT-00117,C,20,220,YES
PLT-02-U09_PRESSURE,PLT-02-U09,OT-00117,bar,1,30,YES
PLT-02-U09_FLOW,PLT-02-U09,OT-00117,m3_h,10,500,YES
PLT-02-U09_VIBRATION,PLT-02-U09,OT-00117,mm_s,0.1,12,YES
PLT-02-U10_TEMP,PLT-02-U10,OT-00177,C,20,220,YES
PLT-02-U10_PRESSURE,PLT-02-U10,OT-00177,bar,1,30,YES
PLT-02-U10_FLOW,PLT-02-U10,OT-00177,m3_h,10,500,YES
PLT-02-U10_VIBRATION,PLT-02-U10,OT-00177,mm_s,0.1,12,YES
PLT-02-U11_TEMP,PLT-02-U11,OT-00162,C,20,220,NO
PLT-02-U11_PRESSURE,PLT-02-U11,OT-00162,bar,1,30,YES
PLT-02-U11_FLOW,PLT-02-U11,OT-00162,m3_h,10,500,YES
PLT-02-U11_VIBRATION,PLT-02-U11,OT-00162,mm_s,0.1,12,YES
PLT-02-U12_TEMP,PLT-02-U12,OT-00167,C,20,220,YES
PLT-02-U12_PRESSURE,PLT-02-U12,OT-00167,bar,1,30,YES
PLT-02-U12_FLOW,PLT-02-U12,OT-00167,m3_h,10,500,YES
PLT-02-U12_VIBRATION,PLT-02-U12,OT-00167,mm_s,0.1,12,YES
PLT-03-U01_TEMP,PLT-03-U01,OT-00280,C,20,220,YES
PLT-03-U01_PRESSURE,PLT-03-U01,OT-00280,bar,1,30,YES
PLT-03-U01_FLOW,PLT-03-U01,OT-00280,m3_h,10,500,YES
PLT-03-U01_VIBRATION,PLT-03-U01,OT-00280,mm_s,0.1,12,YES
PLT-03-U02_TEMP,PLT-03-U02,OT-00231,C,20,220,YES
PLT-03-U02_PRESSURE,PLT-03-U02,OT-00231,bar,1,30,YES
PLT-03-U02_FLOW,PLT-03-U02,OT-00231,m3_h,10,500,YES
PLT-03-U02_VIBRATION,PLT-03-U02,OT-00231,mm_s,0.1,12,YES
PLT-03-U03_TEMP,PLT-03-U03,OT-00317,C,20,220,YES
PLT-03-U03_PRESSURE,PLT-03-U03,OT-00317,bar,1,30,YES
PLT-03-U03_FLOW,PLT-03-U03,OT-00317,m3_h,10,500,YES
PLT-03-U03_VIBRATION,PLT-03-U03,OT-00317,mm_s,0.1,12,YES
PLT-03-U04_TEMP,PLT-03-U04,OT-00279,C,20,220,YES
PLT-03-U04_PRESSURE,PLT-03-U04,OT-00279,bar,1,30,NO
PLT-03-U04_FLOW,PLT-03-U04,OT-00279,m3_h,10,500,YES
PLT-03-U04_VIBRATION,PLT-03-U04,OT-00279,mm_s,0.1,12,NO
PLT-03-U05_TEMP,PLT-03-U05,OT-00211,C,20,220,YES
PLT-03-U05_PRESSURE,PLT-03-U05,OT-00211,bar,1,30,YES
PLT-03-U05_FLOW,PLT-03-U05,OT-00211,m3_h,10,500,YES
PLT-03-U05_VIBRATION,PLT-03-U05,OT-00211,mm_s,0.1,12,YES
PLT-03-U06_TEMP,PLT-03-U06,OT-00272,C,20,220,YES
PLT-03-U06_PRESSURE,PLT-03-U06,OT-00272,bar,1,30,YES
PLT-03-U06_FLOW,PLT-03-U06,OT-00272,m3_h,10,500,YES
PLT-03-U06_VIBRATION,PLT-03-U06,OT-00272,mm_s,0.1,12,YES
PLT-03-U07_TEMP,PLT-03-U07,OT-00295,C,20,220,YES
PLT-03-U07_PRESSURE,PLT-03-U07,OT-00295,bar,1,30,YES
PLT-03-U07_FLOW,PLT-03-U07,OT-00295,m3_h,10,500,YES
PLT-03-U07_VIBRATION,PLT-03-U07,OT-00295,mm_s,0.1,12,YES
PLT-03-U08_TEMP,PLT-03-U08,OT-00208,C,20,220,NO
PLT-03-U08_PRESSURE,PLT-03-U08,OT-00208,bar,1,30,YES
PLT-03-U08_FLOW,PLT-03-U08,OT-00208,m3_h,10,500,YES
PLT-03-U08_VIBRATION,PLT-03-U08,OT-00208,mm_s,0.1,12,YES
PLT-03-U09_TEMP,PLT-03-U09,OT-00316,C,20,220,YES
PLT-03-U09_PRESSURE,PLT-03-U09,OT-00316,bar,1,30,YES
PLT-03-U09_FLOW,PLT-03-U09,OT-00316,m3_h,10,500,YES
PLT-03-U09_VIBRATION,PLT-03-U09,OT-00316,mm_s,0.1,12,YES
PLT-03-U10_TEMP,PLT-03-U10,OT-00266,C,20,220,YES
PLT-03-U10_PRESSURE,PLT-03-U10,OT-00266,bar,1,30,YES
PLT-03-U10_FLOW,PLT-03-U10,OT-00266,m3_h,10,500,YES
PLT-03-U10_VIBRATION,PLT-03-U10,OT-00266,mm_s,0.1,12,YES
PLT-03-U11_TEMP,PLT-03-U11,OT-00236,C,20,220,YES
PLT-03-U11_PRESSURE,PLT-03-U11,OT-00236,bar,1,30,NO
PLT-03-U11_FLOW,PLT-03-U11,OT-00236,m3_h,10,500,YES
PLT-03-U11_VIBRATION,PLT-03-U11,OT-00236,mm_s,0.1,12,YES
PLT-03-U12_TEMP,PLT-03-U12,OT-00238,C,20,220,YES
PLT-03-U12_PRESSURE,PLT-03-U12,OT-00238,bar,1,30,YES
PLT-03-U12_FLOW,PLT-03-U12,OT-00238,m3_h,10,500,NO
PLT-03-U12_VIBRATION,PLT-03-U12,OT-00238,mm_s,0.1,12,YES
PLT-04-U01_TEMP,PLT-04-U01,OT-00358,C,20,220,YES
PLT-04-U01_PRESSURE,PLT-04-U01,OT-00358,bar,1,30,YES
PLT-04-U01_FLOW,PLT-04-U01,OT-00358,m3_h,10,500,YES
PLT-04-U01_VIBRATION,PLT-04-U01,OT-00358,mm_s,0.1,12,YES
PLT-04-U02_TEMP,PLT-04-U02,OT-00381,C,20,220,YES
PLT-04-U02_PRESSURE,PLT-04-U02,OT-00381,bar,1,30,YES
PLT-04-U02_FLOW,PLT-04-U02,OT-00381,m3_h,10,500,YES
PLT-04-U02_VIBRATION,PLT-04-U02,OT-00381,mm_s,0.1,12,YES
PLT-04-U03_TEMP,PLT-04-U03,OT-00381,C,20,220,YES
PLT-04-U03_PRESSURE,PLT-04-U03,OT-00381,bar,1,30,YES
PLT-04-U03_FLOW,PLT-04-U03,OT-00381,m3_h,10,500,YES
PLT-04-U03_VIBRATION,PLT-04-U03,OT-00381,mm_s,0.1,12,YES
PLT-04-U04_TEMP,PLT-04-U04,OT-00334,C,20,220,YES
PLT-04-U04_PRESSURE,PLT-04-U04,OT-00334,bar,1,30,YES
PLT-04-U04_FLOW,PLT-04-U04,OT-00334,m3_h,10,500,YES
PLT-04-U04_VIBRATION,PLT-04-U04,OT-00334,mm_s,0.1,12,YES
PLT-04-U05_TEMP,PLT-04-U05,OT-00407,C,20,220,NO
PLT-04-U05_PRESSURE,PLT-04-U05,OT-00407,bar,1,30,YES
PLT-04-U05_FLOW,PLT-04-U05,OT-00407,m3_h,10,500,YES
PLT-04-U05_VIBRATION,PLT-04-U05,OT-00407,mm_s,0.1,12,NO
PLT-04-U06_TEMP,PLT-04-U06,OT-00372,C,20,220,YES
PLT-04-U06_PRESSURE,PLT-04-U06,OT-00372,bar,1,30,NO
PLT-04-U06_FLOW,PLT-04-U06,OT-00372,m3_h,10,500,YES
PLT-04-U06_VIBRATION,PLT-04-U06,OT-00372,mm_s,0.1,12,YES
PLT-04-U07_TEMP,PLT-04-U07,OT-00396,C,20,220,NO
PLT-04-U07_PRESSURE,PLT-04-U07,OT-00396,bar,1,30,YES
PLT-04-U07_FLOW,PLT-04-U07,OT-00396,m3_h,10,500,YES
PLT-04-U07_VIBRATION,PLT-04-U07,OT-00396,mm_s,0.1,12,YES
PLT-04-U08_TEMP,PLT-04-U08,OT-00415,C,20,220,YES
PLT-04-U08_PRESSURE,PLT-04-U08,OT-00415,bar,1,30,YES
PLT-04-U08_FLOW,PLT-04-U08,OT-00415,m3_h,10,500,YES
PLT-04-U08_VIBRATION,PLT-04-U08,OT-00415,mm_s,0.1,12,YES
PLT-04-U09_TEMP,PLT-04-U09,OT-00366,C,20,220,YES
PLT-04-U09_PRESSURE,PLT-04-U09,OT-00366,bar,1,30,YES
PLT-04-U09_FLOW,PLT-04-U09,OT-00366,m3_h,10,500,YES
PLT-04-U09_VIBRATION,PLT-04-U09,OT-00366,mm_s,0.1,12,YES
PLT-04-U10_TEMP,PLT-04-U10,OT-00334,C,20,220,YES
PLT-04-U10_PRESSURE,PLT-04-U10,OT-00334,bar,1,30,YES
PLT-04-U10_FLOW,PLT-04-U10,OT-00334,m3_h,10,500,YES
PLT-04-U10_VIBRATION,PLT-04-U10,OT-00334,mm_s,0.1,12,YES
PLT-04-U11_TEMP,PLT-04-U11,OT-00395,C,20,220,YES
PLT-04-U11_PRESSURE,PLT-04-U11,OT-00395,bar,1,30,YES
PLT-04-U11_FLOW,PLT-04-U11,OT-00395,m3_h,10,500,YES
PLT-04-U11_VIBRATION,PLT-04-U11,OT-00395,mm_s,0.1,12,YES
PLT-04-U12_TEMP,PLT-04-U12,OT-00415,C,20,220,NO
PLT-04-U12_PRESSURE,PLT-04-U12,OT-00415,bar,1,30,YES
PLT-04-U12_FLOW,PLT-04-U12,OT-00415,m3_h,10,500,YES
PLT-04-U12_VIBRATION,PLT-04-U12,OT-00415,mm_s,0.1,12,YES
PLT-05-U01_TEMP,PLT-05-U01,OT-00528,C,20,220,YES
PLT-05-U01_PRESSURE,PLT-05-U01,OT-00528,bar,1,30,YES
PLT-05-U01_FLOW,PLT-05-U01,OT-00528,m3_h,10,500,YES
PLT-05-U01_VIBRATION,PLT-05-U01,OT-00528,mm_s,0.1,12,YES
PLT-05-U02_TEMP,PLT-05-U02,OT-00461,C,20,220,YES
PLT-05-U02_PRESSURE,PLT-05-U02,OT-00461,bar,1,30,YES
PLT-05-U02_FLOW,PLT-05-U02,OT-00461,m3_h,10,500,YES
PLT-05-U02_VIBRATION,PLT-05-U02,OT-00461,mm_s,0.1,12,YES
PLT-05-U03_TEMP,PLT-05-U03,OT-00485,C,20,220,YES
PLT-05-U03_PRESSURE,PLT-05-U03,OT-00485,bar,1,30,YES
PLT-05-U03_FLOW,PLT-05-U03,OT-00485,m3_h,10,500,YES
PLT-05-U03_VIBRATION,PLT-05-U03,OT-00485,mm_s,0.1,12,YES
PLT-05-U04_TEMP,PLT-05-U04,OT-00461,C,20,220,YES
PLT-05-U04_PRESSURE,PLT-05-U04,OT-00461,bar,1,30,YES
PLT-05-U04_FLOW,PLT-05-U04,OT-00461,m3_h,10,500,YES
PLT-05-U04_VIBRATION,PLT-05-U04,OT-00461,mm_s,0.1,12,YES
PLT-05-U05_TEMP,PLT-05-U05,OT-00456,C,20,220,YES
PLT-05-U05_PRESSURE,PLT-05-U05,OT-00456,bar,1,30,YES
PLT-05-U05_FLOW,PLT-05-U05,OT-00456,m3_h,10,500,YES
PLT-05-U05_VIBRATION,PLT-05-U05,OT-00456,mm_s,0.1,12,YES
PLT-05-U06_TEMP,PLT-05-U06,OT-00473,C,20,220,YES
PLT-05-U06_PRESSURE,PLT-05-U06,OT-00473,bar,1,30,YES
PLT-05-U06_FLOW,PLT-05-U06,OT-00473,m3_h,10,500,YES
PLT-05-U06_VIBRATION,PLT-05-U06,OT-00473,mm_s,0.1,12,YES
PLT-05-U07_TEMP,PLT-05-U07,OT-00457,C,20,220,YES
PLT-05-U07_PRESSURE,PLT-05-U07,OT-00457,bar,1,30,YES
PLT-05-U07_FLOW,PLT-05-U07,OT-00457,m3_h,10,500,YES
PLT-05-U07_VIBRATION,PLT-05-U07,OT-00457,mm_s,0.1,12,YES
PLT-05-U08_TEMP,PLT-05-U08,OT-00487,C,20,220,NO
PLT-05-U08_PRESSURE,PLT-05-U08,OT-00487,bar,1,30,YES
PLT-05-U08_FLOW,PLT-05-U08,OT-00487,m3_h,10,500,YES
PLT-05-U08_VIBRATION,PLT-05-U08,OT-00487,mm_s,0.1,12,NO
PLT-05-U09_TEMP,PLT-05-U09,OT-00461,C,20,220,YES
PLT-05-U09_PRESSURE,PLT-05-U09,OT-00461,bar,1,30,YES
PLT-05-U09_FLOW,PLT-05-U09,OT-00461,m3_h,10,500,YES
PLT-05-U09_VIBRATION,PLT-05-U09,OT-00461,mm_s,0.1,12,YES
PLT-05-U10_TEMP,PLT-05-U10,OT-00472,C,20,220,YES
PLT-05-U10_PRESSURE,PLT-05-U10,OT-00472,bar,1,30,YES
PLT-05-U10_FLOW,PLT-05-U10,OT-00472,m3_h,10,500,YES
PLT-05-U10_VIBRATION,PLT-05-U10,OT-00472,mm_s,0.1,12,YES
PLT-05-U11_TEMP,PLT-05-U11,OT-00457,C,20,220,YES
PLT-05-U11_PRESSURE,PLT-05-U11,OT-00457,bar,1,30,YES
PLT-05-U11_FLOW,PLT-05-U11,OT-00457,m3_h,10,500,YES
PLT-05-U11_VIBRATION,PLT-05-U11,OT-00457,mm_s,0.1,12,YES
PLT-05-U12_TEMP,PLT-05-U12,OT-00484,C,20,220,YES
PLT-05-U12_PRESSURE,PLT-05-U12,OT-00484,bar,1,30,YES
PLT-05-U12_FLOW,PLT-05-U12,OT-00484,m3_h,10,500,YES
PLT-05-U12_VIBRATION,PLT-05-U12,OT-00484,mm_s,0.1,12,YES
PLT-06-U01_TEMP,PLT-06-U01,OT-00569,C,20,220,YES
PLT-06-U01_PRESSURE,PLT-06-U01,OT-00569,bar,1,30,YES
PLT-06-U01_FLOW,PLT-06-U01,OT-00569,m3_h,10,500,YES
PLT-06-U01_VIBRATION,PLT-06-U01,OT-00569,mm_s,0.1,12,YES
PLT-06-U02_TEMP,PLT-06-U02,OT-00615,C,20,220,YES
PLT-06-U02_PRESSURE,PLT-06-U02,OT-00615,bar,1,30,YES
PLT-06-U02_FLOW,PLT-06-U02,OT-00615,m3_h,10,500,YES
PLT-06-U02_VIBRATION,PLT-06-U02,OT-00615,mm_s,0.1,12,YES
PLT-06-U03_TEMP,PLT-06-U03,OT-00584,C,20,220,YES
PLT-06-U03_PRESSURE,PLT-06-U03,OT-00584,bar,1,30,NO
PLT-06-U03_FLOW,PLT-06-U03,OT-00584,m3_h,10,500,YES
PLT-06-U03_VIBRATION,PLT-06-U03,OT-00584,mm_s,0.1,12,YES
PLT-06-U04_TEMP,PLT-06-U04,OT-00625,C,20,220,YES
PLT-06-U04_PRESSURE,PLT-06-U04,OT-00625,bar,1,30,YES
PLT-06-U04_FLOW,PLT-06-U04,OT-00625,m3_h,10,500,YES
PLT-06-U04_VIBRATION,PLT-06-U04,OT-00625,mm_s,0.1,12,NO
PLT-06-U05_TEMP,PLT-06-U05,OT-00581,C,20,220,YES
PLT-06-U05_PRESSURE,PLT-06-U05,OT-00581,bar,1,30,YES
PLT-06-U05_FLOW,PLT-06-U05,OT-00581,m3_h,10,500,YES
PLT-06-U05_VIBRATION,PLT-06-U05,OT-00581,mm_s,0.1,12,YES
PLT-06-U06_TEMP,PLT-06-U06,OT-00615,C,20,220,YES
PLT-06-U06_PRESSURE,PLT-06-U06,OT-00615,bar,1,30,YES
PLT-06-U06_FLOW,PLT-06-U06,OT-00615,m3_h,10,500,YES
PLT-06-U06_VIBRATION,PLT-06-U06,OT-00615,mm_s,0.1,12,YES
PLT-06-U07_TEMP,PLT-06-U07,OT-00564,C,20,220,YES
PLT-06-U07_PRESSURE,PLT-06-U07,OT-00564,bar,1,30,YES
PLT-06-U07_FLOW,PLT-06-U07,OT-00564,m3_h,10,500,NO
PLT-06-U07_VIBRATION,PLT-06-U07,OT-00564,mm_s,0.1,12,YES
PLT-06-U08_TEMP,PLT-06-U08,OT-00604,C,20,220,NO
PLT-06-U08_PRESSURE,PLT-06-U08,OT-00604,bar,1,30,YES
PLT-06-U08_FLOW,PLT-06-U08,OT-00604,m3_h,10,500,YES
PLT-06-U08_VIBRATION,PLT-06-U08,OT-00604,mm_s,0.1,12,YES
PLT-06-U09_TEMP,PLT-06-U09,OT-00606,C,20,220,YES
PLT-06-U09_PRESSURE,PLT-06-U09,OT-00606,bar,1,30,YES
PLT-06-U09_FLOW,PLT-06-U09,OT-00606,m3_h,10,500,YES
PLT-06-U09_VIBRATION,PLT-06-U09,OT-00606,mm_s,0.1,12,YES
PLT-06-U10_TEMP,PLT-06-U10,OT-00541,C,20,220,YES
PLT-06-U10_PRESSURE,PLT-06-U10,OT-00541,bar,1,30,YES
PLT-06-U10_FLOW,PLT-06-U10,OT-00541,m3_h,10,500,YES
PLT-06-U10_VIBRATION,PLT-06-U10,OT-00541,mm_s,0.1,12,YES
PLT-06-U11_TEMP,PLT-06-U11,OT-00604,C,20,220,YES
PLT-06-U11_PRESSURE,PLT-06-U11,OT-00604,bar,1,30,YES
PLT-06-U11_FLOW,PLT-06-U11,OT-00604,m3_h,10,500,YES
PLT-06-U11_VIBRATION,PLT-06-U11,OT-00604,mm_s,0.1,12,YES
PLT-06-U12_TEMP,PLT-06-U12,OT-00612,C,20,220,YES
PLT-06-U12_PRESSURE,PLT-06-U12,OT-00612,bar,1,30,YES
PLT-06-U12_FLOW,PLT-06-U12,OT-00612,m3_h,10,500,YES
PLT-06-U12_VIBRATION,PLT-06-U12,OT-00612,mm_s,0.1,12,YES
PLT-07-U01_TEMP,PLT-07-U01,OT-00676,C,20,220,YES
PLT-07-U01_PRESSURE,PLT-07-U01,OT-00676,bar,1,30,YES
PLT-07-U01_FLOW,PLT-07-U01,OT-00676,m3_h,10,500,YES
PLT-07-U01_VIBRATION,PLT-07-U01,OT-00676,mm_s,0.1,12,YES
PLT-07-U02_TEMP,PLT-07-U02,OT-00695,C,20,220,YES
PLT-07-U02_PRESSURE,PLT-07-U02,OT-00695,bar,1,30,YES
PLT-07-U02_FLOW,PLT-07-U02,OT-00695,m3_h,10,500,YES
PLT-07-U02_VIBRATION,PLT-07-U02,OT-00695,mm_s,0.1,12,YES
PLT-07-U03_TEMP,PLT-07-U03,OT-00683,C,20,220,YES
PLT-07-U03_PRESSURE,PLT-07-U03,OT-00683,bar,1,30,YES
PLT-07-U03_FLOW,PLT-07-U03,OT-00683,m3_h,10,500,NO
PLT-07-U03_VIBRATION,PLT-07-U03,OT-00683,mm_s,0.1,12,YES
PLT-07-U04_TEMP,PLT-07-U04,OT-00652,C,20,220,YES
PLT-07-U04_PRESSURE,PLT-07-U04,OT-00652,bar,1,30,YES
PLT-07-U04_FLOW,PLT-07-U04,OT-00652,m3_h,10,500,YES
PLT-07-U04_VIBRATION,PLT-07-U04,OT-00652,mm_s,0.1,12,YES
PLT-07-U05_TEMP,PLT-07-U05,OT-00651,C,20,220,YES
PLT-07-U05_PRESSURE,PLT-07-U05,OT-00651,bar,1,30,YES
PLT-07-U05_FLOW,PLT-07-U05,OT-00651,m3_h,10,500,YES
PLT-07-U05_VIBRATION,PLT-07-U05,OT-00651,mm_s,0.1,12,YES
PLT-07-U06_TEMP,PLT-07-U06,OT-00677,C,20,220,YES
PLT-07-U06_PRESSURE,PLT-07-U06,OT-00677,bar,1,30,YES
PLT-07-U06_FLOW,PLT-07-U06,OT-00677,m3_h,10,500,YES
PLT-07-U06_VIBRATION,PLT-07-U06,OT-00677,mm_s,0.1,12,YES
PLT-07-U07_TEMP,PLT-07-U07,OT-00720,C,20,220,YES
PLT-07-U07_PRESSURE,PLT-07-U07,OT-00720,bar,1,30,YES
PLT-07-U07_FLOW,PLT-07-U07,OT-00720,m3_h,10,500,YES
PLT-07-U07_VIBRATION,PLT-07-U07,OT-00720,mm_s,0.1,12,YES
PLT-07-U08_TEMP,PLT-07-U08,OT-00731,C,20,220,YES
PLT-07-U08_PRESSURE,PLT-07-U08,OT-00731,bar,1,30,YES
PLT-07-U08_FLOW,PLT-07-U08,OT-00731,m3_h,10,500,YES
PLT-07-U08_VIBRATION,PLT-07-U08,OT-00731,mm_s,0.1,12,YES
PLT-07-U09_TEMP,PLT-07-U09,OT-00652,C,20,220,YES
PLT-07-U09_PRESSURE,PLT-07-U09,OT-00652,bar,1,30,YES
PLT-07-U09_FLOW,PLT-07-U09,OT-00652,m3_h,10,500,YES
PLT-07-U09_VIBRATION,PLT-07-U09,OT-00652,mm_s,0.1,12,YES
PLT-07-U10_TEMP,PLT-07-U10,OT-00676,C,20,220,YES
PLT-07-U10_PRESSURE,PLT-07-U10,OT-00676,bar,1,30,YES
PLT-07-U10_FLOW,PLT-07-U10,OT-00676,m3_h,10,500,YES
PLT-07-U10_VIBRATION,PLT-07-U10,OT-00676,mm_s,0.1,12,YES
PLT-07-U11_TEMP,PLT-07-U11,OT-00753,C,20,220,YES
PLT-07-U11_PRESSURE,PLT-07-U11,OT-00753,bar,1,30,YES
PLT-07-U11_FLOW,PLT-07-U11,OT-00753,m3_h,10,500,NO
PLT-07-U11_VIBRATION,PLT-07-U11,OT-00753,mm_s,0.1,12,YES
PLT-07-U12_TEMP,PLT-07-U12,OT-00705,C,20,220,YES
PLT-07-U12_PRESSURE,PLT-07-U12,OT-00705,bar,1,30,YES
PLT-07-U12_FLOW,PLT-07-U12,OT-00705,m3_h,10,500,YES
PLT-07-U12_VIBRATION,PLT-07-U12,OT-00705,mm_s,0.1,12,YES
PLT-08-U01_TEMP,PLT-08-U01,OT-00790,C,20,220,YES
