session_id,asset_id,plant_id,identity,method,approved_window,start_time,end_time,mfa
RA-00047,OT-01130,PLT-11,unknown,jump_host,YES,2026-09-28T13:39:00,2026-09-28T16:19:00,YES
RA-00048,OT-00421,PLT-04,vendor.engineer,jump_host,YES,2026-09-01T08:07:00,2026-09-01T08:23:00,YES
RA-00049,OT-01256,PLT-12,contractor,jump_host,NO,2026-09-20T12:59:00,2026-09-20T14:55:00,YES
RA-00050,OT-00266,PLT-03,site.engineer,vendor_vpn,NO,2026-09-18T05:57:00,2026-09-18T06:56:00,YES
RA-00051,OT-00238,PLT-03,vendor.engineer,local_service_laptop,UNKNOWN,2026-09-22T14:22:00,2026-09-22T17:00:00,YES
RA-00052,OT-01208,PLT-12,contractor,vendor_vpn,NO,2026-09-01T16:16:00,2026-09-01T16:32:00,YES
RA-00053,OT-02002,PLT-18,shared_support,remote_desktop,YES,2026-09-03T07:00:00,2026-09-03T08:44:00,YES
RA-00054,OT-01434,PLT-14,site.engineer,jump_host,YES,2026-09-08T22:20:00,2026-09-09T00:13:00,YES
RA-00055,OT-00993,PLT-10,vendor.engineer,jump_host,YES,2026-09-21T19:25:00,2026-09-21T22:13:00,YES
RA-00056,OT-01630,PLT-15,shared_support,remote_desktop,YES,2026-09-19T16:36:00,2026-09-19T18:06:00,YES
RA-00057,OT-00446,PLT-05,vendor.engineer,vendor_vpn,YES,2026-09-02T09:42:00,2026-09-02T12:42:00,UNKNOWN
RA-00058,OT-00827,PLT-08,vendor.engineer,remote_desktop,YES,2026-10-02T06:15:00,2026-10-02T07:36:00,YES
RA-00059,OT-00811,PLT-08,shared_support,local_service_laptop,YES,2026-09-13T20:26:00,2026-09-13T20:33:00,YES
RA-00060,OT-00604,PLT-06,site.engineer,local_service_laptop,YES,2026-09-22T13:51:00,2026-09-22T16:48:00,YES
RA-00061,OT-00486,PLT-05,contractor,jump_host,YES,2026-09-09T21:23:00,2026-09-10T00:16:00,NO
RA-00062,OT-00197,PLT-02,shared_support,local_service_laptop,YES,2026-09-08T11:51:00,2026-09-08T14:24:00,YES
RA-00063,OT-01523,PLT-14,contractor,jump_host,YES,2026-09-13T01:02:00,2026-09-13T01:41:00,UNKNOWN
RA-00064,OT-01039,PLT-10,site.engineer,local_service_laptop,YES,2026-09-04T23:40:00,2026-09-05T02:10:00,YES
RA-00065,OT-01272,PLT-12,shared_support,vendor_vpn,YES,2026-10-02T10:12:00,2026-10-02T13:09:00,YES
RA-00066,OT-01884,PLT-17,unknown,vendor_vpn,YES,2026-10-05T14:22:00,2026-10-05T14:43:00,YES
RA-00067,OT-00600,PLT-06,unknown,jump_host,YES,2026-09-16T07:32:00,2026-09-16T09:16:00,YES
RA-00068,OT-00115,PLT-02,unknown,vendor_vpn,YES,2026-09-19T12:42:00,2026-09-19T15:36:00,YES
RA-00069,OT-01683,PLT-16,site.engineer,vendor_vpn,YES,2026-09-22T10:42:00,2026-09-22T11:20:00,UNKNOWN
RA-00070,OT-01340,PLT-13,contractor,remote_desktop,YES,2026-10-01T13:28:00,2026-10-01T14:35:00,YES
RA-00071,OT-02002,PLT-18,unknown,local_service_laptop,YES,2026-09-05T14:59:00,2026-09-05T17:07:00,YES
RA-00072,OT-00118,PLT-02,vendor.engineer,remote_desktop,YES,2026-09-25T03:12:00,2026-09-25T04:40:00,NO
RA-00073,OT-00737,PLT-07,site.engineer,local_service_laptop,NO,2026-09-11T04:26:00,2026-09-11T07:12:00,YES
RA-00074,OT-01068,PLT-10,contractor,remote_desktop,NO,2026-09-16T03:32:00,2026-09-16T04:20:00,YES
RA-00075,OT-00131,PLT-02,vendor.engineer,jump_host,UNKNOWN,2026-09-10T13:50:00,2026-09-10T15:21:00,YES
RA-00076,OT-00813,PLT-08,contractor,jump_host,NO,2026-09-24T17:07:00,2026-09-24T18:36:00,YES
RA-00077,OT-00338,PLT-04,vendor.engineer,jump_host,YES,2026-09-26T15:12:00,2026-09-26T16:21:00,UNKNOWN
RA-00078,OT-00952,PLT-09,vendor.engineer,vendor_vpn,UNKNOWN,2026-09-11T22:24:00,2026-09-11T22:36:00,UNKNOWN
RA-00079,OT-00531,PLT-05,vendor.engineer,jump_host,YES,2026-09-14T20:31:00,2026-09-14T22:01:00,YES
RA-00080,OT-00299,PLT-03,shared_support,jump_host,YES,2026-09-03T06:02:00,2026-09-03T07:12:00,YES
RA-00081,OT-00119,PLT-02,shared_support,local_service_laptop,YES,2026-09-05T21:10:00,2026-09-05T23:26:00,YES
RA-00082,OT-01533,PLT-14,vendor.engineer,vendor_vpn,YES,2026-09-20T00:38:00,2026-09-20T02:54:00,YES
RA-00083,OT-00875,PLT-08,site.engineer,local_service_laptop,UNKNOWN,2026-09-10T03:34:00,2026-09-10T05:14:00,YES
RA-00084,OT-01042,PLT-10,vendor.engineer,jump_host,YES,2026-09-04T21:40:00,2026-09-04T22:56:00,YES
RA-00085,OT-00984,PLT-09,shared_support,local_service_laptop,YES,2026-09-28T02:52:00,2026-09-28T03:53:00,YES
RA-00086,OT-01112,PLT-11,contractor,jump_host,UNKNOWN,2026-09-28T20:56:00,2026-09-28T21:52:00,YES
RA-00087,OT-00452,PLT-05,site.engineer,local_service_laptop,YES,2026-09-29T10:04:00,2026-09-29T12:36:00,YES
RA-00088,OT-01220,PLT-12,site.engineer,local_service_laptop,NO,2026-09-17T15:39:00,2026-09-17T18:12:00,NO
RA-00089,OT-01676,PLT-16,unknown,vendor_vpn,YES,2026-09-28T07:23:00,2026-09-28T08:31:00,YES
RA-00090,OT-01614,PLT-15,site.engineer,vendor_vpn,YES,2026-09-07T03:19:00,2026-09-07T04:26:00,YES
RA-00091,OT-01734,PLT-16,contractor,local_service_laptop,UNKNOWN,2026-09-05T16:34:00,2026-09-05T19:30:00,YES
RA-00092,OT-01861,PLT-17,site.engineer,remote_desktop,YES,2026-10-02T15:27:00,2026-10-02T18:26:00,YES
RA-00093,OT-01419,PLT-13,unknown,vendor_vpn,UNKNOWN,2026-09-01T08:16:00,2026-09-01T10:57:00,YES
RA-00094,OT-01369,PLT-13,shared_support,remote_desktop,YES,2026-09-07T20:58:00,2026-09-07T21:16:00,YES
RA-00095,OT-01420,PLT-13,site.engineer,remote_desktop,YES,2026-09-21T04:10:00,2026-09-21T05:54:00,YES
RA-00096,OT-00323,PLT-04,unknown,vendor_vpn,YES,2026-09-17T18:27:00,2026-09-17T21:02:00,YES
RA-00097,OT-01949,PLT-18,vendor.engineer,local_service_laptop,YES,2026-09-16T03:20:00,2026-09-16T05:49:00,UNKNOWN
RA-00098,OT-00285,PLT-03,vendor.engineer,jump_host,YES,2026-09-24T10:54:00,2026-09-24T11:02:00,YES
RA-00099,OT-01525,PLT-14,vendor.engineer,jump_host,YES,2026-09-19T15:33:00,2026-09-19T16:38:00,YES
RA-00100,OT-01000,PLT-10,contractor,jump_host,YES,2026-09-14T17:41:00,2026-09-14T19:17:00,YES
RA-00101,OT-01277,PLT-12,shared_support,jump_host,YES,2026-09-03T06:52:00,2026-09-03T07:52:00,YES
RA-00102,OT-01467,PLT-14,site.engineer,vendor_vpn,NO,2026-09-10T00:11:00,2026-09-10T01:42:00,YES
RA-00103,OT-01022,PLT-10,vendor.engineer,jump_host,YES,2026-09-25T21:04:00,2026-09-25T22:11:00,UNKNOWN
RA-00104,OT-01598,PLT-15,shared_support,jump_host,YES,2026-09-04T07:34:00,2026-09-04T07:58:00,YES
RA-00105,OT-00743,PLT-07,site.engineer,vendor_vpn,YES,2026-09-03T03:00:00,2026-09-03T03:07:00,NO
RA-00106,OT-00629,PLT-06,vendor.engineer,remote_desktop,YES,2026-09-23T17:52:00,2026-09-23T18:21:00,YES
RA-00107,OT-00330,PLT-04,site.engineer,remote_desktop,YES,2026-09-12T05:52:00,2026-09-12T06:37:00,YES
RA-00108,OT-00889,PLT-09,contractor,vendor_vpn,YES,2026-09-23T10:34:00,2026-09-23T10:43:00,YES
RA-00109,OT-00389,PLT-04,site.engineer,vendor_vpn,YES,2026-09-20T10:59:00,2026-09-20T13:07:00,YES
RA-00110,OT-01913,PLT-18,contractor,local_service_laptop,UNKNOWN,2026-09-10T06:02:00,2026-09-10T06:44:00,YES
RA-00111,OT-01743,PLT-16,shared_support,vendor_vpn,YES,2026-10-04T16:11:00,2026-10-04T16:51:00,YES
RA-00112,OT-00267,PLT-03,site.engineer,jump_host,YES,2026-10-02T00:02:00,2026-10-02T02:53:00,YES
RA-00113,OT-01782,PLT-16,vendor.engineer,jump_host,NO,2026-09-02T12:01:00,2026-09-02T13:45:00,YES
RA-00114,OT-01110,PLT-11,vendor.engineer,vendor_vpn,YES,2026-09-27T00:00:00,2026-09-27T00:29:00,YES
RA-00115,OT-00165,PLT-02,vendor.engineer,local_service_laptop,YES,2026-09-10T12:06:00,2026-09-10T15:00:00,YES
RA-00116,OT-00108,PLT-02,contractor,vendor_vpn,YES,2026-09-28T09:25:00,2026-09-28T12:17:00,YES
RA-00117,OT-00762,PLT-08,site.engineer,local_service_laptop,YES,2026-09-04T13:36:00,2026-09-04T15:44:00,YES
RA-00118,OT-01099,PLT-10,unknown,local_service_laptop,YES,2026-09-30T19:38:00,2026-09-30T22:22:00,NO
RA-00119,OT-01951,PLT-18,unknown,local_service_laptop,NO,2026-09-15T09:45:00,2026-09-15T11:00:00,YES
RA-00120,OT-00772,PLT-08,site.engineer,jump_host,YES,2026-09-09T09:05:00,2026-09-09T11:14:00,YES
RA-00121,OT-00020,PLT-01,contractor,remote_desktop,YES,2026-09-30T10:14:00,2026-09-30T10:51:00,YES
RA-00122,OT-01006,PLT-10,vendor.engineer,local_service_laptop,YES,2026-09-04T05:50:00,2026-09-04T07:10:00,YES
RA-00123,OT-01743,PLT-16,contractor,remote_desktop,YES,2026-09-04T21:52:00,2026-09-04T23:21:00,YES
RA-00124,OT-00652,PLT-07,shared_support,remote_desktop,YES,2026-09-26T10:04:00,2026-09-26T11:18:00,YES
RA-00125,OT-00813,PLT-08,unknown,vendor_vpn,UNKNOWN,2026-09-30T20:50:00,2026-09-30T22:16:00,YES
RA-00126,OT-01057,PLT-10,vendor.engineer,jump_host,YES,2026-09-19T13:54:00,2026-09-19T16:15:00,YES
RA-00127,OT-00379,PLT-04,shared_support,jump_host,YES,2026-09-18T16:44:00,2026-09-18T17:56:00,YES
RA-00128,OT-00643,PLT-07,contractor,local_service_laptop,YES,2026-09-26T10:50:00,2026-09-26T12:28:00,YES
RA-00129,OT-00449,PLT-05,unknown,local_service_laptop,YES,2026-09-02T23:57:00,2026-09-03T02:25:00,YES
RA-00130,OT-01763,PLT-16,vendor.engineer,local_service_laptop,YES,2026-09-07T13:11:00,2026-09-07T13:24:00,YES
RA-00131,OT-01986,PLT-18,vendor.engineer,remote_desktop,YES,2026-09-30T18:20:00,2026-09-30T19:03:00,YES
RA-00132,OT-01803,PLT-17,unknown,jump_host,YES,2026-09-02T04:15:00,2026-09-02T06:31:00,YES
RA-00133,OT-00337,PLT-04,vendor.engineer,local_service_laptop,YES,2026-09-20T14:53:00,2026-09-20T15:17:00,YES
RA-00134,OT-01661,PLT-15,shared_support,jump_host,YES,2026-09-08T21:34:00,2026-09-08T22:58:00,YES
RA-00135,OT-01723,PLT-16,contractor,jump_host,YES,2026-09-03T11:29:00,2026-09-03T13:07:00,YES
RA-00136,OT-00594,PLT-06,unknown,remote_desktop,NO,2026-09-10T06:37:00,2026-09-10T09:28:00,NO
RA-00137,OT-00589,PLT-06,shared_support,vendor_vpn,YES,2026-09-01T14:03:00,2026-09-01T16:45:00,UNKNOWN
RA-00138,OT-00002,PLT-01,unknown,vendor_vpn,YES,2026-10-01T11:19:00,2026-10-01T11:44:00,YES
RA-00139,OT-00703,PLT-07,unknown,vendor_vpn,YES,2026-09-27T08:41:00,2026-09-27T11:15:00,NO
RA-00140,OT-01598,PLT-15,contractor,vendor_vpn,UNKNOWN,2026-09-27T06:37:00,2026-09-27T07:21:00,UNKNOWN
RA-00141,OT-00608,PLT-06,site.engineer,jump_host,NO,2026-09-20T07:28:00,2026-09-20T10:27:00,YES
RA-00142,OT-01570,PLT-15,unknown,jump_host,YES,2026-09-07T06:41:00,2026-09-07T07:18:00,YES
RA-00143,OT-00160,PLT-02,unknown,remote_desktop,YES,2026-10-05T19:35:00,2026-10-05T22:08:00,YES
RA-00144,OT-01829,PLT-17,shared_support,jump_host,UNKNOWN,2026-09-02T13:41:00,2026-09-02T16:29:00,YES
RA-00145,OT-01148,PLT-11,unknown,remote_desktop,NO,2026-10-05T23:09:00,2026-10-06T01:35:00,YES
RA-00146,OT-01962,PLT-18,unknown,local_service_laptop,YES,2026-09-27T05:36:00,2026-09-27T08:14:00,YES
RA-00147,OT-01658,PLT-15,vendor.engineer,vendor_vpn,UNKNOWN,2026-09-11T08:00:00,2026-09-11T10:31:00,YES
RA-00148,OT-00617,PLT-06,unknown,remote_desktop,UNKNOWN,2026-09-29T04:17:00,2026-09-29T05:21:00,YES
RA-00149,OT-00205,PLT-02,contractor,jump_host,YES,2026-09-27T18:57:00,2026-09-27T19:18:00,NO
RA-00150,OT-01988,PLT-18,shared_support,remote_desktop,YES,2026-09-08T00:19:00,2026-09-08T02:28:00,YES
RA-00151,OT-00363,PLT-04,unknown,vendor_vpn,YES,2026-09-14T05:49:00,2026-09-14T06:21:00,YES
RA-00152,OT-00180,PLT-02,contractor,jump_host,YES,2026-09-03T02:25:00,2026-09-03T04:15:00,YES
RA-00153,OT-01454,PLT-14,site.engineer,vendor_vpn,YES,2026-09-15T17:13:00,2026-09-15T18:03:00,YES
RA-00154,OT-01251,PLT-12,site.engineer,vendor_vpn,YES,2026-09-18T17:45:00,2026-09-18T19:47:00,YES
RA-00155,OT-00496,PLT-05,site.engineer,jump_host,YES,2026-09-14T06:22:00,2026-09-14T08:52:00,YES
RA-00156,OT-00901,PLT-09,vendor.engineer,jump_host,YES,2026-09-03T22:47:00,2026-09-04T01:06:00,YES
RA-00157,OT-01758,PLT-16,contractor,remote_desktop,UNKNOWN,2026-10-02T15:52:00,2026-10-02T17:38:00,UNKNOWN
RA-00158,OT-00609,PLT-06,unknown,vendor_vpn,YES,2026-09-28T21:15:00,2026-09-28T23:26:00,NO
RA-00159,OT-00598,PLT-06,contractor,remote_desktop,NO,2026-09-18T18:57:00,2026-09-18T19:07:00,YES
RA-00160,OT-00588,PLT-06,shared_support,vendor_vpn,YES,2026-09-10T21:05:00,2026-09-10T22:34:00,NO
RA-00161,OT-01723,PLT-16,contractor,vendor_vpn,YES,2026-09-23T19:25:00,2026-09-23T20:14:00,YES
RA-00162,OT-01540,PLT-14,unknown,local_service_laptop,YES,2026-09-28T07:31:00,2026-09-28T09:20:00,YES
RA-00163,OT-00495,PLT-05,contractor,vendor_vpn,YES,2026-09-30T15:22:00,2026-09-30T18:11:00,YES
RA-00164,OT-01459,PLT-14,site.engineer,jump_host,YES,2026-09-10T13:32:00,2026-09-10T15:01:00,YES
RA-00165,OT-01446,PLT-14,vendor.engineer,vendor_vpn,NO,2026-09-16T17:04:00,2026-09-16T17:44:00,YES
RA-00166,OT-01600,PLT-15,shared_support,remote_desktop,YES,2026-09-21T03:52:00,2026-09-21T04:39:00,YES
RA-00167,OT-01279,PLT-12,contractor,remote_desktop,YES,2026-09-18T14:12:00,2026-09-18T15:14:00,YES
RA-00168,OT-00106,PLT-02,vendor.engineer,jump_host,YES,2026-09-21T10:01:00,2026-09-21T12:52:00,YES
RA-00169,OT-00704,PLT-07,vendor.engineer,remote_desktop,YES,2026-09-18T14:35:00,2026-09-18T17:26:00,YES
RA-00170,OT-01293,PLT-12,vendor.engineer,local_service_laptop,YES,2026-09-29T11:48:00,2026-09-29T13:15:00,YES
RA-00171,OT-00876,PLT-08,contractor,local_service_laptop,YES,2026-09-11T22:59:00,2026-09-12T01:31:00,NO
RA-00172,OT-01568,PLT-15,site.engineer,jump_host,UNKNOWN,2026-09-16T02:26:00,2026-09-16T05:18:00,YES
RA-00173,OT-01620,PLT-15,shared_support,vendor_vpn,YES,2026-09-19T10:02:00,2026-09-19T11:24:00,YES
RA-00174,OT-01600,PLT-15,unknown,remote_desktop,YES,2026-09-10T19:57:00,2026-09-10T22:47:00,YES
RA-00175,OT-00510,PLT-05,shared_support,local_service_laptop,YES,2026-09-19T18:44:00,2026-09-19T19:48:00,YES
RA-00176,OT-00467,PLT-05,vendor.engineer,vendor_vpn,YES,2026-09-22T05:59:00,2026-09-22T06:22:00,YES
RA-00177,OT-00489,PLT-05,contractor,vendor_vpn,YES,2026-09-28T07:58:00,2026-09-28T08:30:00,YES
RA-00178,OT-00630,PLT-06,contractor,remote_desktop,YES,2026-09-17T17:20:00,2026-09-17T18:24:00,YES
RA-00179,OT-01514,PLT-14,unknown,local_service_laptop,YES,2026-10-03T11:25:00,2026-10-03T12:48:00,YES
RA-00180,OT-01886,PLT-17,site.engineer,jump_host,YES,2026-09-25T21:58:00,2026-09-26T00:04:00,YES
RA-00181,OT-01869,PLT-17,shared_support,jump_host,YES,2026-09-04T04:01:00,2026-09-04T05:21:00,YES
RA-00182,OT-01723,PLT-16,unknown,vendor_vpn,UNKNOWN,2026-09-09T14:01:00,2026-09-09T15:00:00,YES
RA-00183,OT-00484,PLT-05,unknown,remote_desktop,YES,2026-10-05T11:43:00,2026-10-05T12:03:00,YES
RA-00184,OT-01155,PLT-11,unknown,vendor_vpn,YES,2026-09-03T20:18:00,2026-09-03T20:48:00,YES
RA-00185,OT-01920,PLT-18,site.engineer,jump_host,YES,2026-09-15T03:00:00,2026-09-15T04:02:00,YES
RA-00186,OT-01637,PLT-15,shared_support,local_service_laptop,YES,2026-09-24T13:40:00,2026-09-24T16:39:00,YES
RA-00187,OT-00164,PLT-02,contractor,remote_desktop,YES,2026-09-14T14:42:00,2026-09-14T15:23:00,YES
RA-00188,OT-00488,PLT-05,vendor.engineer,jump_host,YES,2026-09-27T16:38:00,2026-09-27T19:31:00,YES
RA-00189,OT-01086,PLT-10,shared_support,local_service_laptop,YES,2026-09-21T12:58:00,2026-09-21T14:19:00,YES
RA-00190,OT-01208,PLT-12,contractor,jump_host,YES,2026-09-30T21:32:00,2026-10-01T00:05:00,YES
RA-00191,OT-00942,PLT-09,vendor.engineer,vendor_vpn,YES,2026-10-03T02:29:00,2026-10-03T03:53:00,YES
RA-00192,OT-01508,PLT-14,unknown,jump_host,YES,2026-09-27T06:23:00,2026-09-27T07:49:00,YES
RA-00193,OT-00582,PLT-06,shared_support,jump_host,YES,2026-09-07T13:20:00,2026-09-07T14:40:00,YES
RA-00194,OT-00190,PLT-02,unknown,local_service_laptop,YES,2026-09-19T13:57:00,2026-09-19T16:57:00,YES
RA-00195,OT-01431,PLT-14,vendor.engineer,jump_host,UNKNOWN,2026-09-15T03:36:00,2026-09-15T04:25:00,NO
RA-00196,OT-00067,PLT-01,vendor.engineer,jump_host,YES,2026-10-01T13:00:00,2026-10-01T14:33:00,YES
RA-00197,OT-01274,PLT-12,site.engineer,remote_desktop,YES,2026-09-18T17:31:00,2026-09-18T17:57:00,UNKNOWN
RA-00198,OT-01866,PLT-17,unknown,remote_desktop,YES,2026-10-04T14:32:00,2026-10-04T15:34:00,YES
RA-00199,OT-00692,PLT-07,shared_support,local_service_laptop,YES,2026-09-16T06:33:00,2026-09-16T08:43:00,UNKNOWN
RA-00200,OT-00570,PLT-06,vendor.engineer,vendor_vpn,YES,2026-09-03T21:06:00,2026-09-03T22:28:00,YES
RA-00201,OT-00017,PLT-01,shared_support,remote_desktop,YES,2026-10-02T02:40:00,2026-10-02T03:21:00,YES
RA-00202,OT-00763,PLT-08,site.engineer,remote_desktop,UNKNOWN,2026-09-06T21:01:00,2026-09-06T23:13:00,YES
RA-00203,OT-00552,PLT-06,unknown,remote_desktop,YES,2026-10-01T05:57:00,2026-10-01T08:15:00,YES
RA-00204,OT-01002,PLT-10,site.engineer,vendor_vpn,YES,2026-09-28T10:52:00,2026-09-28T11:27:00,YES
RA-00205,OT-00090,PLT-01,shared_support,local_service_laptop,YES,2026-09-06T12:31:00,2026-09-06T12:44:00,YES
RA-00206,OT-00051,PLT-01,shared_support,remote_desktop,UNKNOWN,2026-09-17T06:29:00,2026-09-17T08:12:00,YES
RA-00207,OT-00210,PLT-03,site.engineer,vendor_vpn,YES,2026-10-03T11:06:00,2026-10-03T13:36:00,YES
RA-00208,OT-01989,PLT-18,unknown,vendor_vpn,YES,2026-09-03T04:50:00,2026-09-03T05:23:00,YES
RA-00209,OT-01071,PLT-10,unknown,local_service_laptop,NO,2026-09-11T21:44:00,2026-09-12T00:44:00,YES
RA-00210,OT-01561,PLT-15,site.engineer,vendor_vpn,NO,2026-09-29T13:47:00,2026-09-29T15:31:00,YES
RA-00211,OT-01595,PLT-15,unknown,jump_host,YES,2026-09-20T23:20:00,2026-09-20T23:42:00,YES
RA-00212,OT-00399,PLT-04,site.engineer,jump_host,YES,2026-09-09T14:11:00,2026-09-09T15:42:00,YES
RA-00213,OT-00727,PLT-07,shared_support,remote_desktop,YES,2026-09-25T04:08:00,2026-09-25T04:40:00,YES
RA-00214,OT-00283,PLT-03,shared_support,jump_host,YES,2026-10-01T18:56:00,2026-10-01T20:38:00,YES
RA-00215,OT-01587,PLT-15,site.engineer,jump_host,YES,2026-09-12T13:06:00,2026-09-12T13:47:00,YES
RA-00216,OT-00227,PLT-03,site.engineer,remote_desktop,YES,2026-09-14T07:51:00,2026-09-14T09:47:00,YES
RA-00217,OT-01082,PLT-10,unknown,remote_desktop,NO,2026-09-12T20:14:00,2026-09-12T22:44:00,YES
RA-00218,OT-01235,PLT-12,vendor.engineer,jump_host,YES,2026-09-21T08:05:00,2026-09-21T09:49:00,YES
RA-00219,OT-01554,PLT-15,site.engineer,remote_desktop,YES,2026-09-04T02:28:00,2026-09-04T04:50:00,YES
RA-00220,OT-00245,PLT-03,shared_support,remote_desktop,NO,2026-09-19T01:39:00,2026-09-19T02:41:00,YES
