finding_id,asset_id,severity,cvss,exploitability,network_reachable,compensating_control,status
VUL-00063,OT-01675,MEDIUM,7.6,HIGH,NO,NONE,ACCEPTED
VUL-00064,OT-00849,LOW,8.8,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00065,OT-00284,MEDIUM,9.3,MEDIUM,NO,UNKNOWN,OPEN
VUL-00066,OT-00957,HIGH,9.9,MEDIUM,YES,SEGMENTED,OPEN
VUL-00067,OT-01673,MEDIUM,8.4,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00068,OT-00704,HIGH,5.0,LOW,NO,NONE,MITIGATED
VUL-00069,OT-00548,HIGH,9.5,HIGH,YES,NONE,MITIGATED
VUL-00070,OT-00672,CRITICAL,9.6,HIGH,UNKNOWN,MONITORED,OPEN
VUL-00071,OT-00369,HIGH,6.5,HIGH,NO,NONE,OPEN
VUL-00072,OT-00529,MEDIUM,7.6,LOW,YES,ALLOWLIST,OPEN
VUL-00073,OT-01039,LOW,8.4,HIGH,YES,MONITORED,ACCEPTED
VUL-00074,OT-00591,HIGH,7.0,HIGH,YES,MONITORED,OPEN
VUL-00075,OT-01886,CRITICAL,8.5,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00076,OT-01040,MEDIUM,4.3,MEDIUM,NO,NONE,OPEN
VUL-00077,OT-00334,MEDIUM,6.5,MEDIUM,UNKNOWN,ALLOWLIST,OPEN
VUL-00078,OT-01718,CRITICAL,8.6,HIGH,UNKNOWN,ALLOWLIST,MITIGATED
VUL-00079,OT-01704,HIGH,9.2,LOW,YES,ALLOWLIST,OPEN
VUL-00080,OT-00868,CRITICAL,4.1,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00081,OT-01740,HIGH,6.5,HIGH,YES,UNKNOWN,ACCEPTED
VUL-00082,OT-00607,LOW,9.0,HIGH,NO,MONITORED,MITIGATED
VUL-00083,OT-00942,CRITICAL,4.5,HIGH,UNKNOWN,NONE,OPEN
VUL-00084,OT-01096,LOW,8.4,MEDIUM,YES,UNKNOWN,MITIGATED
VUL-00085,OT-00521,CRITICAL,5.5,LOW,YES,MONITORED,ACCEPTED
VUL-00086,OT-00038,MEDIUM,6.5,MEDIUM,NO,NONE,OPEN
VUL-00087,OT-00112,MEDIUM,5.4,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00088,OT-01228,HIGH,5.8,MEDIUM,YES,MONITORED,OPEN
VUL-00089,OT-00683,HIGH,9.8,MEDIUM,YES,UNKNOWN,MITIGATED
VUL-00090,OT-00328,CRITICAL,5.1,LOW,NO,NONE,OPEN
VUL-00091,OT-00403,HIGH,6.3,LOW,YES,MONITORED,OPEN
VUL-00092,OT-01335,HIGH,7.0,LOW,NO,ALLOWLIST,OPEN
VUL-00093,OT-02002,MEDIUM,5.1,HIGH,UNKNOWN,ALLOWLIST,ACCEPTED
VUL-00094,OT-01089,CRITICAL,7.0,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00095,OT-01710,CRITICAL,9.1,HIGH,YES,MONITORED,MITIGATED
VUL-00096,OT-01415,LOW,7.7,HIGH,NO,NONE,ACCEPTED
VUL-00097,OT-00611,LOW,9.6,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00098,OT-01016,HIGH,8.7,HIGH,YES,ALLOWLIST,OPEN
VUL-00099,OT-01971,LOW,5.8,MEDIUM,UNKNOWN,ALLOWLIST,ACCEPTED
VUL-00100,OT-00874,LOW,6.3,MEDIUM,YES,UNKNOWN,OPEN
VUL-00101,OT-01133,LOW,7.6,MEDIUM,NO,MONITORED,OPEN
VUL-00102,OT-00392,MEDIUM,7.9,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00103,OT-01070,CRITICAL,4.4,HIGH,YES,MONITORED,OPEN
VUL-00104,OT-01523,HIGH,6.2,HIGH,NO,ALLOWLIST,MITIGATED
VUL-00105,OT-01087,CRITICAL,7.2,HIGH,YES,ALLOWLIST,OPEN
VUL-00106,OT-01188,LOW,6.5,HIGH,NO,UNKNOWN,OPEN
VUL-00107,OT-00922,HIGH,6.7,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00108,OT-01385,HIGH,4.9,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00109,OT-01150,CRITICAL,8.5,MEDIUM,NO,UNKNOWN,MITIGATED
VUL-00110,OT-00370,HIGH,7.2,HIGH,NO,NONE,OPEN
VUL-00111,OT-01751,HIGH,8.5,LOW,NO,ALLOWLIST,OPEN
VUL-00112,OT-00534,MEDIUM,9.6,HIGH,UNKNOWN,NONE,MITIGATED
VUL-00113,OT-00724,HIGH,7.0,HIGH,NO,MONITORED,OPEN
VUL-00114,OT-01955,CRITICAL,9.5,MEDIUM,YES,UNKNOWN,OPEN
VUL-00115,OT-01170,MEDIUM,5.2,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00116,OT-01022,HIGH,8.8,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00117,OT-00006,HIGH,8.4,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00118,OT-01375,LOW,8.0,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00119,OT-01474,MEDIUM,8.7,HIGH,NO,NONE,OPEN
VUL-00120,OT-01261,MEDIUM,8.8,LOW,UNKNOWN,MONITORED,OPEN
VUL-00121,OT-01062,HIGH,8.6,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00122,OT-01545,LOW,6.6,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00123,OT-00251,CRITICAL,9.5,LOW,UNKNOWN,NONE,ACCEPTED
VUL-00124,OT-00495,LOW,5.8,LOW,NO,UNKNOWN,MITIGATED
VUL-00125,OT-00192,LOW,4.9,MEDIUM,YES,NONE,OPEN
VUL-00126,OT-01253,LOW,9.3,HIGH,NO,UNKNOWN,OPEN
VUL-00127,OT-00057,MEDIUM,8.9,MEDIUM,NO,ALLOWLIST,ACCEPTED
VUL-00128,OT-00226,HIGH,8.6,HIGH,YES,MONITORED,MITIGATED
VUL-00129,OT-01663,HIGH,6.2,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00130,OT-00278,LOW,4.1,HIGH,YES,UNKNOWN,OPEN
VUL-00131,OT-00230,CRITICAL,7.2,HIGH,YES,NONE,ACCEPTED
VUL-00132,OT-00351,LOW,4.4,MEDIUM,NO,NONE,MITIGATED
VUL-00133,OT-00518,HIGH,5.7,MEDIUM,NO,MONITORED,OPEN
VUL-00134,OT-00454,HIGH,4.1,HIGH,YES,SEGMENTED,MITIGATED
VUL-00135,OT-00294,CRITICAL,6.0,LOW,NO,ALLOWLIST,OPEN
VUL-00136,OT-00375,HIGH,9.0,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00137,OT-01117,LOW,6.5,LOW,NO,UNKNOWN,OPEN
VUL-00138,OT-00456,HIGH,9.3,HIGH,YES,ALLOWLIST,OPEN
VUL-00139,OT-00469,CRITICAL,7.3,HIGH,YES,ALLOWLIST,OPEN
VUL-00140,OT-00795,HIGH,6.6,HIGH,UNKNOWN,NONE,OPEN
VUL-00141,OT-00462,LOW,8.8,LOW,YES,NONE,OPEN
VUL-00142,OT-00049,CRITICAL,4.2,LOW,NO,ALLOWLIST,OPEN
VUL-00143,OT-00952,LOW,6.3,MEDIUM,UNKNOWN,NONE,ACCEPTED
VUL-00144,OT-00890,CRITICAL,7.8,LOW,YES,MONITORED,OPEN
VUL-00145,OT-00243,CRITICAL,6.9,MEDIUM,UNKNOWN,SEGMENTED,MITIGATED
VUL-00146,OT-01867,LOW,6.5,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00147,OT-01988,LOW,5.6,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00148,OT-00184,HIGH,6.0,HIGH,NO,SEGMENTED,OPEN
VUL-00149,OT-00064,HIGH,7.6,LOW,YES,UNKNOWN,MITIGATED
VUL-00150,OT-01200,CRITICAL,6.0,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00151,OT-00902,HIGH,7.5,LOW,UNKNOWN,SEGMENTED,MITIGATED
VUL-00152,OT-00308,HIGH,7.5,HIGH,UNKNOWN,NONE,OPEN
VUL-00153,OT-01953,MEDIUM,6.4,LOW,YES,UNKNOWN,OPEN
VUL-00154,OT-01712,HIGH,4.9,MEDIUM,YES,SEGMENTED,ACCEPTED
VUL-00155,OT-01719,HIGH,9.8,LOW,UNKNOWN,SEGMENTED,MITIGATED
VUL-00156,OT-00917,LOW,8.9,HIGH,UNKNOWN,MONITORED,OPEN
VUL-00157,OT-00792,HIGH,9.2,LOW,YES,MONITORED,OPEN
VUL-00158,OT-01341,HIGH,9.2,LOW,YES,NONE,OPEN
VUL-00159,OT-01435,LOW,5.3,MEDIUM,NO,UNKNOWN,OPEN
VUL-00160,OT-00102,MEDIUM,5.3,HIGH,NO,UNKNOWN,OPEN
VUL-00161,OT-01984,LOW,5.4,LOW,NO,MONITORED,ACCEPTED
VUL-00162,OT-01191,LOW,5.3,MEDIUM,YES,MONITORED,OPEN
VUL-00163,OT-01934,HIGH,8.2,MEDIUM,YES,UNKNOWN,OPEN
VUL-00164,OT-01452,CRITICAL,9.5,LOW,UNKNOWN,NONE,OPEN
VUL-00165,OT-00103,MEDIUM,8.5,MEDIUM,UNKNOWN,ALLOWLIST,OPEN
VUL-00166,OT-01086,HIGH,6.6,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00167,OT-00258,MEDIUM,8.7,HIGH,YES,SEGMENTED,OPEN
VUL-00168,OT-01560,LOW,7.7,HIGH,NO,UNKNOWN,MITIGATED
VUL-00169,OT-01368,LOW,6.9,HIGH,NO,NONE,MITIGATED
VUL-00170,OT-00008,LOW,5.4,LOW,UNKNOWN,SEGMENTED,ACCEPTED
VUL-00171,OT-00517,LOW,8.1,MEDIUM,NO,SEGMENTED,ACCEPTED
VUL-00172,OT-00183,HIGH,5.8,HIGH,YES,SEGMENTED,OPEN
VUL-00173,OT-00087,CRITICAL,6.2,MEDIUM,YES,UNKNOWN,OPEN
VUL-00174,OT-00300,CRITICAL,8.3,HIGH,NO,UNKNOWN,OPEN
VUL-00175,OT-01250,HIGH,9.8,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00176,OT-00048,MEDIUM,6.8,MEDIUM,NO,UNKNOWN,MITIGATED
VUL-00177,OT-02015,MEDIUM,8.4,MEDIUM,NO,MONITORED,ACCEPTED
VUL-00178,OT-01331,HIGH,8.7,HIGH,NO,UNKNOWN,ACCEPTED
VUL-00179,OT-00768,HIGH,8.2,LOW,UNKNOWN,MONITORED,MITIGATED
VUL-00180,OT-00218,CRITICAL,7.0,LOW,YES,MONITORED,OPEN
VUL-00181,OT-00058,CRITICAL,5.0,LOW,NO,NONE,OPEN
VUL-00182,OT-01249,LOW,7.6,LOW,UNKNOWN,MONITORED,OPEN
VUL-00183,OT-00203,HIGH,5.0,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00184,OT-00796,MEDIUM,8.3,HIGH,NO,NONE,OPEN
VUL-00185,OT-01628,HIGH,4.0,HIGH,NO,UNKNOWN,OPEN
VUL-00186,OT-00679,LOW,6.7,HIGH,NO,ALLOWLIST,OPEN
VUL-00187,OT-01557,HIGH,5.7,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00188,OT-01365,CRITICAL,7.0,LOW,NO,ALLOWLIST,OPEN
VUL-00189,OT-00152,LOW,9.7,HIGH,NO,NONE,OPEN
VUL-00190,OT-01741,MEDIUM,6.3,HIGH,NO,SEGMENTED,OPEN
VUL-00191,OT-00783,LOW,5.1,MEDIUM,NO,MONITORED,MITIGATED
VUL-00192,OT-00730,LOW,8.8,MEDIUM,NO,MONITORED,MITIGATED
VUL-00193,OT-00959,LOW,8.6,HIGH,NO,UNKNOWN,OPEN
VUL-00194,OT-01826,LOW,4.3,MEDIUM,NO,SEGMENTED,OPEN
VUL-00195,OT-00927,HIGH,9.7,HIGH,NO,SEGMENTED,ACCEPTED
VUL-00196,OT-01113,HIGH,9.1,LOW,UNKNOWN,MONITORED,OPEN
VUL-00197,OT-01260,CRITICAL,6.8,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00198,OT-01266,HIGH,4.5,HIGH,NO,NONE,OPEN
VUL-00199,OT-00501,HIGH,9.8,HIGH,YES,SEGMENTED,OPEN
VUL-00200,OT-00191,CRITICAL,5.1,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00201,OT-01377,LOW,8.8,HIGH,NO,SEGMENTED,OPEN
VUL-00202,OT-01124,HIGH,9.3,LOW,UNKNOWN,MONITORED,OPEN
VUL-00203,OT-00492,LOW,8.3,HIGH,YES,ALLOWLIST,OPEN
VUL-00204,OT-01877,MEDIUM,9.7,MEDIUM,YES,MONITORED,OPEN
VUL-00205,OT-01894,MEDIUM,6.2,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00206,OT-01325,HIGH,4.0,HIGH,YES,UNKNOWN,MITIGATED
VUL-00207,OT-01696,HIGH,6.5,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00208,OT-01884,HIGH,8.4,MEDIUM,NO,UNKNOWN,OPEN
VUL-00209,OT-01192,HIGH,7.0,LOW,NO,SEGMENTED,ACCEPTED
VUL-00210,OT-01206,HIGH,8.1,MEDIUM,NO,SEGMENTED,OPEN
VUL-00211,OT-00894,CRITICAL,4.7,MEDIUM,YES,MONITORED,MITIGATED
VUL-00212,OT-01636,CRITICAL,5.2,LOW,NO,NONE,OPEN
VUL-00213,OT-01319,LOW,8.4,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00214,OT-01588,CRITICAL,5.7,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00215,OT-01715,HIGH,9.7,HIGH,NO,MONITORED,MITIGATED
VUL-00216,OT-00744,LOW,7.6,MEDIUM,NO,SEGMENTED,OPEN
VUL-00217,OT-00750,CRITICAL,8.6,HIGH,YES,MONITORED,OPEN
VUL-00218,OT-01804,MEDIUM,8.2,MEDIUM,NO,SEGMENTED,MITIGATED
VUL-00219,OT-00236,HIGH,7.5,LOW,NO,NONE,OPEN
VUL-00220,OT-00444,CRITICAL,9.2,HIGH,UNKNOWN,MONITORED,OPEN
VUL-00221,OT-00737,CRITICAL,8.6,MEDIUM,YES,SEGMENTED,OPEN
VUL-00222,OT-01590,HIGH,8.4,HIGH,NO,SEGMENTED,OPEN
VUL-00223,OT-00070,CRITICAL,7.9,LOW,NO,SEGMENTED,OPEN
VUL-00224,OT-00699,CRITICAL,5.3,HIGH,NO,NONE,ACCEPTED
VUL-00225,OT-01711,LOW,5.3,LOW,NO,NONE,OPEN
VUL-00226,OT-01127,LOW,4.7,MEDIUM,NO,NONE,OPEN
VUL-00227,OT-00332,HIGH,6.0,LOW,YES,MONITORED,OPEN
VUL-00228,OT-00246,HIGH,4.5,LOW,UNKNOWN,UNKNOWN,ACCEPTED
VUL-00229,OT-01511,HIGH,6.6,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00230,OT-00845,HIGH,4.8,MEDIUM,YES,SEGMENTED,OPEN
VUL-00231,OT-01462,LOW,8.7,LOW,NO,NONE,OPEN
VUL-00232,OT-00007,CRITICAL,9.8,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00233,OT-00402,CRITICAL,4.7,HIGH,NO,UNKNOWN,OPEN
VUL-00234,OT-00561,CRITICAL,7.5,HIGH,YES,MONITORED,OPEN
VUL-00235,OT-01769,LOW,6.0,MEDIUM,YES,SEGMENTED,ACCEPTED
VUL-00236,OT-00451,MEDIUM,9.5,MEDIUM,YES,ALLOWLIST,MITIGATED
VUL-00237,OT-00261,HIGH,8.2,LOW,NO,NONE,MITIGATED
VUL-00238,OT-00427,HIGH,4.0,LOW,YES,SEGMENTED,OPEN
VUL-00239,OT-01609,LOW,8.7,MEDIUM,YES,SEGMENTED,OPEN
VUL-00240,OT-01762,HIGH,7.8,LOW,NO,MONITORED,OPEN
VUL-00241,OT-01297,MEDIUM,4.2,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00242,OT-00787,CRITICAL,7.3,MEDIUM,YES,MONITORED,OPEN
VUL-00243,OT-00794,CRITICAL,9.2,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00244,OT-01387,MEDIUM,4.1,HIGH,NO,MONITORED,OPEN
VUL-00245,OT-01144,MEDIUM,5.7,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00246,OT-00320,LOW,5.2,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00247,OT-00500,MEDIUM,8.4,LOW,YES,MONITORED,OPEN
VUL-00248,OT-00634,MEDIUM,7.5,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00249,OT-00366,LOW,5.0,HIGH,NO,NONE,OPEN
VUL-00250,OT-01361,MEDIUM,6.6,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00251,OT-01665,CRITICAL,8.2,HIGH,YES,SEGMENTED,OPEN
VUL-00252,OT-01379,MEDIUM,7.9,LOW,NO,MONITORED,MITIGATED
VUL-00253,OT-01187,CRITICAL,4.9,MEDIUM,NO,UNKNOWN,MITIGATED
VUL-00254,OT-01393,LOW,8.8,MEDIUM,UNKNOWN,ALLOWLIST,OPEN
VUL-00255,OT-00615,HIGH,9.3,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00256,OT-01754,MEDIUM,5.3,LOW,NO,UNKNOWN,OPEN
VUL-00257,OT-01195,CRITICAL,4.5,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00258,OT-01246,HIGH,5.1,LOW,NO,ALLOWLIST,OPEN
VUL-00259,OT-00815,LOW,8.7,MEDIUM,NO,UNKNOWN,OPEN
VUL-00260,OT-00481,LOW,8.3,HIGH,NO,ALLOWLIST,OPEN
VUL-00261,OT-00315,CRITICAL,8.5,LOW,YES,NONE,OPEN
VUL-00262,OT-01781,MEDIUM,6.3,MEDIUM,YES,SEGMENTED,OPEN
VUL-00263,OT-01657,CRITICAL,8.7,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00264,OT-01321,HIGH,6.7,MEDIUM,YES,MONITORED,OPEN
VUL-00265,OT-01541,HIGH,7.6,MEDIUM,YES,MONITORED,OPEN
VUL-00266,OT-00346,CRITICAL,4.1,LOW,NO,UNKNOWN,OPEN
VUL-00267,OT-00255,LOW,8.6,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00268,OT-00706,CRITICAL,9.1,LOW,UNKNOWN,NONE,OPEN
VUL-00269,OT-00364,CRITICAL,5.5,HIGH,YES,SEGMENTED,OPEN
VUL-00270,OT-00050,MEDIUM,5.2,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00271,OT-01205,MEDIUM,7.3,MEDIUM,NO,UNKNOWN,OPEN
VUL-00272,OT-01697,LOW,4.1,HIGH,YES,ALLOWLIST,OPEN
VUL-00273,OT-01395,LOW,8.4,LOW,NO,MONITORED,ACCEPTED
VUL-00274,OT-01196,MEDIUM,7.6,LOW,YES,ALLOWLIST,ACCEPTED
VUL-00275,OT-01217,HIGH,8.6,LOW,NO,NONE,OPEN
VUL-00276,OT-01483,MEDIUM,5.1,LOW,UNKNOWN,SEGMENTED,OPEN
VUL-00277,OT-01776,CRITICAL,7.1,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00278,OT-01215,MEDIUM,6.8,HIGH,UNKNOWN,NONE,OPEN
VUL-00279,OT-00996,LOW,7.8,HIGH,UNKNOWN,NONE,OPEN
VUL-00280,OT-01362,LOW,6.3,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00281,OT-00377,LOW,7.6,HIGH,YES,MONITORED,OPEN
VUL-00282,OT-00406,MEDIUM,9.8,MEDIUM,UNKNOWN,ALLOWLIST,OPEN
VUL-00283,OT-00884,HIGH,6.5,HIGH,NO,UNKNOWN,OPEN
VUL-00284,OT-00056,CRITICAL,9.2,LOW,NO,SEGMENTED,OPEN
VUL-00285,OT-01342,MEDIUM,4.3,HIGH,NO,UNKNOWN,MITIGATED
VUL-00286,OT-00117,HIGH,7.6,HIGH,NO,NONE,MITIGATED
VUL-00287,OT-01336,LOW,6.1,MEDIUM,YES,NONE,OPEN
VUL-00288,OT-00937,LOW,7.2,LOW,NO,MONITORED,OPEN
VUL-00289,OT-00749,MEDIUM,8.9,LOW,UNKNOWN,NONE,OPEN
VUL-00290,OT-01561,MEDIUM,8.7,HIGH,NO,SEGMENTED,OPEN
VUL-00291,OT-01015,LOW,5.0,LOW,NO,ALLOWLIST,OPEN
VUL-00292,OT-00250,CRITICAL,5.7,MEDIUM,YES,NONE,OPEN
VUL-00293,OT-00012,HIGH,6.1,MEDIUM,YES,NONE,OPEN
VUL-00294,OT-00019,HIGH,9.6,HIGH,YES,MONITORED,OPEN
VUL-00295,OT-01659,LOW,7.6,LOW,YES,MONITORED,MITIGATED
VUL-00296,OT-00752,LOW,5.2,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00297,OT-00716,LOW,7.5,LOW,NO,ALLOWLIST,OPEN
VUL-00298,OT-01284,CRITICAL,9.1,HIGH,YES,NONE,OPEN
VUL-00299,OT-01167,CRITICAL,4.7,LOW,YES,ALLOWLIST,OPEN
VUL-00300,OT-00124,LOW,6.5,HIGH,UNKNOWN,MONITORED,ACCEPTED
VUL-00301,OT-00324,MEDIUM,8.5,HIGH,YES,MONITORED,OPEN
VUL-00302,OT-00631,HIGH,6.8,HIGH,NO,ALLOWLIST,OPEN
VUL-00303,OT-00541,HIGH,4.4,HIGH,NO,SEGMENTED,OPEN
VUL-00304,OT-00136,CRITICAL,6.8,MEDIUM,YES,UNKNOWN,OPEN
VUL-00305,OT-00361,LOW,4.6,LOW,NO,NONE,ACCEPTED
VUL-00306,OT-01183,LOW,6.4,LOW,UNKNOWN,NONE,MITIGATED
VUL-00307,OT-00135,HIGH,6.1,HIGH,YES,SEGMENTED,OPEN
VUL-00308,OT-01028,LOW,4.9,MEDIUM,UNKNOWN,UNKNOWN,OPEN
VUL-00309,OT-00327,CRITICAL,8.4,LOW,NO,NONE,OPEN
