asset_id,source,alias
OT-00024,CMDB,CMDB-100024
OT-00024,PASSIVE,PLT-01-HISTORIAN-505
OT-00024,CMMS,ASSET-200024
OT-00025,CMDB,CMDB-100025
OT-00025,PASSIVE,PLT-01-ENG_WORKSTATION-604
OT-00025,CMMS,ASSET-200025
OT-00026,CMDB,CMDB-100026
OT-00026,PASSIVE,PLT-01-OPC_SERVER-614
OT-00026,CMMS,ASSET-200026
OT-00027,CMDB,CMDB-100027
OT-00027,PASSIVE,PLT-01-VFD-423
OT-00027,CMMS,ASSET-200027
OT-00028,CMDB,CMDB-100028
OT-00028,PASSIVE,PLT-01-VFD-457
OT-00028,CMMS,ASSET-200028
OT-00029,CMDB,CMDB-100029
OT-00029,PASSIVE,PLT-01-GATEWAY-744
OT-00029,CMMS,ASSET-200029
OT-00030,CMDB,CMDB-100030
OT-00030,PASSIVE,PLT-01-OPC_SERVER-317
OT-00030,CMMS,ASSET-200030
OT-00031,CMDB,CMDB-100031
OT-00031,PASSIVE,PLT-01-RTU-235
OT-00031,CMMS,ASSET-200031
OT-00032,CMDB,CMDB-100032
OT-00032,PASSIVE,PLT-01-HISTORIAN-117
OT-00032,CMMS,ASSET-200032
OT-00033,CMDB,CMDB-100033
OT-00033,PASSIVE,PLT-01-DCS_CONTROLLER-105
OT-00033,CMMS,ASSET-200033
OT-00034,CMDB,CMDB-100034
OT-00034,PASSIVE,PLT-01-PLC-635
OT-00034,CMMS,ASSET-200034
OT-00035,CMDB,CMDB-100035
OT-00035,PASSIVE,PLT-01-IED-478
OT-00035,CMMS,ASSET-200035
OT-00036,CMDB,CMDB-100036
OT-00036,PASSIVE,PLT-01-NETWORK_SWITCH-858
OT-00036,CMMS,ASSET-200036
OT-00037,CMDB,CMDB-100037
OT-00037,PASSIVE,PLT-01-HISTORIAN-755
OT-00037,CMMS,ASSET-200037
OT-00038,CMDB,CMDB-100038
OT-00038,PASSIVE,PLT-01-GATEWAY-136
OT-00038,CMMS,ASSET-200038
OT-00039,CMDB,CMDB-100039
OT-00039,PASSIVE,PLT-01-SENSOR-721
OT-00039,CMMS,ASSET-200039
OT-00040,CMDB,CMDB-100040
OT-00040,PASSIVE,PLT-01-OPC_SERVER-071
OT-00040,CMMS,ASSET-200040
OT-00041,CMDB,CMDB-100041
OT-00041,PASSIVE,PLT-01-IED-281
OT-00041,CMMS,ASSET-200041
OT-00042,CMDB,CMDB-100042
OT-00042,PASSIVE,PLT-01-SENSOR-645
OT-00042,CMMS,ASSET-200042
OT-00043,CMDB,CMDB-100043
OT-00043,PASSIVE,PLT-01-VFD-496
OT-00043,CMMS,ASSET-200043
OT-00044,CMDB,CMDB-100044
OT-00044,PASSIVE,PLT-01-SAFETY_PLC-455
OT-00044,CMMS,ASSET-200044
OT-00045,CMDB,CMDB-100045
OT-00045,PASSIVE,PLT-01-DCS_CONTROLLER-226
OT-00045,CMMS,ASSET-200045
OT-00046,CMDB,CMDB-100046
OT-00046,PASSIVE,PLT-01-HMI-740
OT-00046,CMMS,ASSET-200046
OT-00047,CMDB,CMDB-100047
OT-00047,PASSIVE,PLT-01-SENSOR-755
OT-00047,CMMS,ASSET-200047
OT-00048,CMDB,CMDB-100048
OT-00048,PASSIVE,PLT-01-IED-777
OT-00048,CMMS,ASSET-200048
OT-00049,CMDB,CMDB-100049
OT-00049,PASSIVE,PLT-01-SENSOR-547
OT-00049,CMMS,ASSET-200049
OT-00050,CMDB,CMDB-100050
OT-00050,PASSIVE,PLT-01-NETWORK_SWITCH-567
OT-00050,CMMS,ASSET-200050
OT-00051,CMDB,CMDB-100051
OT-00051,PASSIVE,PLT-01-SENSOR-265
OT-00051,CMMS,ASSET-200051
OT-00052,CMDB,CMDB-100052
OT-00052,PASSIVE,PLT-01-VFD-743
OT-00052,CMMS,ASSET-200052
OT-00053,CMDB,CMDB-100053
OT-00053,PASSIVE,PLT-01-DCS_CONTROLLER-737
OT-00053,CMMS,ASSET-200053
OT-00054,CMDB,CMDB-100054
OT-00054,PASSIVE,PLT-01-OPC_SERVER-326
OT-00054,CMMS,ASSET-200054
OT-00055,CMDB,CMDB-100055
OT-00055,PASSIVE,PLT-01-GATEWAY-173
OT-00055,CMMS,ASSET-200055
OT-00056,CMDB,CMDB-100056
OT-00056,PASSIVE,PLT-01-RTU-973
OT-00056,CMMS,ASSET-200056
OT-00057,CMDB,CMDB-100057
OT-00057,PASSIVE,PLT-01-PLC-162
OT-00057,CMMS,ASSET-200057
OT-00058,CMDB,CMDB-100058
OT-00058,PASSIVE,PLT-01-SAFETY_PLC-975
OT-00058,CMMS,ASSET-200058
OT-00059,CMDB,CMDB-100059
OT-00059,PASSIVE,PLT-01-OPC_SERVER-287
OT-00059,CMMS,ASSET-200059
OT-00060,CMDB,CMDB-100060
OT-00060,PASSIVE,PLT-01-HMI-270
OT-00060,CMMS,ASSET-200060
OT-00061,CMDB,CMDB-100061
OT-00061,PASSIVE,PLT-01-HMI-487
OT-00061,CMMS,ASSET-200061
OT-00062,CMDB,CMDB-100062
OT-00062,PASSIVE,PLT-01-SAFETY_PLC-413
OT-00062,CMMS,ASSET-200062
OT-00063,CMDB,CMDB-100063
OT-00063,PASSIVE,PLT-01-DCS_CONTROLLER-024
OT-00063,CMMS,ASSET-200063
OT-00064,CMDB,CMDB-100064
OT-00064,PASSIVE,PLT-01-OPC_SERVER-431
OT-00064,CMMS,ASSET-200064
OT-00065,CMDB,CMDB-100065
OT-00065,PASSIVE,PLT-01-ENG_WORKSTATION-799
OT-00065,CMMS,ASSET-200065
OT-00066,CMDB,CMDB-100066
OT-00066,PASSIVE,PLT-01-SAFETY_PLC-945
OT-00066,CMMS,ASSET-200066
OT-00067,CMDB,CMDB-100067
OT-00067,PASSIVE,PLT-01-NETWORK_SWITCH-142
OT-00067,CMMS,ASSET-200067
OT-00068,CMDB,CMDB-100068
OT-00068,PASSIVE,PLT-01-HMI-938
OT-00068,CMMS,ASSET-200068
OT-00069,CMDB,CMDB-100069
OT-00069,PASSIVE,PLT-01-ENG_WORKSTATION-408
OT-00069,CMMS,ASSET-200069
OT-00070,CMDB,CMDB-100070
OT-00070,PASSIVE,PLT-01-VFD-339
OT-00070,CMMS,ASSET-200070
OT-00071,CMDB,CMDB-100071
OT-00071,PASSIVE,PLT-01-NETWORK_SWITCH-735
OT-00071,CMMS,ASSET-200071
OT-00072,CMDB,CMDB-100072
OT-00072,PASSIVE,PLT-01-IED-793
OT-00072,CMMS,ASSET-200072
OT-00073,CMDB,CMDB-100073
OT-00073,PASSIVE,PLT-01-PLC-458
OT-00073,CMMS,ASSET-200073
OT-00074,CMDB,CMDB-100074
OT-00074,PASSIVE,PLT-01-HMI-139
OT-00074,CMMS,ASSET-200074
OT-00075,CMDB,CMDB-100075
OT-00075,PASSIVE,PLT-01-SAFETY_PLC-658
OT-00075,CMMS,ASSET-200075
OT-00076,CMDB,CMDB-100076
OT-00076,PASSIVE,PLT-01-PLC-416
OT-00076,CMMS,ASSET-200076
OT-00077,CMDB,CMDB-100077
OT-00077,PASSIVE,PLT-01-SENSOR-913
OT-00077,CMMS,ASSET-200077
OT-00078,CMDB,CMDB-100078
OT-00078,PASSIVE,PLT-01-DCS_CONTROLLER-074
OT-00078,CMMS,ASSET-200078
OT-00079,CMDB,CMDB-100079
OT-00079,PASSIVE,PLT-01-RTU-894
OT-00079,CMMS,ASSET-200079
OT-00080,CMDB,CMDB-100080
OT-00080,PASSIVE,PLT-01-ENG_WORKSTATION-828
OT-00080,CMMS,ASSET-200080
OT-00081,CMDB,CMDB-100081
OT-00081,PASSIVE,PLT-01-DCS_CONTROLLER-522
OT-00081,CMMS,ASSET-200081
OT-00082,CMDB,CMDB-100082
OT-00082,PASSIVE,PLT-01-OPC_SERVER-213
OT-00082,CMMS,ASSET-200082
OT-00083,CMDB,CMDB-100083
OT-00083,PASSIVE,PLT-01-ENG_WORKSTATION-668
OT-00083,CMMS,ASSET-200083
OT-00084,CMDB,CMDB-100084
OT-00084,PASSIVE,PLT-01-SENSOR-918
OT-00084,CMMS,ASSET-200084
OT-00085,CMDB,CMDB-100085
OT-00085,PASSIVE,PLT-01-NETWORK_SWITCH-520
OT-00085,CMMS,ASSET-200085
OT-00086,CMDB,CMDB-100086
OT-00086,PASSIVE,PLT-01-GATEWAY-326
OT-00086,CMMS,ASSET-200086
OT-00087,CMDB,CMDB-100087
OT-00087,PASSIVE,PLT-01-SENSOR-580
OT-00087,CMMS,ASSET-200087
OT-00088,CMDB,CMDB-100088
OT-00088,PASSIVE,PLT-01-VFD-862
OT-00088,CMMS,ASSET-200088
OT-00089,CMDB,CMDB-100089
OT-00089,PASSIVE,PLT-01-ENG_WORKSTATION-244
OT-00089,CMMS,ASSET-200089
OT-00090,CMDB,CMDB-100090
OT-00090,PASSIVE,PLT-01-SAFETY_PLC-808
OT-00090,CMMS,ASSET-200090
OT-00091,CMDB,CMDB-100091
OT-00091,PASSIVE,PLT-01-ENG_WORKSTATION-763
OT-00091,CMMS,ASSET-200091
OT-00092,CMDB,CMDB-100092
OT-00092,PASSIVE,PLT-01-IED-448
OT-00092,CMMS,ASSET-200092
OT-00093,CMDB,CMDB-100093
OT-00093,PASSIVE,PLT-01-DCS_CONTROLLER-394
OT-00093,CMMS,ASSET-200093
OT-00094,CMDB,CMDB-100094
OT-00094,PASSIVE,PLT-01-SENSOR-014
OT-00094,CMMS,ASSET-200094
OT-00095,CMDB,CMDB-100095
OT-00095,PASSIVE,PLT-01-GATEWAY-413
OT-00095,CMMS,ASSET-200095
OT-00096,CMDB,CMDB-100096
OT-00096,PASSIVE,PLT-01-NETWORK_SWITCH-460
OT-00096,CMMS,ASSET-200096
OT-00097,CMDB,CMDB-100097
OT-00097,PASSIVE,PLT-01-NETWORK_SWITCH-437
OT-00097,CMMS,ASSET-200097
OT-00098,CMDB,CMDB-100098
OT-00098,PASSIVE,PLT-01-ENG_WORKSTATION-483
OT-00098,CMMS,ASSET-200098
OT-00099,CMDB,CMDB-100099
OT-00099,PASSIVE,PLT-01-SAFETY_PLC-262
OT-00099,CMMS,ASSET-200099
OT-00100,CMDB,CMDB-100100
OT-00100,PASSIVE,PLT-01-VFD-411
OT-00100,CMMS,ASSET-200100
OT-00101,CMDB,CMDB-100101
OT-00101,PASSIVE,PLT-01-ENG_WORKSTATION-394
OT-00101,CMMS,ASSET-200101
OT-00102,CMDB,CMDB-100102
OT-00102,PASSIVE,PLT-01-DCS_CONTROLLER-118
OT-00102,CMMS,ASSET-200102
OT-00103,CMDB,CMDB-100103
OT-00103,PASSIVE,PLT-01-GATEWAY-449
OT-00103,CMMS,ASSET-200103
OT-00104,CMDB,CMDB-100104
OT-00104,PASSIVE,PLT-02-NETWORK_SWITCH-451
OT-00104,CMMS,ASSET-200104
OT-00105,CMDB,CMDB-100105
OT-00105,PASSIVE,PLT-02-OPC_SERVER-766
OT-00105,CMMS,ASSET-200105
OT-00106,CMDB,CMDB-100106
OT-00106,PASSIVE,PLT-02-SAFETY_PLC-969
OT-00106,CMMS,ASSET-200106
OT-00107,CMDB,CMDB-100107
OT-00107,PASSIVE,PLT-02-ENG_WORKSTATION-917
OT-00107,CMMS,ASSET-200107
OT-00108,CMDB,CMDB-100108
OT-00108,PASSIVE,PLT-02-SAFETY_PLC-304
OT-00108,CMMS,ASSET-200108
OT-00109,CMDB,CMDB-100109
OT-00109,PASSIVE,PLT-02-RTU-171
OT-00109,CMMS,ASSET-200109
OT-00110,CMDB,CMDB-100110
OT-00110,PASSIVE,PLT-02-RTU-147
OT-00110,CMMS,ASSET-200110
OT-00111,CMDB,CMDB-100111
OT-00111,PASSIVE,PLT-02-SAFETY_PLC-723
OT-00111,CMMS,ASSET-200111
OT-00112,CMDB,CMDB-100112
OT-00112,PASSIVE,PLT-02-IED-953
OT-00112,CMMS,ASSET-200112
OT-00113,CMDB,CMDB-100113
OT-00113,PASSIVE,PLT-02-OPC_SERVER-233
OT-00113,CMMS,ASSET-200113
OT-00114,CMDB,CMDB-100114
OT-00114,PASSIVE,PLT-02-SENSOR-401
OT-00114,CMMS,ASSET-200114
OT-00115,CMDB,CMDB-100115
OT-00115,PASSIVE,PLT-02-HMI-081
OT-00115,CMMS,ASSET-200115
OT-00116,CMDB,CMDB-100116
OT-00116,PASSIVE,PLT-02-HMI-924
OT-00116,CMMS,ASSET-200116
OT-00117,CMDB,CMDB-100117
OT-00117,PASSIVE,PLT-02-PLC-069
OT-00117,CMMS,ASSET-200117
OT-00118,CMDB,CMDB-100118
OT-00118,PASSIVE,PLT-02-ENG_WORKSTATION-994
OT-00118,CMMS,ASSET-200118
OT-00119,CMDB,CMDB-100119
OT-00119,PASSIVE,PLT-02-HISTORIAN-024
OT-00119,CMMS,ASSET-200119
OT-00120,CMDB,CMDB-100120
OT-00120,PASSIVE,PLT-02-VFD-300
OT-00120,CMMS,ASSET-200120
OT-00121,CMDB,CMDB-100121
OT-00121,PASSIVE,PLT-02-ENG_WORKSTATION-881
OT-00121,CMMS,ASSET-200121
OT-00122,CMDB,CMDB-100122
OT-00122,PASSIVE,PLT-02-HISTORIAN-809
OT-00122,CMMS,ASSET-200122
OT-00123,CMDB,CMDB-100123
OT-00123,PASSIVE,PLT-02-IED-029
OT-00123,CMMS,ASSET-200123
OT-00124,CMDB,CMDB-100124
OT-00124,PASSIVE,PLT-02-NETWORK_SWITCH-150
OT-00124,CMMS,ASSET-200124
OT-00125,CMDB,CMDB-100125
OT-00125,PASSIVE,PLT-02-RTU-037
OT-00125,CMMS,ASSET-200125
OT-00126,CMDB,CMDB-100126
OT-00126,PASSIVE,PLT-02-GATEWAY-780
OT-00126,CMMS,ASSET-200126
OT-00127,CMDB,CMDB-100127
OT-00127,PASSIVE,PLT-02-IED-667
OT-00127,CMMS,ASSET-200127
OT-00128,CMDB,CMDB-100128
OT-00128,PASSIVE,PLT-02-OPC_SERVER-137
OT-00128,CMMS,ASSET-200128
OT-00129,CMDB,CMDB-100129
OT-00129,PASSIVE,PLT-02-PLC-063
OT-00129,CMMS,ASSET-200129
OT-00130,CMDB,CMDB-100130
OT-00130,PASSIVE,PLT-02-NETWORK_SWITCH-113
OT-00130,CMMS,ASSET-200130
OT-00131,CMDB,CMDB-100131
OT-00131,PASSIVE,PLT-02-ENG_WORKSTATION-425
OT-00131,CMMS,ASSET-200131
OT-00132,CMDB,CMDB-100132
OT-00132,PASSIVE,PLT-02-IED-907
OT-00132,CMMS,ASSET-200132
OT-00133,CMDB,CMDB-100133
OT-00133,PASSIVE,PLT-02-IED-898
OT-00133,CMMS,ASSET-200133
OT-00134,CMDB,CMDB-100134
OT-00134,PASSIVE,PLT-02-OPC_SERVER-226
OT-00134,CMMS,ASSET-200134
OT-00135,CMDB,CMDB-100135
OT-00135,PASSIVE,PLT-02-PLC-406
OT-00135,CMMS,ASSET-200135
OT-00136,CMDB,CMDB-100136
OT-00136,PASSIVE,PLT-02-IED-722
OT-00136,CMMS,ASSET-200136
OT-00137,CMDB,CMDB-100137
OT-00137,PASSIVE,PLT-02-IED-823
OT-00137,CMMS,ASSET-200137
OT-00138,CMDB,CMDB-100138
OT-00138,PASSIVE,PLT-02-HISTORIAN-015
OT-00138,CMMS,ASSET-200138
OT-00139,CMDB,CMDB-100139
OT-00139,PASSIVE,PLT-02-ENG_WORKSTATION-767
OT-00139,CMMS,ASSET-200139
OT-00140,CMDB,CMDB-100140
OT-00140,PASSIVE,PLT-02-NETWORK_SWITCH-035
OT-00140,CMMS,ASSET-200140
OT-00141,CMDB,CMDB-100141
OT-00141,PASSIVE,PLT-02-OPC_SERVER-985
OT-00141,CMMS,ASSET-200141
OT-00142,CMDB,CMDB-100142
OT-00142,PASSIVE,PLT-02-SAFETY_PLC-365
OT-00142,CMMS,ASSET-200142
OT-00143,CMDB,CMDB-100143
OT-00143,PASSIVE,PLT-02-SENSOR-106
OT-00143,CMMS,ASSET-200143
OT-00144,CMDB,CMDB-100144
OT-00144,PASSIVE,PLT-02-ENG_WORKSTATION-227
OT-00144,CMMS,ASSET-200144
OT-00145,CMDB,CMDB-100145
OT-00145,PASSIVE,PLT-02-RTU-405
OT-00145,CMMS,ASSET-200145
OT-00146,CMDB,CMDB-100146
OT-00146,PASSIVE,PLT-02-HMI-863
OT-00146,CMMS,ASSET-200146
OT-00147,CMDB,CMDB-100147
OT-00147,PASSIVE,PLT-02-DCS_CONTROLLER-817
OT-00147,CMMS,ASSET-200147
OT-00148,CMDB,CMDB-100148
OT-00148,PASSIVE,PLT-02-IED-045
OT-00148,CMMS,ASSET-200148
OT-00149,CMDB,CMDB-100149
OT-00149,PASSIVE,PLT-02-VFD-848
OT-00149,CMMS,ASSET-200149
OT-00150,CMDB,CMDB-100150
OT-00150,PASSIVE,PLT-02-SENSOR-761
OT-00150,CMMS,ASSET-200150
OT-00151,CMDB,CMDB-100151
OT-00151,PASSIVE,PLT-02-PLC-543
OT-00151,CMMS,ASSET-200151
OT-00152,CMDB,CMDB-100152
OT-00152,PASSIVE,PLT-02-RTU-190
OT-00152,CMMS,ASSET-200152
OT-00153,CMDB,CMDB-100153
OT-00153,PASSIVE,PLT-02-SENSOR-372
OT-00153,CMMS,ASSET-200153
OT-00154,CMDB,CMDB-100154
OT-00154,PASSIVE,PLT-02-HMI-930
OT-00154,CMMS,ASSET-200154
OT-00155,CMDB,CMDB-100155
OT-00155,PASSIVE,PLT-02-HMI-285
OT-00155,CMMS,ASSET-200155
OT-00156,CMDB,CMDB-100156
OT-00156,PASSIVE,PLT-02-HISTORIAN-423
OT-00156,CMMS,ASSET-200156
OT-00157,CMDB,CMDB-100157
OT-00157,PASSIVE,PLT-02-PLC-664
OT-00157,CMMS,ASSET-200157
OT-00158,CMDB,CMDB-100158
OT-00158,PASSIVE,PLT-02-PLC-020
OT-00158,CMMS,ASSET-200158
OT-00159,CMDB,CMDB-100159
OT-00159,PASSIVE,PLT-02-SAFETY_PLC-079
OT-00159,CMMS,ASSET-200159
OT-00160,CMDB,CMDB-100160
OT-00160,PASSIVE,PLT-02-HISTORIAN-234
OT-00160,CMMS,ASSET-200160
OT-00161,CMDB,CMDB-100161
OT-00161,PASSIVE,PLT-02-NETWORK_SWITCH-660
OT-00161,CMMS,ASSET-200161
OT-00162,CMDB,CMDB-100162
OT-00162,PASSIVE,PLT-02-DCS_CONTROLLER-191
OT-00162,CMMS,ASSET-200162
OT-00163,CMDB,CMDB-100163
OT-00163,PASSIVE,PLT-02-VFD-422
OT-00163,CMMS,ASSET-200163
OT-00164,CMDB,CMDB-100164
OT-00164,PASSIVE,PLT-02-IED-547
OT-00164,CMMS,ASSET-200164
OT-00165,CMDB,CMDB-100165
OT-00165,PASSIVE,PLT-02-PLC-918
OT-00165,CMMS,ASSET-200165
OT-00166,CMDB,CMDB-100166
OT-00166,PASSIVE,PLT-02-SAFETY_PLC-366
OT-00166,CMMS,ASSET-200166
OT-00167,CMDB,CMDB-100167
OT-00167,PASSIVE,PLT-02-SENSOR-513
OT-00167,CMMS,ASSET-200167
OT-00168,CMDB,CMDB-100168
OT-00168,PASSIVE,PLT-02-RTU-392
OT-00168,CMMS,ASSET-200168
OT-00169,CMDB,CMDB-100169
OT-00169,PASSIVE,PLT-02-NETWORK_SWITCH-197
OT-00169,CMMS,ASSET-200169
OT-00170,CMDB,CMDB-100170
OT-00170,PASSIVE,PLT-02-NETWORK_SWITCH-187
OT-00170,CMMS,ASSET-200170
OT-00171,CMDB,CMDB-100171
OT-00171,PASSIVE,PLT-02-PLC-416
OT-00171,CMMS,ASSET-200171
OT-00172,CMDB,CMDB-100172
OT-00172,PASSIVE,PLT-02-SENSOR-777
OT-00172,CMMS,ASSET-200172
OT-00173,CMDB,CMDB-100173
OT-00173,PASSIVE,PLT-02-IED-532
OT-00173,CMMS,ASSET-200173
OT-00174,CMDB,CMDB-100174
OT-00174,PASSIVE,PLT-02-ENG_WORKSTATION-696
OT-00174,CMMS,ASSET-200174
OT-00175,CMDB,CMDB-100175
OT-00175,PASSIVE,PLT-02-GATEWAY-856
OT-00175,CMMS,ASSET-200175
OT-00176,CMDB,CMDB-100176
OT-00176,PASSIVE,PLT-02-DCS_CONTROLLER-810
OT-00176,CMMS,ASSET-200176
OT-00177,CMDB,CMDB-100177
OT-00177,PASSIVE,PLT-02-PLC-271
OT-00177,CMMS,ASSET-200177
OT-00178,CMDB,CMDB-100178
OT-00178,PASSIVE,PLT-02-SENSOR-253
OT-00178,CMMS,ASSET-200178
OT-00179,CMDB,CMDB-100179
OT-00179,PASSIVE,PLT-02-IED-391
OT-00179,CMMS,ASSET-200179
OT-00180,CMDB,CMDB-100180
OT-00180,PASSIVE,PLT-02-ENG_WORKSTATION-407
OT-00180,CMMS,ASSET-200180
OT-00181,CMDB,CMDB-100181
OT-00181,PASSIVE,PLT-02-RTU-420
OT-00181,CMMS,ASSET-200181
OT-00182,CMDB,CMDB-100182
OT-00182,PASSIVE,PLT-02-OPC_SERVER-892
OT-00182,CMMS,ASSET-200182
OT-00183,CMDB,CMDB-100183
OT-00183,PASSIVE,PLT-02-DCS_CONTROLLER-947
OT-00183,CMMS,ASSET-200183
OT-00184,CMDB,CMDB-100184
OT-00184,PASSIVE,PLT-02-PLC-533
OT-00184,CMMS,ASSET-200184
OT-00185,CMDB,CMDB-100185
OT-00185,PASSIVE,PLT-02-NETWORK_SWITCH-490
OT-00185,CMMS,ASSET-200185
OT-00186,CMDB,CMDB-100186
OT-00186,PASSIVE,PLT-02-SENSOR-727
OT-00186,CMMS,ASSET-200186
OT-00187,CMDB,CMDB-100187
OT-00187,PASSIVE,PLT-02-SAFETY_PLC-011
OT-00187,CMMS,ASSET-200187
OT-00188,CMDB,CMDB-100188
OT-00188,PASSIVE,PLT-02-HMI-772
OT-00188,CMMS,ASSET-200188
OT-00189,CMDB,CMDB-100189
OT-00189,PASSIVE,PLT-02-ENG_WORKSTATION-008
OT-00189,CMMS,ASSET-200189
OT-00190,CMDB,CMDB-100190
OT-00190,PASSIVE,PLT-02-ENG_WORKSTATION-942
OT-00190,CMMS,ASSET-200190
OT-00191,CMDB,CMDB-100191
OT-00191,PASSIVE,PLT-02-HISTORIAN-610
OT-00191,CMMS,ASSET-200191
OT-00192,CMDB,CMDB-100192
OT-00192,PASSIVE,PLT-02-GATEWAY-767
OT-00192,CMMS,ASSET-200192
OT-00193,CMDB,CMDB-100193
OT-00193,PASSIVE,PLT-02-DCS_CONTROLLER-747
OT-00193,CMMS,ASSET-200193
OT-00194,CMDB,CMDB-100194
OT-00194,PASSIVE,PLT-02-HMI-377
OT-00194,CMMS,ASSET-200194
OT-00195,CMDB,CMDB-100195
OT-00195,PASSIVE,PLT-02-GATEWAY-335
OT-00195,CMMS,ASSET-200195
OT-00196,CMDB,CMDB-100196
OT-00196,PASSIVE,PLT-02-IED-231
OT-00196,CMMS,ASSET-200196
OT-00197,CMDB,CMDB-100197
OT-00197,PASSIVE,PLT-02-HMI-522
OT-00197,CMMS,ASSET-200197
OT-00198,CMDB,CMDB-100198
OT-00198,PASSIVE,PLT-02-VFD-825
OT-00198,CMMS,ASSET-200198
OT-00199,CMDB,CMDB-100199
OT-00199,PASSIVE,PLT-02-NETWORK_SWITCH-041
OT-00199,CMMS,ASSET-200199
OT-00200,CMDB,CMDB-100200
OT-00200,PASSIVE,PLT-02-SENSOR-746
OT-00200,CMMS,ASSET-200200
OT-00201,CMDB,CMDB-100201
OT-00201,PASSIVE,PLT-02-RTU-506
OT-00201,CMMS,ASSET-200201
OT-00202,CMDB,CMDB-100202
OT-00202,PASSIVE,PLT-02-SAFETY_PLC-624
OT-00202,CMMS,ASSET-200202
OT-00203,CMDB,CMDB-100203
OT-00203,PASSIVE,PLT-02-DCS_CONTROLLER-245
OT-00203,CMMS,ASSET-200203
OT-00204,CMDB,CMDB-100204
OT-00204,PASSIVE,PLT-02-RTU-341
OT-00204,CMMS,ASSET-200204
OT-00205,CMDB,CMDB-100205
OT-00205,PASSIVE,PLT-02-HISTORIAN-483
OT-00205,CMMS,ASSET-200205
OT-00206,CMDB,CMDB-100206
OT-00206,PASSIVE,PLT-02-ENG_WORKSTATION-760
OT-00206,CMMS,ASSET-200206
OT-00207,CMDB,CMDB-100207
OT-00207,PASSIVE,PLT-02-ENG_WORKSTATION-060
OT-00207,CMMS,ASSET-200207
OT-00208,CMDB,CMDB-100208
OT-00208,PASSIVE,PLT-03-SAFETY_PLC-543
OT-00208,CMMS,ASSET-200208
OT-00209,CMDB,CMDB-100209
OT-00209,PASSIVE,PLT-03-GATEWAY-524
OT-00209,CMMS,ASSET-200209
OT-00210,CMDB,CMDB-100210
