asset_id,plant_id,asset_type,vendor,model,firmware,ip_address,zone,protocol,registered_state,observed_state,criticality,owner,backup_age_days
OT-00052,PLT-01,VFD,SensorTech,MDL-51,7.8.5,10.1.7.41,L2_SUPERVISORY,PROFINET,ACTIVE,ONLINE,MEDIUM,OT Security,46
OT-00053,PLT-01,DCS_CONTROLLER,SafeLogic,MDL-53,3.5.0,10.1.11.226,L3_SITE_OPS,OPC_DA,ACTIVE,ONLINE,CRITICAL,Vendor,41
OT-00054,PLT-01,OPC_SERVER,HistorianX,MDL-28,5.9.0,10.1.8.117,L0_FIELD,PROFIBUS,ACTIVE,INTERMITTENT,HIGH,Maintenance,121
OT-00055,PLT-01,GATEWAY,FieldLink,MDL-40,3.4.4,10.1.3.26,DMZ,IEC104,ACTIVE,INTERMITTENT,CRITICAL,Engineering,325
OT-00056,PLT-01,RTU,ControlWorks,MDL-90,8.4.2,10.1.3.76,L2_SUPERVISORY,ModbusTCP,ACTIVE,INTERMITTENT,CRITICAL,Engineering,217
OT-00057,PLT-01,PLC,NetSwitchCo,MDL-27,4.8.0,10.1.18.92,L2_SUPERVISORY,EtherNetIP,ACTIVE,ONLINE,LOW,Maintenance,72
OT-00058,PLT-01,SAFETY_PLC,SafeLogic,MDL-20,6.4.5,10.1.3.212,L1_CONTROL,IEC104,ACTIVE,ONLINE,CRITICAL,Operations,169
OT-00059,PLT-01,OPC_SERVER,NetSwitchCo,MDL-67,1.7.4,10.1.16.147,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,HIGH,Operations,83
OT-00060,PLT-01,HMI,ControlWorks,MDL-16,7.4.5,10.1.15.226,L1_CONTROL,DNP3,ACTIVE,ONLINE,CRITICAL,Vendor,241
OT-00061,PLT-01,HMI,NetSwitchCo,MDL-41,2.5.4,10.1.14.203,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,HIGH,Unknown,215
OT-00062,PLT-01,SAFETY_PLC,NetSwitchCo,MDL-71,1.0.5,10.1.18.70,L1_CONTROL,OPC_UA,ACTIVE,ONLINE,CRITICAL,Engineering,50
OT-00063,PLT-01,DCS_CONTROLLER,LegacyPLC,MDL-87,2.4.0,10.1.2.90,L3_SITE_OPS,DNP3,ACTIVE,INTERMITTENT,MEDIUM,Unknown,148
OT-00064,PLT-01,OPC_SERVER,LegacyPLC,MDL-63,5.3.0,10.1.12.7,L1_CONTROL,DNP3,ACTIVE,ONLINE,CRITICAL,Operations,420
OT-00065,PLT-01,ENG_WORKSTATION,LegacyPLC,MDL-36,2.4.3,10.1.5.96,L1_CONTROL,PROFIBUS,ACTIVE,ONLINE,HIGH,Engineering,250
OT-00066,PLT-01,SAFETY_PLC,NetSwitchCo,MDL-24,4.7.7,10.1.17.189,DMZ,ModbusTCP,ACTIVE,ONLINE,LOW,OT Security,222
OT-00067,PLT-01,NETWORK_SWITCH,NetSwitchCo,MDL-24,7.5.1,10.1.2.46,L0_FIELD,PROFINET,ACTIVE,ONLINE,HIGH,Unknown,83
OT-00068,PLT-01,HMI,ControlWorks,MDL-49,6.1.8,10.1.16.34,DMZ,DNP3,ACTIVE,ONLINE,LOW,OT Security,36
OT-00069,PLT-01,ENG_WORKSTATION,ControlWorks,MDL-95,8.0.2,10.1.17.225,L1_CONTROL,OPC_DA,ACTIVE,INTERMITTENT,CRITICAL,Maintenance,317
OT-00070,PLT-01,VFD,FieldLink,MDL-21,5.6.3,10.1.19.69,DMZ,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Operations,226
OT-00071,PLT-01,NETWORK_SWITCH,FieldLink,MDL-63,1.8.4,10.1.8.197,L2_SUPERVISORY,EtherNetIP,ACTIVE,INTERMITTENT,LOW,OT Security,382
OT-00072,PLT-01,IED,SensorTech,MDL-16,3.8.6,10.1.5.95,L1_CONTROL,PROFIBUS,ACTIVE,OFFLINE,MEDIUM,Vendor,324
OT-00073,PLT-01,PLC,ProcessSys,MDL-44,9.3.2,10.1.13.212,DMZ,PROFINET,ACTIVE,ONLINE,LOW,Engineering,385
OT-00074,PLT-01,HMI,ProcessSys,MDL-20,5.0.1,10.1.9.74,L1_CONTROL,VendorSerial,ACTIVE,ONLINE,HIGH,OT Security,119
OT-00075,PLT-01,SAFETY_PLC,ProcessSys,MDL-98,1.4.1,10.1.10.197,L3_SITE_OPS,IEC104,ACTIVE,OFFLINE,HIGH,Maintenance,224
OT-00076,PLT-01,PLC,FieldLink,MDL-53,1.7.6,10.1.3.71,L1_CONTROL,DNP3,ACTIVE,OFFLINE,HIGH,Maintenance,165
OT-00077,PLT-01,SENSOR,ControlWorks,MDL-67,6.8.4,10.1.1.55,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,HIGH,Unknown,398
OT-00078,PLT-01,DCS_CONTROLLER,SafeLogic,MDL-40,8.4.8,10.1.12.92,L2_SUPERVISORY,IEC104,ACTIVE,ONLINE,CRITICAL,Maintenance,106
OT-00079,PLT-01,RTU,LegacyPLC,MDL-88,9.3.0,10.1.5.233,DMZ,VendorSerial,ACTIVE,ONLINE,MEDIUM,Unknown,312
OT-00080,PLT-01,ENG_WORKSTATION,FieldLink,MDL-69,4.2.2,10.1.10.128,L3_SITE_OPS,PROFINET,ACTIVE,ONLINE,CRITICAL,Engineering,19
OT-00081,PLT-01,DCS_CONTROLLER,SensorTech,MDL-34,3.7.7,10.1.15.151,DMZ,IEC61850,ACTIVE,ONLINE,CRITICAL,Maintenance,180
OT-00082,PLT-01,OPC_SERVER,NetSwitchCo,MDL-40,6.6.1,10.1.17.123,L2_SUPERVISORY,DNP3,RETIRED,ONLINE,CRITICAL,Engineering,16
OT-00083,PLT-01,ENG_WORKSTATION,HistorianX,MDL-59,4.8.1,10.1.17.225,DMZ,IEC104,ACTIVE,ONLINE,LOW,Operations,205
OT-00084,PLT-01,SENSOR,HistorianX,MDL-52,4.4.4,10.1.15.33,L1_CONTROL,PROFINET,ACTIVE,ONLINE,CRITICAL,Vendor,136
OT-00085,PLT-01,NETWORK_SWITCH,HistorianX,MDL-84,8.5.8,10.1.15.51,L1_CONTROL,VendorSerial,ACTIVE,ONLINE,HIGH,OT Security,55
OT-00086,PLT-01,GATEWAY,RemoteAssist,MDL-22,4.9.0,10.1.11.246,L1_CONTROL,ModbusTCP,UNKNOWN,ONLINE,CRITICAL,Operations,298
OT-00087,PLT-01,SENSOR,FieldLink,MDL-18,7.1.0,10.1.20.231,DMZ,OPC_DA,UNKNOWN,ONLINE,CRITICAL,Engineering,178
OT-00088,PLT-01,VFD,RemoteAssist,MDL-55,1.7.4,10.1.15.51,L3_SITE_OPS,EtherNetIP,ACTIVE,ONLINE,HIGH,OT Security,218
OT-00089,PLT-01,ENG_WORKSTATION,MotorDriveCo,MDL-45,6.1.4,10.1.2.22,L0_FIELD,VendorSerial,ACTIVE,UNSEEN,CRITICAL,Unknown,55
OT-00090,PLT-01,SAFETY_PLC,ProcessSys,MDL-44,5.3.9,10.1.11.239,L1_CONTROL,VendorSerial,RETIRED,ONLINE,MEDIUM,Vendor,308
OT-00091,PLT-01,ENG_WORKSTATION,ProcessSys,MDL-71,5.2.7,10.1.9.36,DMZ,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Unknown,7
OT-00092,PLT-01,IED,LegacyPLC,MDL-21,2.6.4,10.1.13.52,L2_SUPERVISORY,OPC_UA,ACTIVE,UNSEEN,HIGH,Vendor,335
OT-00093,PLT-01,DCS_CONTROLLER,NetSwitchCo,MDL-22,8.4.1,10.1.3.194,DMZ,PROFINET,ACTIVE,ONLINE,MEDIUM,Unknown,243
OT-00094,PLT-01,SENSOR,SensorTech,MDL-35,2.2.0,10.1.16.230,L3_SITE_OPS,ModbusTCP,ACTIVE,ONLINE,MEDIUM,Unknown,226
OT-00095,PLT-01,GATEWAY,LegacyPLC,MDL-10,5.7.2,10.1.10.71,L2_SUPERVISORY,PROFINET,ACTIVE,ONLINE,HIGH,Operations,197
OT-00096,PLT-01,NETWORK_SWITCH,ProcessSys,MDL-44,5.2.8,10.1.10.198,L2_SUPERVISORY,IEC61850,ACTIVE,ONLINE,CRITICAL,Maintenance,203
OT-00097,PLT-01,NETWORK_SWITCH,ProcessSys,MDL-37,3.8.7,10.1.10.174,L1_CONTROL,IEC61850,ACTIVE,ONLINE,CRITICAL,Vendor,10
OT-00098,PLT-01,ENG_WORKSTATION,MotorDriveCo,MDL-90,9.0.2,10.1.20.83,L0_FIELD,DNP3,ACTIVE,INTERMITTENT,HIGH,Vendor,139
OT-00099,PLT-01,SAFETY_PLC,SafeLogic,MDL-83,4.3.6,10.1.11.84,DMZ,IEC104,ACTIVE,ONLINE,LOW,Vendor,300
OT-00100,PLT-01,VFD,FieldLink,MDL-77,8.8.8,10.1.16.193,L1_CONTROL,VendorSerial,ACTIVE,ONLINE,HIGH,Unknown,394
OT-00101,PLT-01,ENG_WORKSTATION,FieldLink,MDL-28,6.9.3,10.1.1.53,L2_SUPERVISORY,DNP3,ACTIVE,ONLINE,CRITICAL,Unknown,156
OT-00102,PLT-01,DCS_CONTROLLER,RemoteAssist,MDL-63,8.0.6,10.1.8.149,L2_SUPERVISORY,PROFINET,ACTIVE,UNSEEN,MEDIUM,Operations,332
OT-00103,PLT-01,GATEWAY,LegacyPLC,MDL-30,3.8.3,10.1.18.14,L3_SITE_OPS,PROFIBUS,ACTIVE,OFFLINE,MEDIUM,Maintenance,62
OT-00104,PLT-02,NETWORK_SWITCH,NetSwitchCo,MDL-21,6.3.0,10.2.13.247,DMZ,VendorSerial,ACTIVE,ONLINE,LOW,OT Security,284
OT-00105,PLT-02,OPC_SERVER,MotorDriveCo,MDL-65,1.9.8,10.2.19.132,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,MEDIUM,Unknown,42
OT-00106,PLT-02,SAFETY_PLC,ControlWorks,MDL-11,3.3.9,10.2.14.144,L0_FIELD,OPC_UA,ACTIVE,ONLINE,CRITICAL,Engineering,37
OT-00107,PLT-02,ENG_WORKSTATION,SafeLogic,MDL-21,3.9.8,10.2.4.56,L3_SITE_OPS,ModbusTCP,ACTIVE,ONLINE,LOW,Vendor,259
OT-00108,PLT-02,SAFETY_PLC,SafeLogic,MDL-16,8.6.5,10.2.12.123,DMZ,PROFIBUS,UNKNOWN,ONLINE,CRITICAL,Operations,120
OT-00109,PLT-02,RTU,HistorianX,MDL-33,4.5.3,10.2.16.43,L2_SUPERVISORY,OPC_UA,ACTIVE,UNSEEN,HIGH,Unknown,324
OT-00110,PLT-02,RTU,MotorDriveCo,MDL-84,2.5.8,10.2.18.20,L0_FIELD,OPC_DA,RETIRED,ONLINE,HIGH,OT Security,225
OT-00111,PLT-02,SAFETY_PLC,ControlWorks,MDL-37,9.3.1,10.2.7.152,DMZ,DNP3,ACTIVE,ONLINE,MEDIUM,Operations,121
OT-00112,PLT-02,IED,NetSwitchCo,MDL-19,2.0.8,10.2.15.126,L1_CONTROL,ModbusTCP,ACTIVE,ONLINE,MEDIUM,Operations,100
OT-00113,PLT-02,OPC_SERVER,LegacyPLC,MDL-23,1.0.5,10.2.6.96,L1_CONTROL,PROFINET,ACTIVE,ONLINE,HIGH,Vendor,123
OT-00114,PLT-02,SENSOR,FieldLink,MDL-39,3.1.9,10.2.1.234,L1_CONTROL,OPC_DA,UNKNOWN,ONLINE,MEDIUM,Operations,70
OT-00115,PLT-02,HMI,SafeLogic,MDL-28,9.1.3,10.2.12.88,DMZ,OPC_DA,ACTIVE,ONLINE,MEDIUM,Vendor,233
OT-00116,PLT-02,HMI,SafeLogic,MDL-43,4.0.6,10.2.17.11,L2_SUPERVISORY,PROFINET,ACTIVE,UNSEEN,MEDIUM,Unknown,321
OT-00117,PLT-02,PLC,MotorDriveCo,MDL-65,6.8.9,10.2.8.196,L3_SITE_OPS,OPC_UA,ACTIVE,ONLINE,HIGH,Operations,401
OT-00118,PLT-02,ENG_WORKSTATION,FieldLink,MDL-20,9.6.6,10.2.1.145,L2_SUPERVISORY,OPC_UA,ACTIVE,ONLINE,HIGH,Vendor,55
OT-00119,PLT-02,HISTORIAN,RemoteAssist,MDL-28,5.2.0,10.2.9.107,L3_SITE_OPS,IEC104,ACTIVE,UNSEEN,CRITICAL,Maintenance,163
OT-00120,PLT-02,VFD,FieldLink,MDL-25,6.6.9,10.2.19.143,DMZ,IEC104,ACTIVE,ONLINE,MEDIUM,Unknown,266
OT-00121,PLT-02,ENG_WORKSTATION,RemoteAssist,MDL-19,7.0.1,10.2.13.239,DMZ,VendorSerial,ACTIVE,ONLINE,CRITICAL,Maintenance,372
OT-00122,PLT-02,HISTORIAN,NetSwitchCo,MDL-52,8.7.8,10.2.19.6,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,HIGH,Vendor,157
OT-00123,PLT-02,IED,NetSwitchCo,MDL-35,4.7.3,10.2.4.185,L2_SUPERVISORY,DNP3,UNKNOWN,ONLINE,HIGH,Maintenance,242
OT-00124,PLT-02,NETWORK_SWITCH,HistorianX,MDL-60,9.1.0,10.2.18.75,L2_SUPERVISORY,PROFINET,ACTIVE,ONLINE,HIGH,Unknown,386
OT-00125,PLT-02,RTU,LegacyPLC,MDL-97,3.3.3,10.2.3.58,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,HIGH,Maintenance,94
OT-00126,PLT-02,GATEWAY,SafeLogic,MDL-79,3.8.0,10.2.12.93,L2_SUPERVISORY,OPC_UA,ACTIVE,ONLINE,CRITICAL,Operations,257
OT-00127,PLT-02,IED,HistorianX,MDL-75,3.1.8,10.2.9.150,DMZ,OPC_UA,ACTIVE,ONLINE,CRITICAL,Operations,341
OT-00128,PLT-02,OPC_SERVER,LegacyPLC,MDL-29,6.6.3,10.2.14.176,L2_SUPERVISORY,PROFINET,RETIRED,ONLINE,MEDIUM,Engineering,94
OT-00129,PLT-02,PLC,LegacyPLC,MDL-60,9.2.5,10.2.16.71,L2_SUPERVISORY,DNP3,ACTIVE,ONLINE,HIGH,Unknown,123
OT-00130,PLT-02,NETWORK_SWITCH,SafeLogic,MDL-39,3.1.9,10.2.6.212,L0_FIELD,DNP3,ACTIVE,ONLINE,HIGH,Unknown,250
OT-00131,PLT-02,ENG_WORKSTATION,MotorDriveCo,MDL-72,4.8.7,10.2.4.107,L1_CONTROL,PROFINET,ACTIVE,INTERMITTENT,CRITICAL,Vendor,396
OT-00132,PLT-02,IED,SensorTech,MDL-47,7.3.5,10.2.12.196,DMZ,OPC_DA,ACTIVE,ONLINE,LOW,Engineering,416
OT-00133,PLT-02,IED,RemoteAssist,MDL-76,8.4.0,10.2.1.50,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,LOW,Unknown,412
OT-00134,PLT-02,OPC_SERVER,HistorianX,MDL-93,7.9.3,10.2.18.94,L1_CONTROL,PROFINET,ACTIVE,ONLINE,CRITICAL,Maintenance,337
OT-00135,PLT-02,PLC,NetSwitchCo,MDL-22,2.1.8,10.2.16.234,L1_CONTROL,EtherNetIP,ACTIVE,ONLINE,HIGH,OT Security,49
OT-00136,PLT-02,IED,RemoteAssist,MDL-75,8.8.7,10.2.6.144,DMZ,OPC_UA,RETIRED,ONLINE,HIGH,Operations,353
OT-00137,PLT-02,IED,ProcessSys,MDL-34,4.8.2,10.2.16.229,L1_CONTROL,ModbusTCP,ACTIVE,ONLINE,HIGH,Operations,393
OT-00138,PLT-02,HISTORIAN,LegacyPLC,MDL-80,1.9.8,10.2.3.235,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,HIGH,Operations,28
OT-00139,PLT-02,ENG_WORKSTATION,ControlWorks,MDL-19,9.4.0,10.2.9.238,L3_SITE_OPS,EtherNetIP,UNKNOWN,UNSEEN,LOW,OT Security,54
OT-00140,PLT-02,NETWORK_SWITCH,LegacyPLC,MDL-40,9.1.6,10.2.3.223,DMZ,ModbusTCP,ACTIVE,ONLINE,CRITICAL,Operations,272
OT-00141,PLT-02,OPC_SERVER,RemoteAssist,MDL-64,9.3.0,10.2.14.100,L0_FIELD,DNP3,ACTIVE,OFFLINE,HIGH,Operations,234
OT-00142,PLT-02,SAFETY_PLC,RemoteAssist,MDL-21,5.9.9,10.2.20.210,L0_FIELD,ModbusTCP,RETIRED,UNSEEN,CRITICAL,Operations,395
OT-00143,PLT-02,SENSOR,NetSwitchCo,MDL-98,5.1.1,10.2.18.231,L0_FIELD,PROFIBUS,ACTIVE,ONLINE,CRITICAL,OT Security,12
OT-00144,PLT-02,ENG_WORKSTATION,LegacyPLC,MDL-76,1.0.5,10.2.4.113,L2_SUPERVISORY,DNP3,ACTIVE,ONLINE,HIGH,Vendor,357
OT-00145,PLT-02,RTU,RemoteAssist,MDL-27,1.5.5,10.2.7.12,DMZ,ModbusTCP,ACTIVE,UNSEEN,CRITICAL,Vendor,73
OT-00146,PLT-02,HMI,FieldLink,MDL-23,4.5.2,10.2.7.230,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,CRITICAL,Vendor,34
OT-00147,PLT-02,DCS_CONTROLLER,LegacyPLC,MDL-96,6.3.4,10.2.12.5,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,CRITICAL,Maintenance,385
OT-00148,PLT-02,IED,SafeLogic,MDL-60,5.3.8,10.2.4.66,DMZ,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Unknown,247
OT-00149,PLT-02,VFD,SensorTech,MDL-10,5.4.1,10.2.11.233,DMZ,ModbusTCP,ACTIVE,ONLINE,CRITICAL,Vendor,103
OT-00150,PLT-02,SENSOR,ProcessSys,MDL-32,9.2.4,10.2.9.172,DMZ,VendorSerial,UNKNOWN,ONLINE,LOW,OT Security,332
OT-00151,PLT-02,PLC,NetSwitchCo,MDL-31,6.8.0,10.2.20.235,DMZ,IEC61850,ACTIVE,ONLINE,MEDIUM,Unknown,106
OT-00152,PLT-02,RTU,HistorianX,MDL-12,1.6.9,10.2.12.248,L1_CONTROL,OPC_DA,ACTIVE,ONLINE,MEDIUM,Unknown,414
OT-00153,PLT-02,SENSOR,FieldLink,MDL-97,4.0.5,10.2.13.180,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,HIGH,Engineering,284
OT-00154,PLT-02,HMI,RemoteAssist,MDL-90,9.0.5,10.2.7.53,L3_SITE_OPS,OPC_DA,ACTIVE,ONLINE,HIGH,Maintenance,319
OT-00155,PLT-02,HMI,SafeLogic,MDL-59,8.0.5,10.2.11.26,L1_CONTROL,EtherNetIP,RETIRED,UNSEEN,CRITICAL,Operations,377
OT-00156,PLT-02,HISTORIAN,RemoteAssist,MDL-15,9.8.4,10.2.7.42,L3_SITE_OPS,EtherNetIP,RETIRED,ONLINE,CRITICAL,OT Security,156
