alert_id,asset_id,plant_id,timestamp,type,severity,soc_status,process_context
ALT-000022,OT-01864,PLT-17,2026-09-19T00:13:00,PROTOCOL_ANOMALY,LOW,TRIAGED,DEGRADED
ALT-000023,OT-00198,PLT-02,2026-09-26T23:03:00,UNEXPECTED_WRITE,HIGH,CLOSED,UNKNOWN
ALT-000024,OT-01152,PLT-11,2026-09-18T11:51:00,MALWARE_SIGNAL,MEDIUM,OPEN,UNKNOWN
ALT-000025,OT-01874,PLT-17,2026-09-12T02:23:00,CONFIG_DRIFT,LOW,TRIAGED,DEGRADED
ALT-000026,OT-01465,PLT-14,2026-09-25T02:23:00,PROTOCOL_ANOMALY,LOW,OPEN,UNKNOWN
ALT-000027,OT-01018,PLT-10,2026-10-01T04:12:00,UNEXPECTED_WRITE,MEDIUM,OPEN,MAINTENANCE_WINDOW
ALT-000028,OT-00499,PLT-05,2026-09-20T20:11:00,NEW_DEVICE,HIGH,SUPPRESSED,UNKNOWN
ALT-000029,OT-00195,PLT-02,2026-09-17T10:17:00,POLICY_VIOLATION,MEDIUM,CLOSED,UNKNOWN
ALT-000030,OT-00044,PLT-01,2026-09-30T09:28:00,PROTOCOL_ANOMALY,LOW,CLOSED,UNKNOWN
ALT-000031,OT-00396,PLT-04,2026-09-12T10:26:00,UNEXPECTED_WRITE,LOW,SUPPRESSED,UNKNOWN
ALT-000032,OT-00585,PLT-06,2026-09-16T04:23:00,NEW_DEVICE,LOW,TRIAGED,UNKNOWN
ALT-000033,OT-01460,PLT-14,2026-09-20T09:19:00,MALWARE_SIGNAL,CRITICAL,TRIAGED,DEGRADED
ALT-000034,OT-01868,PLT-17,2026-10-04T21:42:00,AUTH_ANOMALY,MEDIUM,CLOSED,MAINTENANCE_WINDOW
ALT-000035,OT-01531,PLT-14,2026-09-02T11:00:00,PROTOCOL_ANOMALY,CRITICAL,SUPPRESSED,MAINTENANCE_WINDOW
ALT-000036,OT-00010,PLT-01,2026-09-24T00:09:00,UNEXPECTED_WRITE,MEDIUM,TRIAGED,UNKNOWN
ALT-000037,OT-00236,PLT-03,2026-10-04T09:03:00,UNEXPECTED_WRITE,LOW,SUPPRESSED,UNKNOWN
ALT-000038,OT-01279,PLT-12,2026-09-05T23:41:00,UNEXPECTED_WRITE,HIGH,CLOSED,MAINTENANCE_WINDOW
ALT-000039,OT-00789,PLT-08,2026-09-13T11:39:00,POLICY_VIOLATION,HIGH,SUPPRESSED,UNKNOWN
ALT-000040,OT-00944,PLT-09,2026-09-23T15:30:00,UNEXPECTED_WRITE,CRITICAL,SUPPRESSED,UNKNOWN
ALT-000041,OT-00163,PLT-02,2026-09-21T03:17:00,POLICY_VIOLATION,HIGH,CLOSED,UNKNOWN
ALT-000042,OT-00852,PLT-08,2026-09-26T01:40:00,MALWARE_SIGNAL,HIGH,OPEN,MAINTENANCE_WINDOW
ALT-000043,OT-00819,PLT-08,2026-09-29T07:40:00,PROTOCOL_ANOMALY,HIGH,TRIAGED,MAINTENANCE_WINDOW
ALT-000044,OT-01753,PLT-16,2026-09-11T05:23:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000045,OT-01514,PLT-14,2026-09-10T03:02:00,POLICY_VIOLATION,MEDIUM,CLOSED,UNKNOWN
ALT-000046,OT-00728,PLT-07,2026-09-20T18:50:00,AUTH_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000047,OT-00547,PLT-06,2026-09-21T22:27:00,POLICY_VIOLATION,CRITICAL,CLOSED,NORMAL
ALT-000048,OT-01824,PLT-17,2026-09-06T07:22:00,PROTOCOL_ANOMALY,HIGH,SUPPRESSED,UNKNOWN
ALT-000049,OT-01019,PLT-10,2026-09-25T09:15:00,PROTOCOL_ANOMALY,MEDIUM,CLOSED,NORMAL
ALT-000050,OT-01418,PLT-13,2026-09-07T01:05:00,POLICY_VIOLATION,LOW,OPEN,DEGRADED
ALT-000051,OT-01776,PLT-16,2026-09-10T15:52:00,MALWARE_SIGNAL,HIGH,SUPPRESSED,UNKNOWN
ALT-000052,OT-01432,PLT-14,2026-09-08T22:17:00,POLICY_VIOLATION,LOW,TRIAGED,UNKNOWN
ALT-000053,OT-01758,PLT-16,2026-09-28T13:16:00,NEW_DEVICE,HIGH,OPEN,NORMAL
ALT-000054,OT-00560,PLT-06,2026-09-30T09:52:00,NEW_DEVICE,LOW,OPEN,UNKNOWN
ALT-000055,OT-01514,PLT-14,2026-09-03T20:44:00,POLICY_VIOLATION,LOW,CLOSED,UNKNOWN
ALT-000056,OT-01079,PLT-10,2026-10-01T14:33:00,NEW_DEVICE,MEDIUM,TRIAGED,UNKNOWN
ALT-000057,OT-01792,PLT-17,2026-09-13T02:29:00,NEW_DEVICE,LOW,OPEN,UNKNOWN
ALT-000058,OT-01423,PLT-13,2026-09-22T21:58:00,POLICY_VIOLATION,LOW,TRIAGED,UNKNOWN
ALT-000059,OT-01343,PLT-13,2026-09-24T13:56:00,MALWARE_SIGNAL,MEDIUM,CLOSED,UNKNOWN
ALT-000060,OT-00893,PLT-09,2026-09-19T01:50:00,NEW_DEVICE,MEDIUM,TRIAGED,MAINTENANCE_WINDOW
ALT-000061,OT-01999,PLT-18,2026-09-21T20:05:00,POLICY_VIOLATION,LOW,SUPPRESSED,UNKNOWN
ALT-000062,OT-01093,PLT-10,2026-09-06T09:35:00,POLICY_VIOLATION,HIGH,OPEN,NORMAL
ALT-000063,OT-00921,PLT-09,2026-09-25T09:47:00,MALWARE_SIGNAL,HIGH,CLOSED,NORMAL
ALT-000064,OT-01362,PLT-13,2026-09-17T18:42:00,NEW_DEVICE,LOW,OPEN,MAINTENANCE_WINDOW
ALT-000065,OT-00122,PLT-02,2026-09-16T09:05:00,NEW_DEVICE,MEDIUM,TRIAGED,UNKNOWN
ALT-000066,OT-01306,PLT-12,2026-09-04T17:43:00,CONFIG_DRIFT,LOW,CLOSED,DEGRADED
ALT-000067,OT-01687,PLT-16,2026-09-26T06:03:00,AUTH_ANOMALY,MEDIUM,SUPPRESSED,UNKNOWN
ALT-000068,OT-00047,PLT-01,2026-09-06T15:29:00,MALWARE_SIGNAL,LOW,CLOSED,NORMAL
ALT-000069,OT-01080,PLT-10,2026-09-23T10:46:00,POLICY_VIOLATION,HIGH,TRIAGED,MAINTENANCE_WINDOW
ALT-000070,OT-01784,PLT-16,2026-09-27T17:57:00,POLICY_VIOLATION,LOW,TRIAGED,MAINTENANCE_WINDOW
ALT-000071,OT-01381,PLT-13,2026-09-18T05:15:00,CONFIG_DRIFT,MEDIUM,TRIAGED,DEGRADED
ALT-000072,OT-00724,PLT-07,2026-09-25T01:39:00,MALWARE_SIGNAL,MEDIUM,OPEN,UNKNOWN
ALT-000073,OT-00217,PLT-03,2026-10-03T20:12:00,NEW_DEVICE,MEDIUM,OPEN,UNKNOWN
ALT-000074,OT-00249,PLT-03,2026-09-28T02:33:00,AUTH_ANOMALY,LOW,CLOSED,UNKNOWN
ALT-000075,OT-01646,PLT-15,2026-09-15T08:20:00,MALWARE_SIGNAL,MEDIUM,SUPPRESSED,UNKNOWN
ALT-000076,OT-00173,PLT-02,2026-09-08T10:49:00,UNEXPECTED_WRITE,LOW,OPEN,UNKNOWN
ALT-000077,OT-01454,PLT-14,2026-09-23T22:20:00,MALWARE_SIGNAL,HIGH,SUPPRESSED,UNKNOWN
ALT-000078,OT-00601,PLT-06,2026-09-24T14:16:00,UNEXPECTED_WRITE,CRITICAL,SUPPRESSED,MAINTENANCE_WINDOW
ALT-000079,OT-00194,PLT-02,2026-10-04T00:40:00,MALWARE_SIGNAL,MEDIUM,CLOSED,DEGRADED
ALT-000080,OT-00264,PLT-03,2026-09-01T22:22:00,UNEXPECTED_WRITE,LOW,OPEN,UNKNOWN
ALT-000081,OT-01205,PLT-11,2026-09-19T09:55:00,AUTH_ANOMALY,HIGH,TRIAGED,UNKNOWN
ALT-000082,OT-00213,PLT-03,2026-09-07T16:41:00,NEW_DEVICE,MEDIUM,OPEN,NORMAL
ALT-000083,OT-01515,PLT-14,2026-09-08T23:12:00,PROTOCOL_ANOMALY,MEDIUM,CLOSED,UNKNOWN
ALT-000084,OT-01309,PLT-13,2026-09-12T14:49:00,NEW_DEVICE,LOW,OPEN,MAINTENANCE_WINDOW
ALT-000085,OT-01273,PLT-12,2026-09-09T17:51:00,NEW_DEVICE,LOW,SUPPRESSED,UNKNOWN
ALT-000086,OT-00057,PLT-01,2026-09-05T16:11:00,POLICY_VIOLATION,MEDIUM,OPEN,UNKNOWN
ALT-000087,OT-00459,PLT-05,2026-09-06T04:37:00,AUTH_ANOMALY,MEDIUM,TRIAGED,MAINTENANCE_WINDOW
ALT-000088,OT-01559,PLT-15,2026-09-07T09:30:00,CONFIG_DRIFT,HIGH,OPEN,MAINTENANCE_WINDOW
ALT-000089,OT-00457,PLT-05,2026-09-23T11:56:00,MALWARE_SIGNAL,HIGH,OPEN,UNKNOWN
ALT-000090,OT-00350,PLT-04,2026-09-04T07:53:00,POLICY_VIOLATION,MEDIUM,CLOSED,UNKNOWN
ALT-000091,OT-01746,PLT-16,2026-09-05T03:43:00,MALWARE_SIGNAL,LOW,CLOSED,DEGRADED
ALT-000092,OT-01469,PLT-14,2026-09-04T03:38:00,AUTH_ANOMALY,LOW,TRIAGED,UNKNOWN
ALT-000093,OT-01137,PLT-11,2026-09-04T15:17:00,CONFIG_DRIFT,MEDIUM,TRIAGED,UNKNOWN
ALT-000094,OT-00744,PLT-07,2026-09-07T12:07:00,POLICY_VIOLATION,HIGH,CLOSED,UNKNOWN
ALT-000095,OT-01393,PLT-13,2026-09-12T03:53:00,POLICY_VIOLATION,MEDIUM,CLOSED,UNKNOWN
ALT-000096,OT-01486,PLT-14,2026-09-16T17:05:00,POLICY_VIOLATION,LOW,TRIAGED,MAINTENANCE_WINDOW
ALT-000097,OT-01931,PLT-18,2026-09-09T21:27:00,UNEXPECTED_WRITE,LOW,SUPPRESSED,UNKNOWN
ALT-000098,OT-01976,PLT-18,2026-09-06T12:24:00,AUTH_ANOMALY,LOW,OPEN,UNKNOWN
ALT-000099,OT-01503,PLT-14,2026-09-18T07:53:00,MALWARE_SIGNAL,LOW,CLOSED,UNKNOWN
ALT-000100,OT-00284,PLT-03,2026-09-14T03:48:00,UNEXPECTED_WRITE,HIGH,TRIAGED,NORMAL
ALT-000101,OT-01527,PLT-14,2026-09-06T14:55:00,CONFIG_DRIFT,LOW,SUPPRESSED,UNKNOWN
ALT-000102,OT-00297,PLT-03,2026-09-13T14:12:00,AUTH_ANOMALY,HIGH,OPEN,UNKNOWN
ALT-000103,OT-00066,PLT-01,2026-09-20T10:36:00,MALWARE_SIGNAL,MEDIUM,CLOSED,UNKNOWN
ALT-000104,OT-00526,PLT-05,2026-10-02T16:05:00,UNEXPECTED_WRITE,LOW,OPEN,UNKNOWN
ALT-000105,OT-01920,PLT-18,2026-09-27T02:30:00,MALWARE_SIGNAL,MEDIUM,TRIAGED,UNKNOWN
ALT-000106,OT-01500,PLT-14,2026-09-25T09:09:00,POLICY_VIOLATION,HIGH,OPEN,MAINTENANCE_WINDOW
ALT-000107,OT-00640,PLT-07,2026-09-22T02:33:00,NEW_DEVICE,LOW,SUPPRESSED,UNKNOWN
ALT-000108,OT-01305,PLT-12,2026-09-18T13:04:00,UNEXPECTED_WRITE,LOW,CLOSED,MAINTENANCE_WINDOW
ALT-000109,OT-00382,PLT-04,2026-09-03T17:42:00,MALWARE_SIGNAL,LOW,CLOSED,UNKNOWN
ALT-000110,OT-00318,PLT-03,2026-10-02T17:13:00,AUTH_ANOMALY,MEDIUM,CLOSED,NORMAL
ALT-000111,OT-01449,PLT-14,2026-09-02T20:31:00,CONFIG_DRIFT,LOW,TRIAGED,NORMAL
ALT-000112,OT-00527,PLT-05,2026-09-03T04:21:00,AUTH_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000113,OT-01657,PLT-15,2026-09-24T18:24:00,CONFIG_DRIFT,LOW,SUPPRESSED,UNKNOWN
ALT-000114,OT-00349,PLT-04,2026-10-01T11:07:00,UNEXPECTED_WRITE,LOW,SUPPRESSED,MAINTENANCE_WINDOW
ALT-000115,OT-00644,PLT-07,2026-09-06T17:18:00,UNEXPECTED_WRITE,HIGH,TRIAGED,MAINTENANCE_WINDOW
ALT-000116,OT-01010,PLT-10,2026-09-13T12:39:00,NEW_DEVICE,LOW,TRIAGED,UNKNOWN
ALT-000117,OT-00528,PLT-05,2026-09-14T12:04:00,PROTOCOL_ANOMALY,MEDIUM,TRIAGED,MAINTENANCE_WINDOW
ALT-000118,OT-00702,PLT-07,2026-09-11T10:44:00,CONFIG_DRIFT,HIGH,TRIAGED,DEGRADED
ALT-000119,OT-00838,PLT-08,2026-09-15T04:32:00,PROTOCOL_ANOMALY,LOW,OPEN,DEGRADED
ALT-000120,OT-00573,PLT-06,2026-09-14T14:15:00,MALWARE_SIGNAL,MEDIUM,SUPPRESSED,NORMAL
ALT-000121,OT-01180,PLT-11,2026-09-29T14:49:00,PROTOCOL_ANOMALY,LOW,SUPPRESSED,UNKNOWN
ALT-000122,OT-01852,PLT-17,2026-09-18T17:15:00,NEW_DEVICE,MEDIUM,CLOSED,DEGRADED
ALT-000123,OT-00549,PLT-06,2026-09-13T05:47:00,CONFIG_DRIFT,LOW,TRIAGED,UNKNOWN
ALT-000124,OT-01684,PLT-16,2026-09-16T14:34:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000125,OT-00790,PLT-08,2026-10-01T13:53:00,NEW_DEVICE,MEDIUM,TRIAGED,UNKNOWN
ALT-000126,OT-01543,PLT-14,2026-09-16T21:36:00,CONFIG_DRIFT,LOW,OPEN,UNKNOWN
ALT-000127,OT-01537,PLT-14,2026-09-11T09:02:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000128,OT-00467,PLT-05,2026-09-15T18:26:00,PROTOCOL_ANOMALY,HIGH,SUPPRESSED,UNKNOWN
ALT-000129,OT-01803,PLT-17,2026-09-14T20:04:00,NEW_DEVICE,MEDIUM,OPEN,NORMAL
ALT-000130,OT-00337,PLT-04,2026-09-25T00:06:00,CONFIG_DRIFT,MEDIUM,TRIAGED,UNKNOWN
ALT-000131,OT-00621,PLT-06,2026-10-03T10:41:00,PROTOCOL_ANOMALY,LOW,OPEN,UNKNOWN
ALT-000132,OT-00728,PLT-07,2026-09-17T12:38:00,PROTOCOL_ANOMALY,LOW,OPEN,UNKNOWN
ALT-000133,OT-00264,PLT-03,2026-10-02T15:06:00,PROTOCOL_ANOMALY,CRITICAL,CLOSED,UNKNOWN
ALT-000134,OT-00903,PLT-09,2026-09-20T18:16:00,CONFIG_DRIFT,HIGH,TRIAGED,UNKNOWN
ALT-000135,OT-01137,PLT-11,2026-09-16T05:53:00,AUTH_ANOMALY,MEDIUM,CLOSED,UNKNOWN
ALT-000136,OT-00747,PLT-07,2026-09-21T14:29:00,MALWARE_SIGNAL,CRITICAL,TRIAGED,UNKNOWN
ALT-000137,OT-01990,PLT-18,2026-09-23T05:48:00,AUTH_ANOMALY,LOW,SUPPRESSED,MAINTENANCE_WINDOW
ALT-000138,OT-01277,PLT-12,2026-09-15T22:32:00,UNEXPECTED_WRITE,MEDIUM,OPEN,UNKNOWN
ALT-000139,OT-00268,PLT-03,2026-09-02T10:44:00,MALWARE_SIGNAL,LOW,CLOSED,UNKNOWN
ALT-000140,OT-01769,PLT-16,2026-10-02T13:08:00,AUTH_ANOMALY,HIGH,OPEN,MAINTENANCE_WINDOW
ALT-000141,OT-00237,PLT-03,2026-10-01T03:24:00,POLICY_VIOLATION,MEDIUM,SUPPRESSED,NORMAL
ALT-000142,OT-01261,PLT-12,2026-09-04T16:56:00,MALWARE_SIGNAL,LOW,TRIAGED,UNKNOWN
ALT-000143,OT-00941,PLT-09,2026-09-21T23:26:00,CONFIG_DRIFT,HIGH,SUPPRESSED,UNKNOWN
ALT-000144,OT-01557,PLT-15,2026-09-05T21:36:00,AUTH_ANOMALY,LOW,CLOSED,UNKNOWN
ALT-000145,OT-01115,PLT-11,2026-09-13T02:19:00,POLICY_VIOLATION,MEDIUM,SUPPRESSED,UNKNOWN
ALT-000146,OT-01790,PLT-17,2026-09-10T20:10:00,UNEXPECTED_WRITE,CRITICAL,TRIAGED,DEGRADED
ALT-000147,OT-01272,PLT-12,2026-09-26T09:47:00,NEW_DEVICE,HIGH,SUPPRESSED,MAINTENANCE_WINDOW
ALT-000148,OT-01011,PLT-10,2026-10-04T12:45:00,PROTOCOL_ANOMALY,HIGH,OPEN,NORMAL
ALT-000149,OT-00122,PLT-02,2026-09-20T22:21:00,AUTH_ANOMALY,MEDIUM,TRIAGED,UNKNOWN
ALT-000150,OT-00930,PLT-09,2026-09-17T07:36:00,PROTOCOL_ANOMALY,LOW,TRIAGED,UNKNOWN
ALT-000151,OT-01259,PLT-12,2026-09-11T21:04:00,NEW_DEVICE,MEDIUM,TRIAGED,NORMAL
ALT-000152,OT-00833,PLT-08,2026-09-25T19:11:00,MALWARE_SIGNAL,MEDIUM,CLOSED,MAINTENANCE_WINDOW
ALT-000153,OT-01679,PLT-16,2026-09-02T04:27:00,AUTH_ANOMALY,HIGH,CLOSED,MAINTENANCE_WINDOW
ALT-000154,OT-00959,PLT-09,2026-09-19T09:30:00,MALWARE_SIGNAL,MEDIUM,OPEN,UNKNOWN
ALT-000155,OT-01345,PLT-13,2026-09-08T02:43:00,AUTH_ANOMALY,MEDIUM,CLOSED,DEGRADED
ALT-000156,OT-01906,PLT-18,2026-09-01T08:11:00,UNEXPECTED_WRITE,LOW,OPEN,MAINTENANCE_WINDOW
ALT-000157,OT-00214,PLT-03,2026-09-25T15:49:00,POLICY_VIOLATION,HIGH,TRIAGED,UNKNOWN
ALT-000158,OT-01464,PLT-14,2026-09-16T07:14:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000159,OT-00781,PLT-08,2026-09-25T18:41:00,AUTH_ANOMALY,HIGH,TRIAGED,UNKNOWN
ALT-000160,OT-01209,PLT-12,2026-09-05T01:30:00,AUTH_ANOMALY,LOW,SUPPRESSED,DEGRADED
ALT-000161,OT-00773,PLT-08,2026-09-18T23:02:00,CONFIG_DRIFT,MEDIUM,OPEN,UNKNOWN
ALT-000162,OT-01167,PLT-11,2026-10-03T09:53:00,UNEXPECTED_WRITE,HIGH,OPEN,UNKNOWN
ALT-000163,OT-01478,PLT-14,2026-10-04T16:14:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,NORMAL
ALT-000164,OT-00383,PLT-04,2026-09-24T22:40:00,CONFIG_DRIFT,HIGH,SUPPRESSED,UNKNOWN
ALT-000165,OT-00864,PLT-08,2026-09-15T23:21:00,NEW_DEVICE,HIGH,SUPPRESSED,UNKNOWN
ALT-000166,OT-01928,PLT-18,2026-09-16T23:47:00,PROTOCOL_ANOMALY,HIGH,TRIAGED,UNKNOWN
ALT-000167,OT-01596,PLT-15,2026-10-03T16:19:00,NEW_DEVICE,MEDIUM,CLOSED,DEGRADED
ALT-000168,OT-01446,PLT-14,2026-09-26T16:28:00,PROTOCOL_ANOMALY,MEDIUM,TRIAGED,UNKNOWN
ALT-000169,OT-00975,PLT-09,2026-09-26T21:58:00,CONFIG_DRIFT,MEDIUM,TRIAGED,UNKNOWN
ALT-000170,OT-00569,PLT-06,2026-10-02T10:01:00,AUTH_ANOMALY,HIGH,OPEN,DEGRADED
ALT-000171,OT-01729,PLT-16,2026-09-26T03:09:00,PROTOCOL_ANOMALY,MEDIUM,TRIAGED,DEGRADED
ALT-000172,OT-01182,PLT-11,2026-09-08T16:01:00,AUTH_ANOMALY,HIGH,OPEN,UNKNOWN
ALT-000173,OT-00646,PLT-07,2026-09-08T17:36:00,UNEXPECTED_WRITE,HIGH,SUPPRESSED,UNKNOWN
ALT-000174,OT-00949,PLT-09,2026-09-27T05:06:00,UNEXPECTED_WRITE,MEDIUM,TRIAGED,UNKNOWN
ALT-000175,OT-01790,PLT-17,2026-09-07T10:15:00,MALWARE_SIGNAL,LOW,TRIAGED,MAINTENANCE_WINDOW
ALT-000176,OT-01787,PLT-17,2026-09-07T14:02:00,MALWARE_SIGNAL,MEDIUM,SUPPRESSED,UNKNOWN
ALT-000177,OT-01144,PLT-11,2026-10-03T07:28:00,MALWARE_SIGNAL,MEDIUM,SUPPRESSED,NORMAL
ALT-000178,OT-00127,PLT-02,2026-09-06T03:33:00,POLICY_VIOLATION,HIGH,OPEN,UNKNOWN
ALT-000179,OT-00595,PLT-06,2026-09-20T23:08:00,MALWARE_SIGNAL,LOW,TRIAGED,UNKNOWN
ALT-000180,OT-01197,PLT-11,2026-09-30T07:08:00,POLICY_VIOLATION,LOW,SUPPRESSED,DEGRADED
ALT-000181,OT-01689,PLT-16,2026-09-16T23:18:00,MALWARE_SIGNAL,LOW,TRIAGED,UNKNOWN
ALT-000182,OT-00229,PLT-03,2026-10-02T13:14:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000183,OT-00011,PLT-01,2026-09-28T20:21:00,UNEXPECTED_WRITE,LOW,OPEN,UNKNOWN
ALT-000184,OT-00571,PLT-06,2026-09-06T14:41:00,POLICY_VIOLATION,HIGH,OPEN,UNKNOWN
ALT-000185,OT-00844,PLT-08,2026-09-18T02:04:00,PROTOCOL_ANOMALY,HIGH,OPEN,NORMAL
ALT-000186,OT-00803,PLT-08,2026-10-03T01:05:00,CONFIG_DRIFT,MEDIUM,TRIAGED,MAINTENANCE_WINDOW
ALT-000187,OT-01574,PLT-15,2026-09-06T22:00:00,NEW_DEVICE,HIGH,SUPPRESSED,DEGRADED
ALT-000188,OT-00833,PLT-08,2026-10-05T13:35:00,MALWARE_SIGNAL,MEDIUM,SUPPRESSED,UNKNOWN
ALT-000189,OT-00263,PLT-03,2026-10-05T03:24:00,AUTH_ANOMALY,MEDIUM,SUPPRESSED,UNKNOWN
ALT-000190,OT-01190,PLT-11,2026-09-11T05:47:00,PROTOCOL_ANOMALY,LOW,TRIAGED,UNKNOWN
ALT-000191,OT-00903,PLT-09,2026-09-15T13:25:00,MALWARE_SIGNAL,LOW,SUPPRESSED,UNKNOWN
ALT-000192,OT-01646,PLT-15,2026-09-16T13:41:00,NEW_DEVICE,HIGH,TRIAGED,UNKNOWN
ALT-000193,OT-01896,PLT-18,2026-09-20T13:08:00,PROTOCOL_ANOMALY,HIGH,OPEN,UNKNOWN
ALT-000194,OT-01672,PLT-16,2026-09-18T14:08:00,CONFIG_DRIFT,MEDIUM,OPEN,MAINTENANCE_WINDOW
ALT-000195,OT-01547,PLT-14,2026-09-11T18:53:00,NEW_DEVICE,MEDIUM,TRIAGED,UNKNOWN
ALT-000196,OT-01174,PLT-11,2026-09-21T18:06:00,MALWARE_SIGNAL,LOW,SUPPRESSED,UNKNOWN
ALT-000197,OT-00621,PLT-06,2026-09-01T07:14:00,MALWARE_SIGNAL,HIGH,SUPPRESSED,UNKNOWN
ALT-000198,OT-01426,PLT-14,2026-10-01T11:31:00,POLICY_VIOLATION,MEDIUM,TRIAGED,UNKNOWN
ALT-000199,OT-00170,PLT-02,2026-09-16T18:08:00,NEW_DEVICE,CRITICAL,CLOSED,DEGRADED
ALT-000200,OT-01496,PLT-14,2026-09-06T09:12:00,NEW_DEVICE,CRITICAL,TRIAGED,UNKNOWN
ALT-000201,OT-01579,PLT-15,2026-09-08T17:14:00,MALWARE_SIGNAL,MEDIUM,CLOSED,MAINTENANCE_WINDOW
ALT-000202,OT-00923,PLT-09,2026-09-09T15:13:00,PROTOCOL_ANOMALY,MEDIUM,SUPPRESSED,DEGRADED
ALT-000203,OT-01826,PLT-17,2026-10-01T16:09:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000204,OT-00737,PLT-07,2026-09-25T05:01:00,UNEXPECTED_WRITE,CRITICAL,CLOSED,MAINTENANCE_WINDOW
ALT-000205,OT-02014,PLT-18,2026-09-04T01:02:00,POLICY_VIOLATION,MEDIUM,OPEN,UNKNOWN
ALT-000206,OT-00642,PLT-07,2026-09-20T07:42:00,UNEXPECTED_WRITE,HIGH,TRIAGED,NORMAL
ALT-000207,OT-00653,PLT-07,2026-09-20T06:15:00,AUTH_ANOMALY,MEDIUM,CLOSED,UNKNOWN
ALT-000208,OT-00226,PLT-03,2026-09-22T13:35:00,POLICY_VIOLATION,MEDIUM,CLOSED,UNKNOWN
ALT-000209,OT-01492,PLT-14,2026-09-21T09:12:00,UNEXPECTED_WRITE,MEDIUM,CLOSED,UNKNOWN
ALT-000210,OT-00574,PLT-06,2026-09-30T19:20:00,UNEXPECTED_WRITE,LOW,TRIAGED,UNKNOWN
ALT-000211,OT-00704,PLT-07,2026-09-17T04:42:00,MALWARE_SIGNAL,MEDIUM,OPEN,NORMAL
