work_order_id,asset_id,plant_id,type,cmms_status,field_status,opened_at,closed_at,temporary_bypass,notes
WO-000027,OT-01008,PLT-10,EMERGENCY,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-09T00:00:00,2026-09-11T09:00:00,NO,parts substituted
WO-000028,OT-00800,PLT-08,EMERGENCY,OPEN,OUT_OF_SERVICE,2026-09-10T18:00:00,2026-09-11T06:00:00,NO,operator workaround active
WO-000029,OT-00554,PLT-06,INSPECTION,OPEN,RETURNED_TO_SERVICE,2026-10-10T21:00:00,2026-10-11T00:00:00,NO,awaiting vendor
WO-000030,OT-01008,PLT-10,INSPECTION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-30T23:00:00,2026-10-03T07:00:00,NO,awaiting vendor
WO-000031,OT-01321,PLT-13,CALIBRATION,CLOSED,RETURNED_TO_SERVICE,2026-09-14T21:00:00,2026-09-16T14:00:00,NO,parts substituted
WO-000032,OT-00889,PLT-09,CM,OPEN,ACTIVE,2026-10-09T09:00:00,,NO,standard work
WO-000033,OT-02005,PLT-18,INSPECTION,OPEN,DEGRADED,2026-09-23T06:00:00,2026-09-25T12:00:00,NO,parts substituted
WO-000034,OT-00531,PLT-05,EMERGENCY,CLOSED,DEGRADED,2026-09-25T22:00:00,2026-09-27T21:00:00,NO,parts substituted
WO-000035,OT-00304,PLT-03,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-03T05:00:00,,NO,documentation pending
WO-000036,OT-00938,PLT-09,PM,IN_PROGRESS,ACTIVE,2026-09-11T18:00:00,2026-09-13T15:00:00,NO,documentation pending
WO-000037,OT-01627,PLT-15,INSPECTION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-28T07:00:00,,YES,parts substituted
WO-000038,OT-00909,PLT-09,INSPECTION,CLOSED,DEGRADED,2026-10-09T04:00:00,2026-10-12T00:00:00,NO,awaiting vendor
WO-000039,OT-00350,PLT-04,INSPECTION,CLOSED,OUT_OF_SERVICE,2026-09-03T02:00:00,2026-09-05T01:00:00,NO,parts substituted
WO-000040,OT-00661,PLT-07,CALIBRATION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-09T09:00:00,2026-09-09T13:00:00,NO,documentation pending
WO-000041,OT-01511,PLT-14,EMERGENCY,DEFERRED,RETURNED_TO_SERVICE,2026-09-26T02:00:00,2026-09-27T14:00:00,NO,operator workaround active
WO-000042,OT-00406,PLT-04,EMERGENCY,DEFERRED,RETURNED_TO_SERVICE,2026-10-07T01:00:00,2026-10-09T11:00:00,NO,parts substituted
WO-000043,OT-00341,PLT-04,PM,DEFERRED,OUT_OF_SERVICE,2026-09-17T17:00:00,2026-09-20T14:00:00,NO,parts substituted
WO-000044,OT-00889,PLT-09,CALIBRATION,IN_PROGRESS,DEGRADED,2026-09-23T00:00:00,,NO,operator workaround active
WO-000045,OT-01390,PLT-13,INSPECTION,IN_PROGRESS,ACTIVE,2026-10-09T22:00:00,,NO,standard work
WO-000046,OT-01294,PLT-12,CM,CLOSED,RETURNED_TO_SERVICE,2026-09-08T10:00:00,2026-09-10T03:00:00,YES,parts substituted
WO-000047,OT-00304,PLT-03,EMERGENCY,CLOSED,RETURNED_TO_SERVICE,2026-09-03T10:00:00,,NO,documentation pending
WO-000048,OT-01826,PLT-17,CM,OPEN,ACTIVE,2026-09-26T19:00:00,2026-09-27T09:00:00,NO,operator workaround active
WO-000049,OT-00870,PLT-08,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-28T03:00:00,,NO,awaiting vendor
WO-000050,OT-01771,PLT-16,CM,CLOSED,ACTIVE,2026-10-08T07:00:00,2026-10-09T04:00:00,NO,awaiting vendor
WO-000051,OT-00979,PLT-09,EMERGENCY,DEFERRED,DEGRADED,2026-10-03T18:00:00,,NO,standard work
WO-000052,OT-01094,PLT-10,INSPECTION,CLOSED,RETURNED_TO_SERVICE,2026-09-04T05:00:00,,NO,standard work
WO-000053,OT-00553,PLT-06,EMERGENCY,IN_PROGRESS,DEGRADED,2026-10-09T08:00:00,2026-10-11T20:00:00,NO,standard work
WO-000054,OT-00322,PLT-04,INSPECTION,DEFERRED,OUT_OF_SERVICE,2026-09-15T06:00:00,,NO,operator workaround active
WO-000055,OT-01761,PLT-16,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-19T00:00:00,,NO,documentation pending
WO-000056,OT-00572,PLT-06,CM,DEFERRED,DEGRADED,2026-09-14T03:00:00,2026-09-16T01:00:00,NO,standard work
WO-000057,OT-00982,PLT-09,PM,DEFERRED,DEGRADED,2026-09-25T10:00:00,,NO,parts substituted
WO-000058,OT-01945,PLT-18,PM,OPEN,ACTIVE,2026-09-08T12:00:00,2026-09-10T06:00:00,NO,documentation pending
WO-000059,OT-01078,PLT-10,EMERGENCY,DEFERRED,ACTIVE,2026-09-24T14:00:00,2026-09-27T12:00:00,NO,awaiting vendor
WO-000060,OT-01572,PLT-15,CM,OPEN,ACTIVE,2026-09-19T13:00:00,,NO,documentation pending
WO-000061,OT-00266,PLT-03,EMERGENCY,OPEN,DEGRADED,2026-09-10T13:00:00,,NO,documentation pending
WO-000062,OT-01829,PLT-17,INSPECTION,OPEN,OUT_OF_SERVICE,2026-10-02T20:00:00,,NO,standard work
WO-000063,OT-01545,PLT-14,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-22T12:00:00,,NO,parts substituted
WO-000064,OT-01663,PLT-15,CALIBRATION,CLOSED,DEGRADED,2026-10-03T07:00:00,,YES,standard work
WO-000065,OT-00441,PLT-05,EMERGENCY,IN_PROGRESS,ACTIVE,2026-09-19T13:00:00,2026-09-20T19:00:00,YES,standard work
WO-000066,OT-01930,PLT-18,PM,DEFERRED,RETURNED_TO_SERVICE,2026-09-01T01:00:00,2026-09-03T15:00:00,NO,parts substituted
WO-000067,OT-00531,PLT-05,CALIBRATION,OPEN,RETURNED_TO_SERVICE,2026-09-15T01:00:00,2026-09-17T14:00:00,NO,parts substituted
WO-000068,OT-00218,PLT-03,CALIBRATION,OPEN,OUT_OF_SERVICE,2026-09-12T07:00:00,2026-09-13T00:00:00,YES,operator workaround active
WO-000069,OT-01729,PLT-16,PM,OPEN,ACTIVE,2026-09-07T17:00:00,,NO,standard work
WO-000070,OT-01090,PLT-10,CALIBRATION,DEFERRED,OUT_OF_SERVICE,2026-09-06T02:00:00,,YES,operator workaround active
WO-000071,OT-00695,PLT-07,INSPECTION,OPEN,RETURNED_TO_SERVICE,2026-10-08T16:00:00,,NO,awaiting vendor
WO-000072,OT-00867,PLT-08,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-02T10:00:00,2026-09-04T11:00:00,NO,standard work
WO-000073,OT-01719,PLT-16,INSPECTION,IN_PROGRESS,ACTIVE,2026-09-30T15:00:00,,NO,documentation pending
WO-000074,OT-01345,PLT-13,INSPECTION,CLOSED,ACTIVE,2026-10-06T22:00:00,2026-10-07T01:00:00,NO,operator workaround active
WO-000075,OT-00599,PLT-06,INSPECTION,OPEN,RETURNED_TO_SERVICE,2026-09-27T00:00:00,2026-09-27T14:00:00,NO,standard work
WO-000076,OT-01204,PLT-11,EMERGENCY,IN_PROGRESS,DEGRADED,2026-09-24T18:00:00,2026-09-26T16:00:00,NO,awaiting vendor
WO-000077,OT-00934,PLT-09,EMERGENCY,DEFERRED,OUT_OF_SERVICE,2026-09-24T01:00:00,2026-09-24T07:00:00,NO,documentation pending
WO-000078,OT-00355,PLT-04,CALIBRATION,CLOSED,OUT_OF_SERVICE,2026-09-09T14:00:00,2026-09-10T03:00:00,YES,documentation pending
WO-000079,OT-00761,PLT-08,CM,CLOSED,DEGRADED,2026-09-17T04:00:00,,NO,documentation pending
WO-000080,OT-01325,PLT-13,CALIBRATION,CLOSED,OUT_OF_SERVICE,2026-09-13T15:00:00,,NO,standard work
WO-000081,OT-00383,PLT-04,CM,DEFERRED,OUT_OF_SERVICE,2026-10-03T02:00:00,2026-10-03T21:00:00,NO,awaiting vendor
WO-000082,OT-01105,PLT-11,PM,DEFERRED,OUT_OF_SERVICE,2026-09-26T06:00:00,,YES,operator workaround active
WO-000083,OT-01011,PLT-10,EMERGENCY,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-10T00:00:00,2026-10-11T11:00:00,NO,documentation pending
WO-000084,OT-00415,PLT-04,CM,OPEN,ACTIVE,2026-09-06T22:00:00,,NO,awaiting vendor
WO-000085,OT-01436,PLT-14,INSPECTION,OPEN,RETURNED_TO_SERVICE,2026-09-30T11:00:00,2026-10-03T07:00:00,NO,parts substituted
WO-000086,OT-01640,PLT-15,PM,CLOSED,DEGRADED,2026-10-05T10:00:00,,YES,standard work
WO-000087,OT-00879,PLT-08,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-10T17:00:00,2026-10-11T18:00:00,NO,standard work
WO-000088,OT-00544,PLT-06,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-10-05T03:00:00,,NO,standard work
WO-000089,OT-01980,PLT-18,INSPECTION,CLOSED,DEGRADED,2026-09-26T13:00:00,2026-09-29T05:00:00,NO,parts substituted
WO-000090,OT-01774,PLT-16,CALIBRATION,OPEN,RETURNED_TO_SERVICE,2026-10-10T12:00:00,,NO,awaiting vendor
WO-000091,OT-01202,PLT-11,INSPECTION,CLOSED,RETURNED_TO_SERVICE,2026-09-02T22:00:00,2026-09-03T12:00:00,NO,parts substituted
WO-000092,OT-00726,PLT-07,CALIBRATION,CLOSED,DEGRADED,2026-10-06T07:00:00,2026-10-06T13:00:00,NO,standard work
WO-000093,OT-01120,PLT-11,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-24T00:00:00,,YES,parts substituted
WO-000094,OT-00715,PLT-07,CALIBRATION,IN_PROGRESS,DEGRADED,2026-09-27T18:00:00,,NO,operator workaround active
WO-000095,OT-00720,PLT-07,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-10-06T20:00:00,,NO,awaiting vendor
WO-000096,OT-01817,PLT-17,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-22T00:00:00,2026-09-22T10:00:00,NO,standard work
WO-000097,OT-00014,PLT-01,CM,DEFERRED,RETURNED_TO_SERVICE,2026-09-24T07:00:00,,YES,standard work
WO-000098,OT-01773,PLT-16,INSPECTION,CLOSED,OUT_OF_SERVICE,2026-09-20T01:00:00,,NO,awaiting vendor
WO-000099,OT-00028,PLT-01,INSPECTION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-19T08:00:00,,NO,standard work
WO-000100,OT-00936,PLT-09,PM,CLOSED,OUT_OF_SERVICE,2026-10-09T13:00:00,,NO,operator workaround active
WO-000101,OT-00494,PLT-05,CM,IN_PROGRESS,DEGRADED,2026-09-02T04:00:00,2026-09-03T19:00:00,NO,awaiting vendor
WO-000102,OT-01057,PLT-10,INSPECTION,CLOSED,OUT_OF_SERVICE,2026-10-06T03:00:00,2026-10-08T22:00:00,NO,parts substituted
WO-000103,OT-00379,PLT-04,INSPECTION,IN_PROGRESS,DEGRADED,2026-10-06T07:00:00,,NO,documentation pending
WO-000104,OT-01930,PLT-18,EMERGENCY,DEFERRED,OUT_OF_SERVICE,2026-09-13T03:00:00,,NO,standard work
WO-000105,OT-00280,PLT-03,INSPECTION,OPEN,ACTIVE,2026-09-22T07:00:00,2026-09-24T16:00:00,NO,awaiting vendor
WO-000106,OT-00992,PLT-10,CALIBRATION,CLOSED,ACTIVE,2026-09-15T01:00:00,2026-09-15T22:00:00,NO,operator workaround active
WO-000107,OT-00826,PLT-08,PM,OPEN,RETURNED_TO_SERVICE,2026-09-08T03:00:00,,NO,awaiting vendor
WO-000108,OT-01137,PLT-11,INSPECTION,CLOSED,OUT_OF_SERVICE,2026-09-04T02:00:00,,NO,operator workaround active
WO-000109,OT-00385,PLT-04,PM,OPEN,DEGRADED,2026-10-07T22:00:00,2026-10-09T23:00:00,NO,awaiting vendor
WO-000110,OT-01215,PLT-12,INSPECTION,DEFERRED,RETURNED_TO_SERVICE,2026-10-09T12:00:00,,NO,awaiting vendor
WO-000111,OT-00012,PLT-01,INSPECTION,OPEN,OUT_OF_SERVICE,2026-10-07T10:00:00,,NO,operator workaround active
WO-000112,OT-01569,PLT-15,CM,OPEN,ACTIVE,2026-09-07T18:00:00,,NO,standard work
WO-000113,OT-00653,PLT-07,CALIBRATION,OPEN,ACTIVE,2026-09-04T15:00:00,,NO,documentation pending
WO-000114,OT-01153,PLT-11,PM,CLOSED,OUT_OF_SERVICE,2026-09-30T03:00:00,,NO,documentation pending
WO-000115,OT-00300,PLT-03,CALIBRATION,OPEN,OUT_OF_SERVICE,2026-10-09T03:00:00,2026-10-10T03:00:00,NO,awaiting vendor
WO-000116,OT-01761,PLT-16,PM,DEFERRED,DEGRADED,2026-10-07T19:00:00,2026-10-09T03:00:00,NO,awaiting vendor
WO-000117,OT-01729,PLT-16,EMERGENCY,OPEN,RETURNED_TO_SERVICE,2026-10-01T15:00:00,2026-10-01T22:00:00,NO,documentation pending
WO-000118,OT-00202,PLT-02,INSPECTION,CLOSED,DEGRADED,2026-10-08T14:00:00,2026-10-09T02:00:00,NO,standard work
WO-000119,OT-00673,PLT-07,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-04T12:00:00,2026-09-04T18:00:00,YES,parts substituted
WO-000120,OT-00189,PLT-02,INSPECTION,DEFERRED,RETURNED_TO_SERVICE,2026-09-18T15:00:00,2026-09-19T01:00:00,NO,documentation pending
WO-000121,OT-01843,PLT-17,CM,DEFERRED,OUT_OF_SERVICE,2026-09-15T09:00:00,,NO,standard work
WO-000122,OT-00127,PLT-02,INSPECTION,IN_PROGRESS,ACTIVE,2026-09-14T14:00:00,2026-09-16T07:00:00,NO,standard work
WO-000123,OT-01041,PLT-10,CALIBRATION,OPEN,DEGRADED,2026-09-05T05:00:00,2026-09-05T16:00:00,NO,standard work
WO-000124,OT-01777,PLT-16,CALIBRATION,IN_PROGRESS,ACTIVE,2026-09-02T20:00:00,2026-09-04T20:00:00,NO,awaiting vendor
WO-000125,OT-00502,PLT-05,EMERGENCY,OPEN,ACTIVE,2026-10-05T12:00:00,2026-10-08T10:00:00,NO,documentation pending
WO-000126,OT-01411,PLT-13,CALIBRATION,IN_PROGRESS,ACTIVE,2026-09-19T13:00:00,2026-09-22T08:00:00,NO,awaiting vendor
WO-000127,OT-00990,PLT-10,PM,CLOSED,ACTIVE,2026-09-20T05:00:00,,NO,documentation pending
WO-000128,OT-00916,PLT-09,CM,DEFERRED,OUT_OF_SERVICE,2026-09-18T02:00:00,,NO,awaiting vendor
WO-000129,OT-01071,PLT-10,CM,CLOSED,DEGRADED,2026-09-20T22:00:00,2026-09-22T02:00:00,NO,standard work
WO-000130,OT-00585,PLT-06,INSPECTION,OPEN,RETURNED_TO_SERVICE,2026-09-18T14:00:00,,NO,awaiting vendor
WO-000131,OT-00542,PLT-06,CM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-04T04:00:00,,NO,parts substituted
WO-000132,OT-01288,PLT-12,INSPECTION,CLOSED,ACTIVE,2026-09-02T03:00:00,2026-09-03T21:00:00,NO,awaiting vendor
WO-000133,OT-00139,PLT-02,CM,IN_PROGRESS,ACTIVE,2026-10-03T06:00:00,,NO,parts substituted
WO-000134,OT-00915,PLT-09,CM,DEFERRED,ACTIVE,2026-09-28T11:00:00,2026-09-30T17:00:00,YES,operator workaround active
WO-000135,OT-00571,PLT-06,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-08T02:00:00,2026-09-09T13:00:00,NO,standard work
WO-000136,OT-00338,PLT-04,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-04T01:00:00,2026-09-05T04:00:00,NO,documentation pending
WO-000137,OT-00688,PLT-07,INSPECTION,DEFERRED,DEGRADED,2026-10-07T16:00:00,2026-10-08T08:00:00,NO,parts substituted
WO-000138,OT-02014,PLT-18,CM,CLOSED,OUT_OF_SERVICE,2026-09-09T03:00:00,2026-09-10T00:00:00,NO,standard work
WO-000139,OT-00414,PLT-04,EMERGENCY,OPEN,DEGRADED,2026-09-12T16:00:00,,NO,awaiting vendor
WO-000140,OT-00297,PLT-03,EMERGENCY,CLOSED,DEGRADED,2026-10-07T05:00:00,2026-10-08T18:00:00,NO,standard work
WO-000141,OT-00940,PLT-09,CALIBRATION,OPEN,DEGRADED,2026-09-01T11:00:00,,NO,standard work
WO-000142,OT-00069,PLT-01,INSPECTION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-24T03:00:00,2026-09-26T13:00:00,NO,standard work
WO-000143,OT-00093,PLT-01,INSPECTION,DEFERRED,RETURNED_TO_SERVICE,2026-09-18T23:00:00,,NO,awaiting vendor
WO-000144,OT-01701,PLT-16,EMERGENCY,DEFERRED,OUT_OF_SERVICE,2026-10-05T23:00:00,2026-10-06T01:00:00,NO,standard work
WO-000145,OT-01684,PLT-16,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-10T01:00:00,2026-09-11T04:00:00,NO,awaiting vendor
WO-000146,OT-02010,PLT-18,CALIBRATION,CLOSED,DEGRADED,2026-09-23T21:00:00,,NO,documentation pending
WO-000147,OT-00228,PLT-03,EMERGENCY,DEFERRED,DEGRADED,2026-10-02T21:00:00,,NO,parts substituted
WO-000148,OT-01442,PLT-14,INSPECTION,OPEN,OUT_OF_SERVICE,2026-10-02T04:00:00,2026-10-05T02:00:00,NO,parts substituted
WO-000149,OT-01897,PLT-18,CALIBRATION,OPEN,OUT_OF_SERVICE,2026-09-04T14:00:00,2026-09-04T17:00:00,NO,awaiting vendor
WO-000150,OT-01062,PLT-10,INSPECTION,CLOSED,OUT_OF_SERVICE,2026-09-27T11:00:00,2026-09-29T00:00:00,NO,parts substituted
WO-000151,OT-01885,PLT-17,PM,CLOSED,ACTIVE,2026-09-26T03:00:00,,NO,parts substituted
WO-000152,OT-01281,PLT-12,INSPECTION,OPEN,OUT_OF_SERVICE,2026-09-16T18:00:00,,NO,parts substituted
WO-000153,OT-00697,PLT-07,INSPECTION,DEFERRED,ACTIVE,2026-09-25T03:00:00,2026-09-28T01:00:00,NO,parts substituted
WO-000154,OT-00453,PLT-05,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-10-10T12:00:00,2026-10-11T00:00:00,NO,standard work
WO-000155,OT-01304,PLT-12,PM,CLOSED,ACTIVE,2026-09-17T20:00:00,2026-09-18T18:00:00,NO,standard work
WO-000156,OT-00652,PLT-07,INSPECTION,CLOSED,RETURNED_TO_SERVICE,2026-09-15T16:00:00,,NO,awaiting vendor
WO-000157,OT-00442,PLT-05,PM,DEFERRED,OUT_OF_SERVICE,2026-09-27T02:00:00,2026-09-28T08:00:00,NO,operator workaround active
WO-000158,OT-00850,PLT-08,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-05T01:00:00,2026-09-05T07:00:00,NO,documentation pending
WO-000159,OT-01237,PLT-12,CALIBRATION,DEFERRED,DEGRADED,2026-09-07T21:00:00,,NO,awaiting vendor
WO-000160,OT-01938,PLT-18,CALIBRATION,CLOSED,DEGRADED,2026-09-08T10:00:00,2026-09-11T08:00:00,NO,parts substituted
WO-000161,OT-00081,PLT-01,CM,OPEN,DEGRADED,2026-09-25T23:00:00,,NO,documentation pending
WO-000162,OT-00895,PLT-09,EMERGENCY,CLOSED,RETURNED_TO_SERVICE,2026-10-08T16:00:00,2026-10-10T20:00:00,NO,documentation pending
WO-000163,OT-00725,PLT-07,CALIBRATION,OPEN,DEGRADED,2026-10-06T12:00:00,,NO,standard work
WO-000164,OT-00690,PLT-07,CM,IN_PROGRESS,ACTIVE,2026-09-27T11:00:00,,NO,operator workaround active
WO-000165,OT-00910,PLT-09,INSPECTION,IN_PROGRESS,DEGRADED,2026-09-11T00:00:00,2026-09-12T13:00:00,NO,operator workaround active
WO-000166,OT-01398,PLT-13,PM,CLOSED,ACTIVE,2026-09-07T16:00:00,,NO,documentation pending
WO-000167,OT-00661,PLT-07,INSPECTION,CLOSED,ACTIVE,2026-09-26T21:00:00,2026-09-26T22:00:00,NO,operator workaround active
WO-000168,OT-00118,PLT-02,PM,DEFERRED,ACTIVE,2026-10-06T07:00:00,,NO,awaiting vendor
WO-000169,OT-01101,PLT-10,EMERGENCY,DEFERRED,DEGRADED,2026-09-29T12:00:00,,NO,parts substituted
WO-000170,OT-01459,PLT-14,PM,OPEN,OUT_OF_SERVICE,2026-10-05T21:00:00,2026-10-07T13:00:00,NO,documentation pending
WO-000171,OT-01304,PLT-12,PM,IN_PROGRESS,OUT_OF_SERVICE,2026-09-26T12:00:00,,NO,standard work
WO-000172,OT-01924,PLT-18,CM,CLOSED,OUT_OF_SERVICE,2026-09-15T16:00:00,2026-09-16T23:00:00,NO,operator workaround active
WO-000173,OT-01038,PLT-10,EMERGENCY,CLOSED,DEGRADED,2026-09-17T11:00:00,,NO,parts substituted
WO-000174,OT-01152,PLT-11,PM,CLOSED,OUT_OF_SERVICE,2026-09-22T01:00:00,2026-09-24T13:00:00,YES,operator workaround active
WO-000175,OT-01296,PLT-12,CALIBRATION,OPEN,DEGRADED,2026-10-09T04:00:00,2026-10-12T01:00:00,NO,parts substituted
WO-000176,OT-01555,PLT-15,CM,CLOSED,DEGRADED,2026-10-10T03:00:00,,NO,standard work
WO-000177,OT-00476,PLT-05,EMERGENCY,CLOSED,OUT_OF_SERVICE,2026-09-26T08:00:00,,NO,standard work
WO-000178,OT-00691,PLT-07,EMERGENCY,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-08T17:00:00,2026-10-09T01:00:00,NO,standard work
WO-000179,OT-01002,PLT-10,PM,IN_PROGRESS,DEGRADED,2026-09-04T08:00:00,,NO,parts substituted
WO-000180,OT-01735,PLT-16,INSPECTION,IN_PROGRESS,OUT_OF_SERVICE,2026-09-22T20:00:00,,NO,standard work
WO-000181,OT-00890,PLT-09,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-13T18:00:00,,NO,documentation pending
WO-000182,OT-00358,PLT-04,EMERGENCY,DEFERRED,DEGRADED,2026-09-16T07:00:00,,NO,awaiting vendor
WO-000183,OT-00958,PLT-09,EMERGENCY,IN_PROGRESS,DEGRADED,2026-09-06T03:00:00,2026-09-06T04:00:00,NO,documentation pending
WO-000184,OT-00667,PLT-07,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-08T23:00:00,2026-10-10T03:00:00,NO,documentation pending
WO-000185,OT-01388,PLT-13,CM,OPEN,OUT_OF_SERVICE,2026-10-07T01:00:00,,NO,awaiting vendor
WO-000186,OT-00203,PLT-02,PM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-24T11:00:00,2026-09-27T01:00:00,NO,parts substituted
WO-000187,OT-01183,PLT-11,CALIBRATION,CLOSED,ACTIVE,2026-10-05T05:00:00,,NO,documentation pending
WO-000188,OT-00535,PLT-06,INSPECTION,OPEN,OUT_OF_SERVICE,2026-09-17T00:00:00,,NO,documentation pending
WO-000189,OT-00529,PLT-05,EMERGENCY,DEFERRED,RETURNED_TO_SERVICE,2026-10-06T02:00:00,2026-10-07T18:00:00,NO,parts substituted
WO-000190,OT-01747,PLT-16,EMERGENCY,DEFERRED,ACTIVE,2026-09-13T14:00:00,2026-09-14T17:00:00,NO,parts substituted
WO-000191,OT-01347,PLT-13,CALIBRATION,IN_PROGRESS,ACTIVE,2026-09-04T09:00:00,2026-09-06T06:00:00,NO,parts substituted
WO-000192,OT-01135,PLT-11,CM,CLOSED,RETURNED_TO_SERVICE,2026-09-11T01:00:00,2026-09-12T19:00:00,NO,parts substituted
WO-000193,OT-01432,PLT-14,CM,DEFERRED,DEGRADED,2026-09-29T20:00:00,2026-10-01T22:00:00,NO,documentation pending
WO-000194,OT-00346,PLT-04,EMERGENCY,CLOSED,RETURNED_TO_SERVICE,2026-10-02T04:00:00,2026-10-04T13:00:00,NO,standard work
