barrier_id,plant_id,unit_id,barrier_type,state,proof_test_status,bypass_authorized
PLT-03-SAFE-01,PLT-03,PLT-03-U03,RELIEF,ACTIVE,CURRENT,YES
PLT-03-SAFE-02,PLT-03,PLT-03-U02,RELIEF,ACTIVE,CURRENT,NO
PLT-03-SAFE-03,PLT-03,PLT-03-U04,INTERLOCK,ACTIVE,CURRENT,YES
PLT-03-SAFE-04,PLT-03,PLT-03-U07,ALARM,ACTIVE,CURRENT,NO
PLT-03-SAFE-05,PLT-03,PLT-03-U08,RELIEF,DEGRADED,CURRENT,YES
PLT-03-SAFE-06,PLT-03,PLT-03-U12,INTERLOCK,ACTIVE,CURRENT,NO
PLT-03-SAFE-07,PLT-03,PLT-03-U09,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-03-SAFE-08,PLT-03,PLT-03-U12,INTERLOCK,ACTIVE,CURRENT,NO
PLT-03-SAFE-09,PLT-03,PLT-03-U09,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-03-SAFE-10,PLT-03,PLT-03-U03,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-03-SAFE-11,PLT-03,PLT-03-U11,RELIEF,ACTIVE,CURRENT,YES
PLT-03-SAFE-12,PLT-03,PLT-03-U05,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-03-SAFE-13,PLT-03,PLT-03-U03,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-03-SAFE-14,PLT-03,PLT-03-U05,PERMISSIVE,BYPASSED,CURRENT,NO
PLT-03-SAFE-15,PLT-03,PLT-03-U04,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-03-SAFE-16,PLT-03,PLT-03-U01,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-03-SAFE-17,PLT-03,PLT-03-U08,ALARM,ACTIVE,CURRENT,NO
PLT-03-SAFE-18,PLT-03,PLT-03-U09,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-03-SAFE-19,PLT-03,PLT-03-U12,INTERLOCK,ACTIVE,CURRENT,NO
PLT-03-SAFE-20,PLT-03,PLT-03-U05,INTERLOCK,ACTIVE,CURRENT,NO
PLT-03-SAFE-21,PLT-03,PLT-03-U12,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-03-SAFE-22,PLT-03,PLT-03-U05,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-03-SAFE-23,PLT-03,PLT-03-U11,RELIEF,ACTIVE,CURRENT,NO
PLT-03-SAFE-24,PLT-03,PLT-03-U06,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-03-SAFE-25,PLT-03,PLT-03-U09,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-04-SAFE-01,PLT-04,PLT-04-U07,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-04-SAFE-02,PLT-04,PLT-04-U08,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-04-SAFE-03,PLT-04,PLT-04-U05,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-04-SAFE-04,PLT-04,PLT-04-U07,RELIEF,DEGRADED,DUE,YES
PLT-04-SAFE-05,PLT-04,PLT-04-U08,INTERLOCK,ACTIVE,CURRENT,YES
PLT-04-SAFE-06,PLT-04,PLT-04-U11,ALARM,BYPASSED,CURRENT,UNKNOWN
PLT-04-SAFE-07,PLT-04,PLT-04-U01,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-08,PLT-04,PLT-04-U01,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-04-SAFE-09,PLT-04,PLT-04-U06,INTERLOCK,DEGRADED,OVERDUE,YES
PLT-04-SAFE-10,PLT-04,PLT-04-U09,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-04-SAFE-11,PLT-04,PLT-04-U02,RELIEF,ACTIVE,CURRENT,NO
PLT-04-SAFE-12,PLT-04,PLT-04-U05,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-13,PLT-04,PLT-04-U03,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-14,PLT-04,PLT-04-U06,RELIEF,ACTIVE,CURRENT,NO
PLT-04-SAFE-15,PLT-04,PLT-04-U07,RELIEF,ACTIVE,CURRENT,NO
PLT-04-SAFE-16,PLT-04,PLT-04-U02,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-17,PLT-04,PLT-04-U01,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-04-SAFE-18,PLT-04,PLT-04-U12,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-19,PLT-04,PLT-04-U03,SIS_TRIP,DEGRADED,CURRENT,NO
PLT-04-SAFE-20,PLT-04,PLT-04-U02,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-21,PLT-04,PLT-04-U02,RELIEF,ACTIVE,CURRENT,NO
PLT-04-SAFE-22,PLT-04,PLT-04-U02,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-23,PLT-04,PLT-04-U03,RELIEF,ACTIVE,CURRENT,NO
PLT-04-SAFE-24,PLT-04,PLT-04-U05,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-04-SAFE-25,PLT-04,PLT-04-U07,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-05-SAFE-01,PLT-05,PLT-05-U10,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-05-SAFE-02,PLT-05,PLT-05-U12,SIS_TRIP,DEGRADED,CURRENT,YES
PLT-05-SAFE-03,PLT-05,PLT-05-U01,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-05-SAFE-04,PLT-05,PLT-05-U09,INTERLOCK,ACTIVE,CURRENT,YES
PLT-05-SAFE-05,PLT-05,PLT-05-U07,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-05-SAFE-06,PLT-05,PLT-05-U09,RELIEF,ACTIVE,CURRENT,YES
PLT-05-SAFE-07,PLT-05,PLT-05-U11,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-05-SAFE-08,PLT-05,PLT-05-U02,ALARM,ACTIVE,DUE,NO
PLT-05-SAFE-09,PLT-05,PLT-05-U04,ALARM,ACTIVE,OVERDUE,NO
PLT-05-SAFE-10,PLT-05,PLT-05-U11,INTERLOCK,ACTIVE,CURRENT,YES
PLT-05-SAFE-11,PLT-05,PLT-05-U03,INTERLOCK,ACTIVE,OVERDUE,YES
PLT-05-SAFE-12,PLT-05,PLT-05-U06,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-05-SAFE-13,PLT-05,PLT-05-U09,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-05-SAFE-14,PLT-05,PLT-05-U08,ALARM,ACTIVE,CURRENT,YES
PLT-05-SAFE-15,PLT-05,PLT-05-U01,RELIEF,BYPASSED,CURRENT,NO
PLT-05-SAFE-16,PLT-05,PLT-05-U05,RELIEF,ACTIVE,CURRENT,YES
PLT-05-SAFE-17,PLT-05,PLT-05-U07,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-05-SAFE-18,PLT-05,PLT-05-U07,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-05-SAFE-19,PLT-05,PLT-05-U03,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-05-SAFE-20,PLT-05,PLT-05-U10,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-05-SAFE-21,PLT-05,PLT-05-U07,PERMISSIVE,ACTIVE,OVERDUE,YES
PLT-05-SAFE-22,PLT-05,PLT-05-U06,RELIEF,ACTIVE,CURRENT,NO
PLT-05-SAFE-23,PLT-05,PLT-05-U11,ALARM,DEGRADED,OVERDUE,YES
PLT-05-SAFE-24,PLT-05,PLT-05-U05,INTERLOCK,ACTIVE,CURRENT,NO
PLT-05-SAFE-25,PLT-05,PLT-05-U10,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-01,PLT-06,PLT-06-U03,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-02,PLT-06,PLT-06-U04,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-06-SAFE-03,PLT-06,PLT-06-U08,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-04,PLT-06,PLT-06-U04,ALARM,ACTIVE,CURRENT,YES
PLT-06-SAFE-05,PLT-06,PLT-06-U02,PERMISSIVE,DEGRADED,DUE,UNKNOWN
PLT-06-SAFE-06,PLT-06,PLT-06-U11,INTERLOCK,ACTIVE,DUE,NO
PLT-06-SAFE-07,PLT-06,PLT-06-U04,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-08,PLT-06,PLT-06-U10,RELIEF,BYPASSED,CURRENT,NO
PLT-06-SAFE-09,PLT-06,PLT-06-U05,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-06-SAFE-10,PLT-06,PLT-06-U02,INTERLOCK,ACTIVE,CURRENT,YES
PLT-06-SAFE-11,PLT-06,PLT-06-U11,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-06-SAFE-12,PLT-06,PLT-06-U11,INTERLOCK,ACTIVE,CURRENT,NO
PLT-06-SAFE-13,PLT-06,PLT-06-U02,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-14,PLT-06,PLT-06-U01,SIS_TRIP,DEGRADED,CURRENT,YES
PLT-06-SAFE-15,PLT-06,PLT-06-U11,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-16,PLT-06,PLT-06-U04,RELIEF,DEGRADED,CURRENT,NO
PLT-06-SAFE-17,PLT-06,PLT-06-U03,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-06-SAFE-18,PLT-06,PLT-06-U07,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-19,PLT-06,PLT-06-U02,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-06-SAFE-20,PLT-06,PLT-06-U08,INTERLOCK,DEGRADED,CURRENT,UNKNOWN
PLT-06-SAFE-21,PLT-06,PLT-06-U01,INTERLOCK,ACTIVE,DUE,UNKNOWN
PLT-06-SAFE-22,PLT-06,PLT-06-U01,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-06-SAFE-23,PLT-06,PLT-06-U09,PERMISSIVE,ACTIVE,OVERDUE,UNKNOWN
PLT-06-SAFE-24,PLT-06,PLT-06-U03,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-06-SAFE-25,PLT-06,PLT-06-U07,PERMISSIVE,DEGRADED,CURRENT,NO
PLT-07-SAFE-01,PLT-07,PLT-07-U11,ALARM,ACTIVE,CURRENT,YES
PLT-07-SAFE-02,PLT-07,PLT-07-U03,INTERLOCK,ACTIVE,CURRENT,NO
PLT-07-SAFE-03,PLT-07,PLT-07-U11,PERMISSIVE,BYPASSED,CURRENT,UNKNOWN
PLT-07-SAFE-04,PLT-07,PLT-07-U05,INTERLOCK,ACTIVE,CURRENT,YES
PLT-07-SAFE-05,PLT-07,PLT-07-U02,ALARM,BYPASSED,CURRENT,UNKNOWN
PLT-07-SAFE-06,PLT-07,PLT-07-U11,INTERLOCK,ACTIVE,OVERDUE,NO
PLT-07-SAFE-07,PLT-07,PLT-07-U09,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-07-SAFE-08,PLT-07,PLT-07-U05,INTERLOCK,ACTIVE,CURRENT,NO
PLT-07-SAFE-09,PLT-07,PLT-07-U11,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-07-SAFE-10,PLT-07,PLT-07-U09,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-07-SAFE-11,PLT-07,PLT-07-U09,PERMISSIVE,ACTIVE,OVERDUE,YES
PLT-07-SAFE-12,PLT-07,PLT-07-U07,INTERLOCK,ACTIVE,CURRENT,NO
PLT-07-SAFE-13,PLT-07,PLT-07-U04,PERMISSIVE,ACTIVE,OVERDUE,NO
PLT-07-SAFE-14,PLT-07,PLT-07-U08,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-07-SAFE-15,PLT-07,PLT-07-U12,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-07-SAFE-16,PLT-07,PLT-07-U02,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-07-SAFE-17,PLT-07,PLT-07-U03,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-07-SAFE-18,PLT-07,PLT-07-U02,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-07-SAFE-19,PLT-07,PLT-07-U10,INTERLOCK,ACTIVE,CURRENT,NO
PLT-07-SAFE-20,PLT-07,PLT-07-U02,RELIEF,ACTIVE,OVERDUE,NO
PLT-07-SAFE-21,PLT-07,PLT-07-U08,INTERLOCK,ACTIVE,CURRENT,YES
PLT-07-SAFE-22,PLT-07,PLT-07-U07,ALARM,ACTIVE,CURRENT,YES
PLT-07-SAFE-23,PLT-07,PLT-07-U06,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-07-SAFE-24,PLT-07,PLT-07-U03,ALARM,DEGRADED,CURRENT,NO
PLT-07-SAFE-25,PLT-07,PLT-07-U12,INTERLOCK,BYPASSED,DUE,YES
PLT-08-SAFE-01,PLT-08,PLT-08-U12,SIS_TRIP,DEGRADED,CURRENT,NO
PLT-08-SAFE-02,PLT-08,PLT-08-U12,RELIEF,ACTIVE,CURRENT,NO
PLT-08-SAFE-03,PLT-08,PLT-08-U05,RELIEF,ACTIVE,OVERDUE,UNKNOWN
PLT-08-SAFE-04,PLT-08,PLT-08-U09,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-05,PLT-08,PLT-08-U07,PERMISSIVE,ACTIVE,DUE,NO
PLT-08-SAFE-06,PLT-08,PLT-08-U05,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-08-SAFE-07,PLT-08,PLT-08-U03,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-08,PLT-08,PLT-08-U12,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-09,PLT-08,PLT-08-U07,ALARM,ACTIVE,CURRENT,NO
PLT-08-SAFE-10,PLT-08,PLT-08-U07,INTERLOCK,ACTIVE,CURRENT,NO
PLT-08-SAFE-11,PLT-08,PLT-08-U07,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-08-SAFE-12,PLT-08,PLT-08-U06,SIS_TRIP,BYPASSED,CURRENT,UNKNOWN
PLT-08-SAFE-13,PLT-08,PLT-08-U10,INTERLOCK,ACTIVE,CURRENT,NO
PLT-08-SAFE-14,PLT-08,PLT-08-U06,RELIEF,ACTIVE,OVERDUE,NO
PLT-08-SAFE-15,PLT-08,PLT-08-U02,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-16,PLT-08,PLT-08-U04,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-08-SAFE-17,PLT-08,PLT-08-U08,RELIEF,DEGRADED,CURRENT,YES
PLT-08-SAFE-18,PLT-08,PLT-08-U01,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-08-SAFE-19,PLT-08,PLT-08-U09,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-20,PLT-08,PLT-08-U09,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-21,PLT-08,PLT-08-U05,INTERLOCK,ACTIVE,DUE,UNKNOWN
PLT-08-SAFE-22,PLT-08,PLT-08-U02,PERMISSIVE,DEGRADED,CURRENT,NO
PLT-08-SAFE-23,PLT-08,PLT-08-U02,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-24,PLT-08,PLT-08-U10,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-08-SAFE-25,PLT-08,PLT-08-U12,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-01,PLT-09,PLT-09-U05,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-02,PLT-09,PLT-09-U10,RELIEF,ACTIVE,CURRENT,NO
PLT-09-SAFE-03,PLT-09,PLT-09-U09,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-09-SAFE-04,PLT-09,PLT-09-U05,PERMISSIVE,ACTIVE,OVERDUE,UNKNOWN
PLT-09-SAFE-05,PLT-09,PLT-09-U09,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-09-SAFE-06,PLT-09,PLT-09-U06,SIS_TRIP,DEGRADED,CURRENT,UNKNOWN
PLT-09-SAFE-07,PLT-09,PLT-09-U10,ALARM,ACTIVE,CURRENT,NO
PLT-09-SAFE-08,PLT-09,PLT-09-U12,ALARM,ACTIVE,CURRENT,YES
PLT-09-SAFE-09,PLT-09,PLT-09-U12,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-10,PLT-09,PLT-09-U05,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-11,PLT-09,PLT-09-U02,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-09-SAFE-12,PLT-09,PLT-09-U09,RELIEF,ACTIVE,CURRENT,NO
PLT-09-SAFE-13,PLT-09,PLT-09-U07,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-14,PLT-09,PLT-09-U02,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-09-SAFE-15,PLT-09,PLT-09-U06,PERMISSIVE,DEGRADED,OVERDUE,NO
PLT-09-SAFE-16,PLT-09,PLT-09-U01,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-17,PLT-09,PLT-09-U06,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-18,PLT-09,PLT-09-U05,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-19,PLT-09,PLT-09-U04,RELIEF,ACTIVE,CURRENT,YES
PLT-09-SAFE-20,PLT-09,PLT-09-U12,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-21,PLT-09,PLT-09-U11,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-22,PLT-09,PLT-09-U02,INTERLOCK,ACTIVE,CURRENT,YES
PLT-09-SAFE-23,PLT-09,PLT-09-U02,ALARM,ACTIVE,CURRENT,NO
PLT-09-SAFE-24,PLT-09,PLT-09-U04,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-09-SAFE-25,PLT-09,PLT-09-U02,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-10-SAFE-01,PLT-10,PLT-10-U10,RELIEF,ACTIVE,CURRENT,NO
PLT-10-SAFE-02,PLT-10,PLT-10-U10,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-10-SAFE-03,PLT-10,PLT-10-U01,ALARM,ACTIVE,CURRENT,YES
PLT-10-SAFE-04,PLT-10,PLT-10-U06,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-10-SAFE-05,PLT-10,PLT-10-U04,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-10-SAFE-06,PLT-10,PLT-10-U12,INTERLOCK,ACTIVE,OVERDUE,NO
PLT-10-SAFE-07,PLT-10,PLT-10-U06,ALARM,BYPASSED,CURRENT,NO
PLT-10-SAFE-08,PLT-10,PLT-10-U05,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-10-SAFE-09,PLT-10,PLT-10-U01,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-10-SAFE-10,PLT-10,PLT-10-U11,INTERLOCK,ACTIVE,CURRENT,YES
PLT-10-SAFE-11,PLT-10,PLT-10-U01,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-10-SAFE-12,PLT-10,PLT-10-U09,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-10-SAFE-13,PLT-10,PLT-10-U12,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-10-SAFE-14,PLT-10,PLT-10-U10,INTERLOCK,ACTIVE,DUE,YES
PLT-10-SAFE-15,PLT-10,PLT-10-U08,INTERLOCK,ACTIVE,CURRENT,NO
PLT-10-SAFE-16,PLT-10,PLT-10-U06,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-10-SAFE-17,PLT-10,PLT-10-U12,SIS_TRIP,BYPASSED,CURRENT,YES
PLT-10-SAFE-18,PLT-10,PLT-10-U01,ALARM,ACTIVE,CURRENT,NO
PLT-10-SAFE-19,PLT-10,PLT-10-U09,INTERLOCK,ACTIVE,CURRENT,YES
PLT-10-SAFE-20,PLT-10,PLT-10-U03,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-10-SAFE-21,PLT-10,PLT-10-U10,ALARM,ACTIVE,DUE,NO
PLT-10-SAFE-22,PLT-10,PLT-10-U12,PERMISSIVE,DEGRADED,OVERDUE,UNKNOWN
PLT-10-SAFE-23,PLT-10,PLT-10-U07,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-10-SAFE-24,PLT-10,PLT-10-U05,ALARM,ACTIVE,CURRENT,NO
PLT-10-SAFE-25,PLT-10,PLT-10-U08,INTERLOCK,DEGRADED,DUE,NO
PLT-11-SAFE-01,PLT-11,PLT-11-U08,ALARM,ACTIVE,CURRENT,YES
PLT-11-SAFE-02,PLT-11,PLT-11-U01,ALARM,ACTIVE,CURRENT,NO
PLT-11-SAFE-03,PLT-11,PLT-11-U01,INTERLOCK,ACTIVE,OVERDUE,UNKNOWN
PLT-11-SAFE-04,PLT-11,PLT-11-U07,ALARM,ACTIVE,OVERDUE,NO
PLT-11-SAFE-05,PLT-11,PLT-11-U11,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-11-SAFE-06,PLT-11,PLT-11-U07,INTERLOCK,ACTIVE,CURRENT,YES
PLT-11-SAFE-07,PLT-11,PLT-11-U01,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-11-SAFE-08,PLT-11,PLT-11-U04,RELIEF,ACTIVE,CURRENT,YES
PLT-11-SAFE-09,PLT-11,PLT-11-U08,SIS_TRIP,ACTIVE,CURRENT,YES
PLT-11-SAFE-10,PLT-11,PLT-11-U01,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-11-SAFE-11,PLT-11,PLT-11-U08,INTERLOCK,ACTIVE,CURRENT,YES
