plant_id,component,rto_hours,last_restore_test_days,backup_status,manual_fallback,runbook_status,dependency_verified
PLT-09,IDENTITY,12,652,CURRENT,LIMITED,CURRENT,UNKNOWN
PLT-09,SCADA,12,115,CURRENT,NO,CURRENT,NO
PLT-09,HISTORIAN,2,149,CURRENT,LIMITED,CURRENT,UNKNOWN
PLT-09,ENGINEERING_WS,8,471,CURRENT,NO,MISSING,UNKNOWN
PLT-09,PLC_DCS,2,584,STALE,LIMITED,CURRENT,YES
PLT-09,MES_INTERFACE,4,42,CURRENT,NO,CURRENT,YES
PLT-09,BACKUP_REPOSITORY,1,381,CURRENT,NO,CURRENT,NO
PLT-10,NETWORK,24,462,CURRENT,YES,CURRENT,YES
PLT-10,IDENTITY,8,369,CURRENT,NO,CURRENT,YES
PLT-10,SCADA,24,271,CURRENT,LIMITED,CURRENT,YES
PLT-10,HISTORIAN,24,524,CURRENT,LIMITED,CURRENT,YES
PLT-10,ENGINEERING_WS,1,493,CURRENT,YES,CURRENT,YES
PLT-10,PLC_DCS,2,414,UNKNOWN,LIMITED,CURRENT,YES
PLT-10,MES_INTERFACE,12,494,CURRENT,LIMITED,CURRENT,YES
PLT-10,BACKUP_REPOSITORY,24,344,CURRENT,NO,CURRENT,YES
PLT-11,NETWORK,1,531,CURRENT,YES,CURRENT,YES
PLT-11,IDENTITY,8,680,CURRENT,YES,CURRENT,YES
PLT-11,SCADA,24,209,CURRENT,YES,CURRENT,YES
PLT-11,HISTORIAN,24,101,CURRENT,LIMITED,CURRENT,YES
PLT-11,ENGINEERING_WS,4,257,CURRENT,LIMITED,CURRENT,YES
PLT-11,PLC_DCS,1,409,CURRENT,NO,CURRENT,YES
PLT-11,MES_INTERFACE,4,522,CURRENT,LIMITED,CURRENT,YES
PLT-11,BACKUP_REPOSITORY,24,344,CURRENT,YES,CURRENT,YES
PLT-12,NETWORK,24,655,CURRENT,NO,CURRENT,YES
PLT-12,IDENTITY,4,154,CURRENT,NO,CURRENT,NO
PLT-12,SCADA,24,267,CURRENT,LIMITED,CURRENT,YES
PLT-12,HISTORIAN,24,409,CURRENT,YES,STALE,YES
PLT-12,ENGINEERING_WS,12,643,UNKNOWN,LIMITED,CURRENT,YES
PLT-12,PLC_DCS,12,209,CURRENT,YES,CURRENT,YES
PLT-12,MES_INTERFACE,24,639,CURRENT,LIMITED,CURRENT,YES
PLT-12,BACKUP_REPOSITORY,1,547,CURRENT,NO,CURRENT,YES
PLT-13,NETWORK,24,50,CURRENT,NO,CURRENT,NO
PLT-13,IDENTITY,24,193,CURRENT,YES,STALE,YES
PLT-13,SCADA,12,209,CURRENT,YES,CURRENT,YES
PLT-13,HISTORIAN,4,430,CURRENT,NO,CURRENT,YES
PLT-13,ENGINEERING_WS,24,635,CURRENT,LIMITED,CURRENT,YES
PLT-13,PLC_DCS,4,624,CURRENT,YES,CURRENT,YES
PLT-13,MES_INTERFACE,4,242,CURRENT,LIMITED,CURRENT,YES
PLT-13,BACKUP_REPOSITORY,24,29,CURRENT,YES,CURRENT,YES
PLT-14,NETWORK,8,318,CURRENT,LIMITED,MISSING,NO
PLT-14,IDENTITY,12,630,CURRENT,YES,CURRENT,YES
PLT-14,SCADA,8,176,STALE,YES,CURRENT,YES
PLT-14,HISTORIAN,4,220,CURRENT,YES,MISSING,YES
PLT-14,ENGINEERING_WS,12,619,CURRENT,YES,CURRENT,UNKNOWN
PLT-14,PLC_DCS,4,84,CURRENT,LIMITED,MISSING,YES
PLT-14,MES_INTERFACE,24,220,CURRENT,LIMITED,CURRENT,YES
PLT-14,BACKUP_REPOSITORY,1,351,CURRENT,NO,CURRENT,YES
PLT-15,NETWORK,1,630,CURRENT,NO,CURRENT,NO
PLT-15,IDENTITY,8,244,CURRENT,LIMITED,CURRENT,YES
PLT-15,SCADA,24,301,CURRENT,YES,CURRENT,YES
PLT-15,HISTORIAN,1,74,UNKNOWN,YES,STALE,UNKNOWN
PLT-15,ENGINEERING_WS,12,471,CURRENT,LIMITED,CURRENT,UNKNOWN
PLT-15,PLC_DCS,2,306,CURRENT,LIMITED,CURRENT,YES
PLT-15,MES_INTERFACE,24,154,CURRENT,YES,CURRENT,YES
PLT-15,BACKUP_REPOSITORY,12,666,CURRENT,NO,CURRENT,YES
PLT-16,NETWORK,2,485,CURRENT,NO,CURRENT,YES
PLT-16,IDENTITY,4,395,CURRENT,LIMITED,MISSING,YES
PLT-16,SCADA,1,401,UNKNOWN,NO,CURRENT,YES
PLT-16,HISTORIAN,24,221,UNKNOWN,LIMITED,CURRENT,YES
PLT-16,ENGINEERING_WS,8,400,CURRENT,YES,CURRENT,NO
PLT-16,PLC_DCS,1,473,CURRENT,LIMITED,STALE,YES
PLT-16,MES_INTERFACE,2,635,CURRENT,YES,MISSING,YES
PLT-16,BACKUP_REPOSITORY,12,236,CURRENT,YES,CURRENT,YES
PLT-17,NETWORK,24,87,CURRENT,YES,CURRENT,NO
PLT-17,IDENTITY,12,611,CURRENT,YES,MISSING,YES
PLT-17,SCADA,12,233,CURRENT,NO,MISSING,YES
PLT-17,HISTORIAN,1,591,CURRENT,LIMITED,CURRENT,YES
PLT-17,ENGINEERING_WS,12,572,STALE,LIMITED,MISSING,YES
PLT-17,PLC_DCS,8,571,CURRENT,LIMITED,STALE,YES
PLT-17,MES_INTERFACE,12,659,STALE,YES,CURRENT,YES
PLT-17,BACKUP_REPOSITORY,1,89,CURRENT,LIMITED,CURRENT,YES
PLT-18,NETWORK,24,626,STALE,LIMITED,CURRENT,YES
PLT-18,IDENTITY,12,373,CURRENT,YES,MISSING,NO
PLT-18,SCADA,24,184,CURRENT,NO,CURRENT,YES
PLT-18,HISTORIAN,8,483,STALE,NO,STALE,YES
PLT-18,ENGINEERING_WS,8,379,CURRENT,NO,CURRENT,YES
PLT-18,PLC_DCS,2,256,CURRENT,NO,CURRENT,UNKNOWN
PLT-18,MES_INTERFACE,2,35,STALE,LIMITED,CURRENT,YES
PLT-18,BACKUP_REPOSITORY,2,632,UNKNOWN,NO,MISSING,YES
