plant_id,source_asset,target_asset,protocol,approved_path,observed_last_24h,documented
PLT-01,OT-00047,OT-00054,OPC_DA,UNKNOWN,YES,YES
PLT-01,OT-00082,OT-00083,IEC61850,YES,YES,YES
PLT-01,OT-00076,OT-00098,OPC_UA,YES,YES,YES
PLT-01,OT-00066,OT-00034,ModbusTCP,YES,YES,YES
PLT-01,OT-00094,OT-00039,OPC_DA,YES,YES,YES
PLT-01,OT-00013,OT-00086,PROFINET,YES,NO,NO
PLT-01,OT-00082,OT-00044,DNP3,YES,NO,YES
PLT-01,OT-00032,OT-00092,IEC104,YES,YES,NO
PLT-01,OT-00051,OT-00072,OPC_DA,YES,YES,NO
PLT-01,OT-00100,OT-00081,VendorSerial,YES,YES,NO
PLT-01,OT-00011,OT-00015,VendorSerial,YES,NO,NO
PLT-01,OT-00016,OT-00056,PROFIBUS,YES,YES,YES
PLT-01,OT-00084,OT-00089,OPC_UA,UNKNOWN,NO,YES
PLT-01,OT-00042,OT-00001,IEC104,YES,YES,NO
PLT-01,OT-00077,OT-00040,DNP3,YES,NO,YES
PLT-01,OT-00041,OT-00028,ModbusTCP,YES,YES,NO
PLT-01,OT-00067,OT-00029,IEC104,YES,YES,YES
PLT-01,OT-00005,OT-00088,PROFIBUS,YES,YES,YES
PLT-01,OT-00045,OT-00079,DNP3,YES,YES,YES
PLT-01,OT-00025,OT-00092,OPC_UA,YES,YES,YES
PLT-01,OT-00038,OT-00089,IEC104,YES,YES,NO
PLT-01,OT-00061,OT-00041,PROFINET,YES,YES,NO
PLT-01,OT-00045,OT-00098,OPC_UA,NO,NO,YES
PLT-01,OT-00036,OT-00069,DNP3,YES,YES,NO
PLT-01,OT-00080,OT-00018,PROFIBUS,YES,YES,YES
PLT-01,OT-00081,OT-00045,IEC104,YES,YES,YES
PLT-01,OT-00053,OT-00094,EtherNetIP,YES,YES,YES
PLT-01,OT-00063,OT-00016,PROFINET,UNKNOWN,YES,YES
PLT-01,OT-00095,OT-00074,PROFINET,YES,YES,NO
PLT-01,OT-00040,OT-00083,EtherNetIP,YES,YES,YES
PLT-01,OT-00067,OT-00001,OPC_DA,YES,YES,YES
PLT-01,OT-00035,OT-00044,VendorSerial,YES,NO,YES
PLT-01,OT-00074,OT-00071,IEC104,YES,YES,YES
PLT-01,OT-00005,OT-00062,IEC61850,NO,YES,YES
PLT-01,OT-00056,OT-00052,ModbusTCP,YES,YES,YES
PLT-01,OT-00037,OT-00087,ModbusTCP,YES,YES,YES
PLT-01,OT-00097,OT-00074,VendorSerial,YES,NO,YES
PLT-01,OT-00083,OT-00088,OPC_UA,YES,YES,YES
PLT-01,OT-00100,OT-00006,OPC_UA,UNKNOWN,YES,YES
PLT-01,OT-00071,OT-00066,OPC_UA,YES,YES,YES
PLT-01,OT-00076,OT-00078,PROFIBUS,YES,NO,YES
PLT-01,OT-00099,OT-00029,OPC_DA,YES,NO,NO
PLT-01,OT-00070,OT-00091,PROFINET,YES,YES,YES
PLT-01,OT-00083,OT-00022,IEC104,YES,YES,YES
PLT-01,OT-00010,OT-00002,EtherNetIP,YES,YES,NO
PLT-01,OT-00074,OT-00047,IEC104,YES,NO,NO
PLT-01,OT-00054,OT-00042,DNP3,YES,NO,YES
PLT-01,OT-00012,OT-00074,IEC61850,NO,YES,NO
PLT-01,OT-00040,OT-00067,IEC104,UNKNOWN,YES,YES
PLT-01,OT-00097,OT-00041,IEC104,YES,YES,YES
PLT-01,OT-00051,OT-00092,IEC104,YES,NO,YES
PLT-01,OT-00014,OT-00092,DNP3,UNKNOWN,NO,YES
PLT-01,OT-00098,OT-00047,EtherNetIP,UNKNOWN,NO,YES
PLT-01,OT-00064,OT-00025,OPC_DA,UNKNOWN,YES,NO
PLT-01,OT-00078,OT-00053,EtherNetIP,YES,YES,YES
PLT-01,OT-00069,OT-00030,ModbusTCP,YES,YES,YES
PLT-01,OT-00094,OT-00022,EtherNetIP,NO,YES,YES
PLT-01,OT-00086,OT-00044,ModbusTCP,YES,YES,YES
PLT-01,OT-00035,OT-00019,PROFIBUS,YES,NO,YES
PLT-01,OT-00038,OT-00085,EtherNetIP,YES,YES,NO
PLT-01,OT-00095,OT-00038,OPC_UA,YES,NO,NO
PLT-01,OT-00052,OT-00019,PROFIBUS,YES,NO,YES
PLT-01,OT-00082,OT-00004,IEC61850,NO,YES,YES
PLT-01,OT-00084,OT-00017,OPC_UA,YES,YES,YES
PLT-01,OT-00056,OT-00020,PROFINET,YES,YES,NO
PLT-01,OT-00005,OT-00020,OPC_UA,YES,YES,NO
PLT-01,OT-00042,OT-00010,OPC_UA,YES,YES,YES
PLT-01,OT-00060,OT-00091,IEC104,YES,YES,NO
PLT-01,OT-00087,OT-00001,PROFIBUS,YES,YES,YES
PLT-01,OT-00083,OT-00052,OPC_DA,YES,YES,YES
PLT-01,OT-00085,OT-00065,IEC61850,YES,YES,YES
PLT-01,OT-00036,OT-00077,OPC_DA,NO,YES,YES
PLT-01,OT-00102,OT-00007,PROFIBUS,YES,NO,YES
PLT-01,OT-00040,OT-00004,OPC_DA,UNKNOWN,YES,YES
PLT-01,OT-00068,OT-00085,VendorSerial,YES,YES,NO
PLT-01,OT-00046,OT-00027,VendorSerial,YES,NO,NO
PLT-01,OT-00053,OT-00066,IEC104,YES,YES,YES
PLT-01,OT-00061,OT-00089,ModbusTCP,YES,YES,NO
PLT-01,OT-00026,OT-00058,ModbusTCP,YES,NO,YES
PLT-01,OT-00026,OT-00091,IEC61850,YES,YES,YES
PLT-01,OT-00082,OT-00039,PROFINET,YES,NO,YES
PLT-01,OT-00044,OT-00058,PROFIBUS,NO,NO,YES
PLT-01,OT-00037,OT-00015,VendorSerial,YES,YES,YES
PLT-01,OT-00020,OT-00060,DNP3,YES,YES,NO
PLT-01,OT-00018,OT-00069,EtherNetIP,YES,YES,YES
PLT-01,OT-00070,OT-00074,PROFINET,YES,YES,YES
PLT-01,OT-00073,OT-00057,IEC61850,YES,YES,YES
PLT-01,OT-00046,OT-00013,VendorSerial,YES,YES,YES
PLT-01,OT-00019,OT-00080,ModbusTCP,YES,YES,YES
PLT-01,OT-00091,OT-00048,EtherNetIP,YES,YES,YES
PLT-01,OT-00010,OT-00087,ModbusTCP,YES,YES,YES
PLT-01,OT-00066,OT-00012,VendorSerial,UNKNOWN,YES,NO
PLT-01,OT-00057,OT-00026,ModbusTCP,YES,YES,YES
PLT-01,OT-00082,OT-00045,IEC61850,UNKNOWN,NO,YES
PLT-01,OT-00048,OT-00034,PROFIBUS,YES,YES,NO
PLT-01,OT-00087,OT-00071,DNP3,YES,NO,NO
PLT-01,OT-00085,OT-00077,EtherNetIP,YES,YES,YES
PLT-01,OT-00004,OT-00076,OPC_DA,YES,YES,YES
PLT-01,OT-00026,OT-00003,ModbusTCP,YES,YES,YES
PLT-01,OT-00077,OT-00032,DNP3,YES,YES,YES
PLT-01,OT-00014,OT-00072,VendorSerial,YES,YES,YES
PLT-01,OT-00005,OT-00007,EtherNetIP,YES,YES,YES
PLT-01,OT-00097,OT-00029,OPC_DA,YES,YES,YES
PLT-01,OT-00091,OT-00073,PROFINET,YES,YES,YES
PLT-01,OT-00026,OT-00034,IEC104,UNKNOWN,YES,YES
PLT-01,OT-00031,OT-00017,IEC61850,YES,YES,YES
PLT-01,OT-00029,OT-00082,EtherNetIP,YES,YES,NO
PLT-01,OT-00042,OT-00005,IEC61850,YES,YES,NO
PLT-01,OT-00090,OT-00101,OPC_UA,YES,YES,NO
PLT-01,OT-00064,OT-00011,VendorSerial,YES,NO,YES
PLT-01,OT-00055,OT-00097,DNP3,YES,YES,YES
PLT-01,OT-00024,OT-00072,OPC_UA,YES,NO,YES
PLT-01,OT-00001,OT-00062,PROFIBUS,YES,YES,NO
PLT-01,OT-00054,OT-00041,OPC_UA,YES,NO,YES
PLT-01,OT-00090,OT-00024,PROFIBUS,YES,YES,YES
PLT-01,OT-00002,OT-00033,EtherNetIP,YES,YES,NO
PLT-01,OT-00076,OT-00033,IEC61850,YES,YES,NO
PLT-01,OT-00011,OT-00100,IEC61850,YES,YES,YES
PLT-01,OT-00067,OT-00057,PROFIBUS,YES,YES,NO
PLT-01,OT-00092,OT-00051,OPC_UA,YES,NO,YES
PLT-01,OT-00002,OT-00055,DNP3,YES,NO,YES
PLT-01,OT-00049,OT-00054,PROFINET,YES,YES,YES
PLT-01,OT-00040,OT-00020,EtherNetIP,YES,YES,YES
PLT-02,OT-00174,OT-00205,IEC61850,YES,NO,NO
PLT-02,OT-00144,OT-00199,EtherNetIP,YES,YES,YES
PLT-02,OT-00133,OT-00140,OPC_UA,YES,YES,NO
PLT-02,OT-00117,OT-00147,PROFINET,YES,NO,NO
PLT-02,OT-00128,OT-00110,OPC_DA,YES,YES,YES
PLT-02,OT-00161,OT-00134,ModbusTCP,YES,YES,YES
PLT-02,OT-00179,OT-00186,IEC104,YES,YES,YES
PLT-02,OT-00120,OT-00191,DNP3,NO,YES,YES
PLT-02,OT-00189,OT-00144,ModbusTCP,YES,YES,NO
PLT-02,OT-00201,OT-00123,OPC_UA,YES,YES,YES
PLT-02,OT-00161,OT-00167,VendorSerial,YES,YES,YES
PLT-02,OT-00121,OT-00108,DNP3,YES,YES,NO
PLT-02,OT-00147,OT-00134,IEC104,YES,YES,YES
PLT-02,OT-00205,OT-00138,OPC_UA,YES,YES,YES
PLT-02,OT-00147,OT-00150,IEC104,YES,YES,YES
PLT-02,OT-00179,OT-00159,IEC104,YES,YES,YES
PLT-02,OT-00140,OT-00134,IEC104,YES,YES,NO
PLT-02,OT-00134,OT-00183,OPC_UA,YES,NO,YES
PLT-02,OT-00110,OT-00167,ModbusTCP,YES,YES,YES
PLT-02,OT-00151,OT-00161,IEC61850,YES,NO,YES
PLT-02,OT-00120,OT-00111,EtherNetIP,YES,YES,NO
PLT-02,OT-00132,OT-00200,EtherNetIP,YES,YES,YES
PLT-02,OT-00180,OT-00202,DNP3,YES,YES,YES
PLT-02,OT-00203,OT-00128,IEC61850,YES,YES,YES
PLT-02,OT-00163,OT-00200,PROFINET,YES,YES,YES
PLT-02,OT-00118,OT-00169,OPC_UA,YES,YES,NO
PLT-02,OT-00186,OT-00137,IEC61850,YES,YES,YES
PLT-02,OT-00200,OT-00133,IEC61850,NO,YES,YES
PLT-02,OT-00104,OT-00163,ModbusTCP,YES,YES,YES
PLT-02,OT-00116,OT-00104,EtherNetIP,YES,NO,YES
PLT-02,OT-00201,OT-00154,EtherNetIP,YES,YES,YES
PLT-02,OT-00206,OT-00170,OPC_DA,YES,YES,YES
PLT-02,OT-00168,OT-00173,OPC_UA,YES,YES,YES
PLT-02,OT-00171,OT-00122,PROFINET,YES,YES,YES
PLT-02,OT-00206,OT-00203,IEC104,YES,YES,NO
PLT-02,OT-00114,OT-00151,DNP3,YES,YES,YES
PLT-02,OT-00202,OT-00126,EtherNetIP,YES,YES,YES
PLT-02,OT-00186,OT-00107,DNP3,YES,YES,YES
PLT-02,OT-00104,OT-00127,OPC_DA,YES,NO,YES
PLT-02,OT-00158,OT-00168,PROFINET,YES,NO,YES
PLT-02,OT-00175,OT-00152,IEC104,YES,YES,YES
PLT-02,OT-00186,OT-00182,EtherNetIP,YES,YES,YES
PLT-02,OT-00115,OT-00173,IEC104,YES,YES,YES
PLT-02,OT-00204,OT-00115,PROFINET,YES,YES,YES
PLT-02,OT-00205,OT-00198,OPC_DA,YES,YES,YES
PLT-02,OT-00185,OT-00154,PROFIBUS,YES,YES,NO
PLT-02,OT-00154,OT-00202,VendorSerial,YES,YES,YES
PLT-02,OT-00130,OT-00191,DNP3,YES,YES,NO
PLT-02,OT-00119,OT-00123,PROFIBUS,YES,YES,YES
PLT-02,OT-00129,OT-00112,IEC61850,YES,YES,YES
PLT-02,OT-00199,OT-00121,OPC_UA,YES,NO,NO
PLT-02,OT-00169,OT-00157,DNP3,YES,NO,YES
PLT-02,OT-00144,OT-00137,IEC61850,YES,NO,YES
PLT-02,OT-00191,OT-00175,EtherNetIP,UNKNOWN,YES,YES
PLT-02,OT-00105,OT-00132,VendorSerial,YES,YES,YES
PLT-02,OT-00203,OT-00137,IEC104,YES,YES,NO
PLT-02,OT-00116,OT-00186,PROFIBUS,YES,YES,NO
PLT-02,OT-00106,OT-00121,OPC_UA,YES,YES,YES
PLT-02,OT-00136,OT-00123,OPC_DA,YES,YES,NO
PLT-02,OT-00183,OT-00111,PROFINET,UNKNOWN,NO,YES
PLT-02,OT-00147,OT-00119,EtherNetIP,YES,YES,YES
PLT-02,OT-00203,OT-00173,DNP3,YES,YES,YES
PLT-02,OT-00152,OT-00121,PROFIBUS,YES,YES,YES
PLT-02,OT-00117,OT-00188,IEC104,YES,YES,YES
PLT-02,OT-00117,OT-00152,OPC_DA,YES,NO,YES
PLT-02,OT-00134,OT-00146,PROFINET,YES,YES,YES
PLT-02,OT-00172,OT-00120,IEC104,YES,YES,YES
PLT-02,OT-00126,OT-00189,PROFIBUS,YES,YES,YES
PLT-02,OT-00121,OT-00127,OPC_DA,YES,YES,NO
PLT-02,OT-00168,OT-00149,IEC61850,YES,YES,YES
PLT-02,OT-00115,OT-00177,OPC_UA,YES,YES,NO
PLT-02,OT-00150,OT-00106,OPC_UA,YES,YES,NO
PLT-02,OT-00128,OT-00125,IEC104,UNKNOWN,NO,YES
PLT-02,OT-00193,OT-00147,IEC61850,YES,YES,YES
PLT-02,OT-00147,OT-00193,IEC61850,YES,YES,YES
PLT-02,OT-00166,OT-00134,OPC_DA,YES,YES,NO
PLT-02,OT-00193,OT-00187,IEC104,YES,YES,NO
PLT-02,OT-00201,OT-00192,VendorSerial,YES,NO,YES
PLT-02,OT-00187,OT-00201,VendorSerial,YES,NO,YES
PLT-02,OT-00189,OT-00175,OPC_UA,YES,YES,YES
PLT-02,OT-00124,OT-00198,PROFINET,YES,NO,YES
PLT-02,OT-00159,OT-00105,ModbusTCP,NO,NO,NO
PLT-02,OT-00193,OT-00152,PROFIBUS,YES,YES,YES
PLT-02,OT-00201,OT-00182,OPC_DA,YES,YES,YES
PLT-02,OT-00203,OT-00199,PROFIBUS,YES,YES,YES
PLT-02,OT-00186,OT-00155,ModbusTCP,UNKNOWN,YES,NO
PLT-02,OT-00169,OT-00188,OPC_UA,YES,YES,YES
PLT-02,OT-00108,OT-00136,PROFIBUS,YES,YES,YES
PLT-02,OT-00203,OT-00121,ModbusTCP,YES,YES,YES
PLT-02,OT-00166,OT-00143,PROFINET,YES,YES,NO
PLT-02,OT-00131,OT-00186,DNP3,YES,YES,YES
PLT-02,OT-00111,OT-00158,ModbusTCP,YES,YES,YES
PLT-02,OT-00169,OT-00171,PROFIBUS,YES,NO,YES
PLT-02,OT-00162,OT-00152,EtherNetIP,YES,NO,NO
PLT-02,OT-00111,OT-00162,IEC104,YES,YES,YES
PLT-02,OT-00171,OT-00186,OPC_DA,YES,YES,YES
PLT-02,OT-00125,OT-00109,PROFINET,YES,YES,YES
PLT-02,OT-00206,OT-00118,PROFIBUS,YES,YES,YES
PLT-02,OT-00177,OT-00131,OPC_DA,NO,YES,NO
PLT-02,OT-00179,OT-00163,PROFIBUS,YES,YES,YES
PLT-02,OT-00189,OT-00165,OPC_UA,YES,YES,YES
PLT-02,OT-00122,OT-00127,IEC61850,UNKNOWN,YES,YES
PLT-02,OT-00157,OT-00203,OPC_DA,YES,YES,YES
PLT-02,OT-00194,OT-00122,VendorSerial,YES,YES,YES
PLT-02,OT-00182,OT-00143,ModbusTCP,YES,YES,YES
PLT-02,OT-00197,OT-00139,IEC104,YES,YES,YES
PLT-02,OT-00197,OT-00114,OPC_DA,YES,YES,YES
PLT-02,OT-00130,OT-00131,EtherNetIP,YES,NO,YES
PLT-02,OT-00199,OT-00166,OPC_DA,YES,YES,YES
PLT-02,OT-00145,OT-00177,ModbusTCP,YES,YES,YES
PLT-02,OT-00130,OT-00167,OPC_DA,NO,NO,YES
PLT-02,OT-00195,OT-00133,PROFINET,YES,YES,YES
PLT-02,OT-00132,OT-00201,DNP3,UNKNOWN,YES,YES
PLT-02,OT-00138,OT-00109,ModbusTCP,YES,YES,YES
PLT-02,OT-00109,OT-00131,OPC_UA,YES,YES,NO
PLT-02,OT-00120,OT-00139,EtherNetIP,NO,YES,YES
PLT-02,OT-00200,OT-00104,EtherNetIP,YES,YES,YES
PLT-02,OT-00160,OT-00171,PROFIBUS,YES,YES,YES
PLT-02,OT-00146,OT-00127,PROFIBUS,YES,NO,NO
PLT-02,OT-00105,OT-00144,PROFINET,YES,YES,YES
PLT-02,OT-00115,OT-00188,OPC_UA,YES,NO,YES
PLT-02,OT-00193,OT-00189,EtherNetIP,YES,YES,YES
PLT-02,OT-00152,OT-00150,ModbusTCP,YES,YES,YES
PLT-02,OT-00194,OT-00151,OPC_UA,YES,NO,YES
PLT-02,OT-00123,OT-00115,ModbusTCP,YES,YES,YES
PLT-02,OT-00111,OT-00150,PROFIBUS,YES,NO,NO
PLT-02,OT-00143,OT-00138,IEC61850,YES,YES,YES
PLT-02,OT-00138,OT-00197,PROFIBUS,UNKNOWN,NO,YES
PLT-02,OT-00206,OT-00140,PROFINET,YES,YES,NO
PLT-02,OT-00188,OT-00158,EtherNetIP,YES,YES,YES
PLT-02,OT-00207,OT-00188,DNP3,YES,YES,NO
PLT-02,OT-00122,OT-00199,OPC_UA,YES,YES,NO
PLT-02,OT-00186,OT-00121,OPC_DA,YES,YES,YES
PLT-02,OT-00205,OT-00142,DNP3,YES,YES,YES
PLT-02,OT-00138,OT-00187,DNP3,YES,YES,YES
PLT-02,OT-00188,OT-00175,OPC_UA,NO,NO,NO
PLT-02,OT-00115,OT-00129,IEC104,YES,YES,YES
PLT-02,OT-00183,OT-00108,IEC61850,YES,YES,YES
PLT-02,OT-00147,OT-00136,OPC_DA,YES,YES,YES
PLT-02,OT-00205,OT-00148,OPC_UA,YES,YES,NO
PLT-02,OT-00127,OT-00141,ModbusTCP,YES,YES,YES
PLT-02,OT-00106,OT-00136,PROFINET,YES,YES,NO
PLT-02,OT-00133,OT-00135,PROFIBUS,YES,NO,YES
PLT-02,OT-00202,OT-00177,DNP3,UNKNOWN,YES,YES
PLT-02,OT-00161,OT-00196,DNP3,YES,YES,YES
PLT-02,OT-00160,OT-00118,IEC61850,YES,NO,NO
PLT-02,OT-00125,OT-00198,IEC104,YES,YES,YES
PLT-02,OT-00148,OT-00130,IEC104,YES,YES,NO
PLT-02,OT-00177,OT-00111,PROFIBUS,YES,YES,NO
PLT-02,OT-00142,OT-00127,DNP3,YES,YES,NO
PLT-02,OT-00122,OT-00174,PROFINET,YES,NO,YES
PLT-02,OT-00194,OT-00203,OPC_DA,YES,YES,YES
PLT-02,OT-00158,OT-00192,OPC_DA,YES,NO,YES
PLT-02,OT-00169,OT-00132,EtherNetIP,YES,YES,YES
PLT-02,OT-00105,OT-00161,IEC61850,YES,YES,YES
PLT-02,OT-00159,OT-00198,ModbusTCP,YES,YES,YES
PLT-02,OT-00122,OT-00202,OPC_UA,YES,YES,NO
PLT-02,OT-00143,OT-00115,ModbusTCP,YES,NO,NO
PLT-02,OT-00167,OT-00165,VendorSerial,YES,NO,YES
PLT-02,OT-00162,OT-00147,VendorSerial,YES,YES,YES
PLT-02,OT-00136,OT-00185,IEC61850,NO,YES,YES
PLT-02,OT-00167,OT-00136,PROFINET,YES,YES,YES
PLT-02,OT-00141,OT-00185,DNP3,YES,YES,YES
PLT-02,OT-00174,OT-00200,EtherNetIP,YES,YES,YES
PLT-02,OT-00200,OT-00110,OPC_DA,YES,YES,YES
PLT-02,OT-00126,OT-00162,OPC_DA,YES,YES,YES
PLT-02,OT-00114,OT-00181,IEC61850,NO,NO,YES
PLT-02,OT-00186,OT-00106,OPC_DA,YES,YES,YES
PLT-02,OT-00204,OT-00155,PROFINET,YES,YES,YES
PLT-02,OT-00155,OT-00135,IEC104,YES,YES,YES
PLT-02,OT-00141,OT-00158,IEC104,YES,NO,YES
PLT-02,OT-00179,OT-00171,IEC61850,UNKNOWN,NO,YES
PLT-02,OT-00205,OT-00151,OPC_UA,UNKNOWN,YES,NO
PLT-02,OT-00184,OT-00152,PROFINET,YES,NO,NO
PLT-02,OT-00126,OT-00171,ModbusTCP,YES,YES,YES
PLT-02,OT-00200,OT-00169,EtherNetIP,YES,YES,YES
PLT-02,OT-00196,OT-00122,OPC_DA,YES,YES,YES
PLT-02,OT-00152,OT-00107,EtherNetIP,YES,YES,YES
PLT-02,OT-00164,OT-00203,PROFIBUS,YES,YES,YES
PLT-02,OT-00145,OT-00179,PROFIBUS,YES,YES,YES
PLT-02,OT-00191,OT-00170,PROFINET,NO,YES,YES
PLT-02,OT-00128,OT-00188,OPC_DA,YES,NO,YES
PLT-02,OT-00163,OT-00120,OPC_UA,YES,YES,YES
PLT-02,OT-00157,OT-00106,VendorSerial,YES,YES,YES
PLT-02,OT-00190,OT-00185,VendorSerial,YES,YES,YES
PLT-02,OT-00189,OT-00171,DNP3,YES,NO,NO
PLT-02,OT-00196,OT-00161,PROFIBUS,YES,YES,NO
PLT-02,OT-00109,OT-00150,PROFINET,YES,NO,YES
PLT-02,OT-00147,OT-00144,IEC104,YES,YES,NO
PLT-02,OT-00134,OT-00204,EtherNetIP,UNKNOWN,YES,YES
PLT-02,OT-00117,OT-00106,ModbusTCP,YES,YES,YES
PLT-02,OT-00131,OT-00113,IEC104,YES,YES,NO
PLT-02,OT-00141,OT-00163,ModbusTCP,YES,YES,YES
PLT-02,OT-00155,OT-00131,OPC_UA,YES,YES,YES
PLT-02,OT-00124,OT-00113,PROFIBUS,YES,YES,YES
PLT-02,OT-00161,OT-00160,VendorSerial,YES,YES,NO
PLT-02,OT-00129,OT-00181,OPC_UA,YES,YES,YES
PLT-02,OT-00171,OT-00140,PROFIBUS,YES,YES,YES
