plant_id,upstream_unit,downstream_unit,dependency_type,documented,critical
PLT-03,PLT-03-U11,PLT-03-U12,safety,NO,YES
PLT-04,PLT-04-U01,PLT-04-U02,material_flow,NO,YES
PLT-04,PLT-04-U02,PLT-04-U03,material_flow,YES,NO
PLT-04,PLT-04-U03,PLT-04-U04,data,YES,YES
PLT-04,PLT-04-U04,PLT-04-U05,control,NO,NO
PLT-04,PLT-04-U05,PLT-04-U06,data,YES,YES
PLT-04,PLT-04-U06,PLT-04-U07,material_flow,YES,YES
PLT-04,PLT-04-U07,PLT-04-U08,control,YES,YES
PLT-04,PLT-04-U08,PLT-04-U09,utility,NO,YES
PLT-04,PLT-04-U09,PLT-04-U10,data,YES,YES
PLT-04,PLT-04-U10,PLT-04-U11,safety,YES,YES
PLT-04,PLT-04-U11,PLT-04-U12,control,YES,YES
PLT-05,PLT-05-U01,PLT-05-U02,material_flow,YES,NO
PLT-05,PLT-05-U02,PLT-05-U03,data,YES,YES
PLT-05,PLT-05-U03,PLT-05-U04,material_flow,YES,NO
PLT-05,PLT-05-U04,PLT-05-U05,data,YES,YES
PLT-05,PLT-05-U05,PLT-05-U06,material_flow,YES,YES
PLT-05,PLT-05-U06,PLT-05-U07,material_flow,NO,YES
PLT-05,PLT-05-U07,PLT-05-U08,safety,NO,YES
PLT-05,PLT-05-U08,PLT-05-U09,data,YES,NO
PLT-05,PLT-05-U09,PLT-05-U10,control,NO,NO
PLT-05,PLT-05-U10,PLT-05-U11,utility,YES,NO
PLT-05,PLT-05-U11,PLT-05-U12,utility,YES,YES
PLT-06,PLT-06-U01,PLT-06-U02,material_flow,YES,YES
PLT-06,PLT-06-U02,PLT-06-U03,safety,YES,YES
PLT-06,PLT-06-U03,PLT-06-U04,data,YES,YES
PLT-06,PLT-06-U04,PLT-06-U05,safety,YES,YES
PLT-06,PLT-06-U05,PLT-06-U06,data,YES,YES
PLT-06,PLT-06-U06,PLT-06-U07,utility,YES,NO
PLT-06,PLT-06-U07,PLT-06-U08,utility,YES,YES
PLT-06,PLT-06-U08,PLT-06-U09,control,NO,YES
PLT-06,PLT-06-U09,PLT-06-U10,data,YES,YES
PLT-06,PLT-06-U10,PLT-06-U11,material_flow,YES,YES
PLT-06,PLT-06-U11,PLT-06-U12,control,YES,YES
PLT-07,PLT-07-U01,PLT-07-U02,material_flow,NO,YES
PLT-07,PLT-07-U02,PLT-07-U03,data,NO,YES
PLT-07,PLT-07-U03,PLT-07-U04,safety,YES,YES
PLT-07,PLT-07-U04,PLT-07-U05,material_flow,YES,YES
PLT-07,PLT-07-U05,PLT-07-U06,utility,NO,YES
PLT-07,PLT-07-U06,PLT-07-U07,utility,YES,YES
PLT-07,PLT-07-U07,PLT-07-U08,data,YES,YES
PLT-07,PLT-07-U08,PLT-07-U09,control,NO,NO
PLT-07,PLT-07-U09,PLT-07-U10,control,NO,YES
PLT-07,PLT-07-U10,PLT-07-U11,material_flow,YES,YES
PLT-07,PLT-07-U11,PLT-07-U12,material_flow,NO,NO
PLT-08,PLT-08-U01,PLT-08-U02,data,YES,YES
PLT-08,PLT-08-U02,PLT-08-U03,control,YES,YES
PLT-08,PLT-08-U03,PLT-08-U04,material_flow,YES,YES
PLT-08,PLT-08-U04,PLT-08-U05,safety,YES,YES
PLT-08,PLT-08-U05,PLT-08-U06,control,YES,YES
PLT-08,PLT-08-U06,PLT-08-U07,control,YES,NO
PLT-08,PLT-08-U07,PLT-08-U08,utility,YES,YES
PLT-08,PLT-08-U08,PLT-08-U09,control,NO,NO
PLT-08,PLT-08-U09,PLT-08-U10,safety,YES,YES
PLT-08,PLT-08-U10,PLT-08-U11,data,NO,YES
PLT-08,PLT-08-U11,PLT-08-U12,safety,YES,YES
PLT-09,PLT-09-U01,PLT-09-U02,material_flow,YES,YES
PLT-09,PLT-09-U02,PLT-09-U03,material_flow,NO,YES
PLT-09,PLT-09-U03,PLT-09-U04,material_flow,NO,YES
PLT-09,PLT-09-U04,PLT-09-U05,utility,YES,YES
PLT-09,PLT-09-U05,PLT-09-U06,safety,YES,YES
PLT-09,PLT-09-U06,PLT-09-U07,data,YES,YES
PLT-09,PLT-09-U07,PLT-09-U08,utility,YES,NO
PLT-09,PLT-09-U08,PLT-09-U09,data,YES,NO
PLT-09,PLT-09-U09,PLT-09-U10,material_flow,YES,YES
PLT-09,PLT-09-U10,PLT-09-U11,control,NO,NO
PLT-09,PLT-09-U11,PLT-09-U12,safety,YES,NO
PLT-10,PLT-10-U01,PLT-10-U02,material_flow,YES,NO
PLT-10,PLT-10-U02,PLT-10-U03,data,YES,YES
PLT-10,PLT-10-U03,PLT-10-U04,material_flow,YES,YES
PLT-10,PLT-10-U04,PLT-10-U05,safety,YES,YES
PLT-10,PLT-10-U05,PLT-10-U06,material_flow,NO,NO
PLT-10,PLT-10-U06,PLT-10-U07,safety,YES,YES
PLT-10,PLT-10-U07,PLT-10-U08,material_flow,YES,NO
PLT-10,PLT-10-U08,PLT-10-U09,material_flow,YES,YES
PLT-10,PLT-10-U09,PLT-10-U10,data,YES,YES
PLT-10,PLT-10-U10,PLT-10-U11,data,YES,NO
PLT-10,PLT-10-U11,PLT-10-U12,material_flow,NO,YES
PLT-11,PLT-11-U01,PLT-11-U02,utility,YES,YES
PLT-11,PLT-11-U02,PLT-11-U03,utility,NO,YES
PLT-11,PLT-11-U03,PLT-11-U04,control,YES,YES
PLT-11,PLT-11-U04,PLT-11-U05,utility,YES,YES
PLT-11,PLT-11-U05,PLT-11-U06,utility,NO,YES
PLT-11,PLT-11-U06,PLT-11-U07,control,YES,YES
PLT-11,PLT-11-U07,PLT-11-U08,utility,YES,YES
PLT-11,PLT-11-U08,PLT-11-U09,material_flow,YES,YES
PLT-11,PLT-11-U09,PLT-11-U10,utility,NO,NO
PLT-11,PLT-11-U10,PLT-11-U11,control,YES,NO
PLT-11,PLT-11-U11,PLT-11-U12,utility,YES,YES
PLT-12,PLT-12-U01,PLT-12-U02,safety,YES,YES
PLT-12,PLT-12-U02,PLT-12-U03,safety,YES,NO
PLT-12,PLT-12-U03,PLT-12-U04,utility,NO,NO
PLT-12,PLT-12-U04,PLT-12-U05,data,YES,YES
PLT-12,PLT-12-U05,PLT-12-U06,data,YES,NO
PLT-12,PLT-12-U06,PLT-12-U07,utility,YES,NO
PLT-12,PLT-12-U07,PLT-12-U08,data,NO,YES
PLT-12,PLT-12-U08,PLT-12-U09,material_flow,YES,YES
PLT-12,PLT-12-U09,PLT-12-U10,utility,YES,YES
PLT-12,PLT-12-U10,PLT-12-U11,material_flow,YES,YES
PLT-12,PLT-12-U11,PLT-12-U12,utility,YES,NO
PLT-13,PLT-13-U01,PLT-13-U02,control,NO,YES
PLT-13,PLT-13-U02,PLT-13-U03,material_flow,YES,NO
PLT-13,PLT-13-U03,PLT-13-U04,control,YES,NO
PLT-13,PLT-13-U04,PLT-13-U05,utility,YES,YES
PLT-13,PLT-13-U05,PLT-13-U06,control,NO,NO
PLT-13,PLT-13-U06,PLT-13-U07,safety,NO,NO
PLT-13,PLT-13-U07,PLT-13-U08,safety,YES,NO
PLT-13,PLT-13-U08,PLT-13-U09,material_flow,YES,YES
PLT-13,PLT-13-U09,PLT-13-U10,safety,YES,YES
PLT-13,PLT-13-U10,PLT-13-U11,utility,YES,YES
PLT-13,PLT-13-U11,PLT-13-U12,utility,YES,YES
PLT-14,PLT-14-U01,PLT-14-U02,control,YES,NO
PLT-14,PLT-14-U02,PLT-14-U03,utility,YES,YES
PLT-14,PLT-14-U03,PLT-14-U04,control,YES,YES
PLT-14,PLT-14-U04,PLT-14-U05,data,YES,YES
PLT-14,PLT-14-U05,PLT-14-U06,utility,YES,YES
PLT-14,PLT-14-U06,PLT-14-U07,safety,NO,YES
PLT-14,PLT-14-U07,PLT-14-U08,control,YES,YES
PLT-14,PLT-14-U08,PLT-14-U09,control,NO,YES
PLT-14,PLT-14-U09,PLT-14-U10,safety,YES,YES
PLT-14,PLT-14-U10,PLT-14-U11,safety,YES,NO
PLT-14,PLT-14-U11,PLT-14-U12,safety,YES,NO
PLT-15,PLT-15-U01,PLT-15-U02,utility,YES,YES
PLT-15,PLT-15-U02,PLT-15-U03,material_flow,YES,NO
PLT-15,PLT-15-U03,PLT-15-U04,safety,YES,YES
PLT-15,PLT-15-U04,PLT-15-U05,control,YES,YES
PLT-15,PLT-15-U05,PLT-15-U06,safety,NO,YES
PLT-15,PLT-15-U06,PLT-15-U07,data,YES,YES
PLT-15,PLT-15-U07,PLT-15-U08,material_flow,NO,YES
PLT-15,PLT-15-U08,PLT-15-U09,data,NO,NO
PLT-15,PLT-15-U09,PLT-15-U10,safety,YES,NO
PLT-15,PLT-15-U10,PLT-15-U11,safety,YES,YES
PLT-15,PLT-15-U11,PLT-15-U12,control,NO,NO
PLT-16,PLT-16-U01,PLT-16-U02,safety,YES,YES
PLT-16,PLT-16-U02,PLT-16-U03,safety,NO,YES
PLT-16,PLT-16-U03,PLT-16-U04,material_flow,YES,YES
PLT-16,PLT-16-U04,PLT-16-U05,control,YES,NO
PLT-16,PLT-16-U05,PLT-16-U06,material_flow,YES,NO
PLT-16,PLT-16-U06,PLT-16-U07,safety,YES,YES
PLT-16,PLT-16-U07,PLT-16-U08,safety,YES,NO
PLT-16,PLT-16-U08,PLT-16-U09,utility,YES,YES
PLT-16,PLT-16-U09,PLT-16-U10,safety,YES,YES
PLT-16,PLT-16-U10,PLT-16-U11,safety,YES,NO
PLT-16,PLT-16-U11,PLT-16-U12,safety,YES,NO
PLT-17,PLT-17-U01,PLT-17-U02,utility,NO,YES
PLT-17,PLT-17-U02,PLT-17-U03,data,YES,YES
PLT-17,PLT-17-U03,PLT-17-U04,safety,NO,YES
PLT-17,PLT-17-U04,PLT-17-U05,material_flow,YES,YES
PLT-17,PLT-17-U05,PLT-17-U06,control,YES,NO
PLT-17,PLT-17-U06,PLT-17-U07,safety,NO,NO
PLT-17,PLT-17-U07,PLT-17-U08,safety,YES,YES
PLT-17,PLT-17-U08,PLT-17-U09,material_flow,YES,NO
PLT-17,PLT-17-U09,PLT-17-U10,safety,YES,YES
PLT-17,PLT-17-U10,PLT-17-U11,control,YES,YES
PLT-17,PLT-17-U11,PLT-17-U12,material_flow,YES,YES
PLT-18,PLT-18-U01,PLT-18-U02,control,YES,NO
PLT-18,PLT-18-U02,PLT-18-U03,control,NO,YES
PLT-18,PLT-18-U03,PLT-18-U04,control,YES,NO
PLT-18,PLT-18-U04,PLT-18-U05,safety,YES,NO
PLT-18,PLT-18-U05,PLT-18-U06,data,NO,NO
PLT-18,PLT-18-U06,PLT-18-U07,data,YES,NO
PLT-18,PLT-18-U07,PLT-18-U08,safety,YES,YES
PLT-18,PLT-18-U08,PLT-18-U09,safety,YES,NO
PLT-18,PLT-18-U09,PLT-18-U10,data,YES,YES
PLT-18,PLT-18-U10,PLT-18-U11,safety,YES,NO
PLT-18,PLT-18-U11,PLT-18-U12,material_flow,YES,NO
